verdict,domain
תפ_10902-08-22,drugs
תפ_28107-06-20,drugs
תפ_17701-07-21,drugs
תפ_36220-12-15,drugs
תפ_13322-07-22,drugs
תפ_32815-03-20,drugs
תפ_9804-01-24,drugs
תפ_12143-06-20,drugs
תפ_53127-06-16,drugs
תפ_19932-03-17,drugs
תפ_46786-04-18,drugs
תפ_41876-08-23,drugs
תפ_40650-03-22,drugs
תפ_20967-02-14,drugs
תפ_5687-03-23,drugs
תפ_3750-08-20,drugs
תפ_13535-03-19,drugs
תפ_59888-08-22,drugs
תפ_43515-03-16,drugs
תפ_63953-01-24,drugs
תפ_17242-03-22,drugs
תפ_44279-06-21,drugs
תפ_26801-07-13,drugs
תפ_49123-05-12,drugs
תפ_38176-10-14,drugs
תפ_54845-01-19,drugs
תפ_59939-11-17,drugs
תפ_28234-05-21,drugs
תפ_61718-10-21,drugs
תפ_3818-01-24,drugs
תפ_20638-04-22,drugs
תפ_21459-04-15,drugs
תפ_2531-11-18,drugs
תפ_4621-02-23,drugs
תפ_54026-01-20,drugs
תפ_41339-06-20,drugs
תפ_49845-08-20,drugs
תפ_17415-10-21,drugs
תפ_9346-07-12,drugs
תפ_37259-10-15,drugs
תפ_54340-08-19,drugs
תפ_23774-03-17,drugs
תפ_4781-05-19,drugs
תפ_21605-07-13,drugs
תפ_3491-09-16,drugs
תפ_67527-03-18,drugs
תפ_53784-02-16,drugs
תפ_52725-01-21,drugs
תפ_35639-06-16,drugs
תפ_30746-12-19,drugs
תפ_46315-12-23,drugs
תפ_27295-12-17,drugs
תפ_21557-06-16,drugs
תפ_686-05-21,drugs
תפ_1054-08-21,drugs
תפ_986-06-21,drugs
תפ_47757-02-18,drugs
תפ_20051-12-17,drugs
תפ_28615-01-22,drugs
תפ_35569-02-23,drugs
תפ_63637-06-17,drugs
תפ_26828-05-16,drugs
תפ_21471-09-22,drugs
תפ_46722-01-23,drugs
תפ_69612-01-23,drugs
תפ_52330-08-18,drugs
תפ_37850-05-17,drugs
תפ_10140-10-19,drugs
תפ_8061-02-22,drugs
תפ_52504-10-20,drugs
תפ_63073-07-22,drugs
תפ_6985-07-22,drugs
תפ_2744-09-14,drugs
תפ_50607-03-19,drugs
תפ_59503-07-15,drugs
תפ_6970-05-22,drugs
תפ_19464-05-21,drugs
תפ_11220-12-18,drugs
תפ_44336-03-19,drugs
תפ_51036-08-15,drugs
תפ_63025-03-15,drugs
תפ_31746-10-22,drugs
תפ_34635-11-22,drugs
תפק_57417-11-18,drugs
תפ_10816-02-15,drugs
תפ_39312-12-15,drugs
תפ_19005-11-20,drugs
תפ_13504-12-09,drugs
תפ_6316-09-20,drugs
תפ_4261-09-22,drugs
תפ_1470-07-16,drugs
תפ_16651-01-24,drugs
תפ_20354-10-21,drugs
תפ_21477-06-19,drugs
תפ_36546-08-21,drugs
תפ_42118-11-23,drugs
תפ_3908-11-14,drugs
תפ_20484-05-16,drugs
תפ_70531-11-19,drugs
תפ_10639-08-22,drugs
תפ_30003-03-22,drugs
תפ_5188-10-21,drugs
תפ_48281-08-18,drugs
תפ_42156-05-22,drugs
תפ_16794-04-17,drugs
תפ_70231-02-19,drugs
תפ_1169-07-20,drugs
תפ_49305-06-16,drugs
תפ_48352-05-15,drugs
תפ_44477-08-20,drugs
תפ_7091-03-19,drugs
תפ_43383-07-21,drugs
תפ_54696-06-17,drugs
תפ_32917-06-20,drugs
תפ_3766-09-21,drugs
תפ_39647-01-20,drugs
תפ_34117-10-18,drugs
תפ_47879-06-13,drugs
תפ_53219-03-14,drugs
תפ_50631-06-23,drugs
תפ_11191-03-24,drugs
תפ_35571-06-24,drugs
תפ_13113-07-22,drugs
תפ_54673-05-17,drugs
תפ_10054-09-19,drugs
תפ_60380-03-22,drugs
תפ_76300-05-23,drugs
תפ_18320-05-19,drugs
תפ_66385-03-22,drugs
תפ_30678-02-22,drugs
תפ_64144-09-17,drugs
תפ_18280-06-19,drugs
תפ_1818-08-20,drugs
תפ_15965-12-21,drugs
תפ_13424-08-13,drugs
תפ_31842-04-21,drugs
תפ_5649-09-21,drugs
תפ_34607-03-17,drugs
תפ_14846-02-14,drugs
תפ_30039-04-20,drugs
תפח_27442-01-18,drugs
תפ_47941-06-15,drugs
תפ_14488-04-19,drugs
תפ_60147-10-15,drugs
תפ_45874-03-19,drugs
תפ_4435-07-19,drugs
תפ_44666-10-18,drugs
תפ_7867-04-22,drugs
תפ_8203-05-23,drugs
תפ_33382-01-16,drugs
תפ_56824-09-20,drugs
תפ_47753-11-14,drugs
תפ_737-10-13,drugs
תפ_25530-06-20,drugs
תפ_6659-02-21,drugs
תפ_59139-09-14,drugs
תפ_44694-10-18,drugs
תפ_60015-05-22,drugs
תפ_53640-01-23,drugs
תפ_56285-05-24,drugs
תפ_29068-03-16,drugs
תפ_42497-03-21,drugs
תפ_31909-10-15,drugs
תפ_13048-04-21,drugs
תפ_33888-10-14,drugs
תפ_51354-02-17,drugs
תפ_30197-04-17,drugs
תפ_13053-08-19,drugs
תפ_48745-11-15,drugs
תפ_33630-06-13,drugs
תפ_63584-03-18,drugs
תפ_34752-02-21,drugs
תפ_19985-04-14,drugs
תפ_30433-04-11,drugs
תפ_56373-03-17,drugs
תפ_21142-01-22,drugs
תפ_17780-09-16,drugs
תפ_38149-09-17,drugs
תפ_22211-06-15,drugs
תפ_47284-03-19,drugs
תפ_15667-06-21,drugs
תפ_10393-03-21,drugs
תפ_14474-03-20,drugs
תפ_58505-11-19,drugs
תפק_32946-11-17,drugs
תפ_33183-03-18,drugs
תפ_15783-08-22,drugs
תפ_5341-07-19,drugs
תפ_28292-09-20,drugs
תפ_1484-03-24,drugs
תפ_32253-01-20,drugs
תפ_15747-08-22,drugs
תפ_39324-07-17,drugs
תפ_1990-11-22,drugs
תפ_44882-08-13,drugs
תפ_1352-08-22,drugs
תפ_42806-07-18,drugs
תפ_56293-06-21,drugs
תפ_29373-12-23,drugs
תפ_5486-09-21,drugs
תפ_15263-09-18,drugs
תפ_21666-04-17,drugs
תפ_8900-11-22,drugs
תפ_50497-04-17,drugs
תפ_4878-05-23,drugs
תפ_12241-08-20,drugs
תפ_60295-03-22,drugs
תפ_8633-04-15,drugs
תפ_8330-12-21,drugs
תפ_47874-04-19,drugs
תפ_47378-06-15,drugs
תפ_14825-12-22,drugs
תפ_2791-06-18,drugs
תפ_27992-01-24,drugs
תפ_29216-07-16,drugs
תפ_22140-04-18,drugs
תפ_30637-02-21,drugs
תפ_42808-01-24,drugs
תפ_6793-04-23,drugs
תפ_33842-02-14,drugs
תפ_63697-07-17,drugs
תפ_42704-01-20,drugs
תפ_21020-01-22,drugs
תפ_6788-06-16,drugs
תפ_49269-08-21,drugs
תפ_42176-05-15,drugs
תפ_46939-09-23,drugs
תפ_20339-09-19,drugs
תפ_34561-01-23,drugs
תפ_49210-05-22,drugs
תפ_16715-12-20,drugs
תפ_11969-01-18,drugs
תפ_10150-06-13,drugs
תפ_33421-08-19,drugs
תפ_17023-12-18,drugs
תפ_21127-08-21,drugs
תפ_57043-06-16,drugs
תפ_30013-04-21,drugs
תפ_4488-05-22,drugs
תפ_2444-01-21,drugs
תפ_3688-07-15,drugs
תפ_33916-02-22,drugs
תפ_69325-10-21,drugs
תפ_47304-02-18,drugs
תפ_57140-12-17,drugs
תפ_47396-07-19,drugs
תפ_33839-04-18,drugs
תפ_19391-11-24,drugs
תפ_49376-01-24,drugs
תפ_32835-09-21,drugs
תפ_31419-11-20,drugs
תפ_61158-05-20,drugs
תפ_17541-12-21,drugs
תפ_13598-05-23,drugs
תפ_48479-07-22,drugs
תפ_28496-07-14,drugs
תפ_29005-11-20,drugs
תפ_26126-03-22,drugs
תפ_26298-07-23,drugs
תפ_39629-08-18,drugs
תפ_13373-10-23,drugs
תפ_10812-12-21,drugs
תפ_54732-03-18,drugs
תפ_61370-10-20,drugs
תפ_31164-02-16,drugs
תפ_9460-10-19,drugs
תפ_39953-08-24,drugs
תפ_38435-11-17,drugs
תפ_16540-08-21,drugs
תפ_16591-12-15,drugs
תפ_28371-03-17,drugs
תפ_40082-02-22,drugs
תפ_36827-11-15,drugs
תפ_15787-01-17,drugs
תפ_39513-02-21,drugs
תפ_63652-05-24,drugs
תפ_52145-01-20,drugs
תפ_4658-07-22,drugs
תפ_49510-11-23,drugs
תפ_26685-11-18,drugs
תפ_41833-08-23,drugs
תפ_7930-11-16,drugs
תפ_16603-06-16,drugs
תפ_64660-01-22,drugs
תפ_61181-02-19,drugs
תפ_63295-03-24,drugs
תפ_22537-01-18,drugs
תפ_53373-04-13,drugs
תפק_58050-02-20,drugs
תפ_13956-08-14,drugs
תפ_47987-12-22,drugs
תפ_16826-04-18,drugs
תפ_63696-02-18,drugs
תפ_17642-11-20,drugs
תפ_22371-09-21,drugs
תפ_25133-03-17,drugs
תפ_29520-01-21,drugs
תפ_15208-11-20,drugs
תפ_57910-06-24,drugs
תפ_60394-12-12,drugs
תפ_19412-05-18,drugs
תפ_34210-08-18,drugs
תפ_8306-11-23,drugs
תפ_47042-01-22,drugs
תפ_23320-10-15,drugs
תפ_46052-02-12,drugs
תפ_27373-07-20,drugs
תפ_48502-05-17,drugs
תפ_64269-04-21,drugs
תפ_39308-05-15,drugs
תפ_17715-07-18,drugs
תפ_47589-10-22,drugs
תפ_14786-03-20,drugs
תפ_13748-03-15,drugs
תפ_17543-02-13,drugs
תפ_51797-01-21,drugs
תפ_3024-03-24,drugs
תפ_44871-12-17,drugs
תפ_19988-08-19,drugs
תפ_429-03-17,drugs
תפ_44427-10-18,drugs
תפ_65214-03-23,drugs
תפ_57425-01-22,drugs
תפ_5405-01-17,drugs
תפ_43226-12-20,drugs
פל_5568-11-15,drugs
תפ_6918-02-19,drugs
תפ_824-06-17,drugs
תפ_34197-11-21,drugs
תפ_33947-10-15,drugs
תפ_27085-10-15,drugs
תפ_28480-03-20,drugs
תפ_60101-01-17,drugs
תד_7172-07-20,drugs
תפ_893-03-22,drugs
תפ_44878-10-22,drugs
תפ_4460-04-18,drugs
תפ_60484-03-22,drugs
תפ_1338-12-20,drugs
תפ_54208-06-22,drugs
תפ_32243-08-21,drugs
תפ_45188-12-14,drugs
תפ_59009-05-21,drugs
תפ_30964-11-18,drugs
תפ_31015-09-17,drugs
תפ_39019-05-15,drugs
תפ_23152-09-14,drugs
תפ_8483-03-16,drugs
תפ_33040-09-24,drugs
תפ_20197-01-22,drugs
תפ_17667-07-19,drugs
תפ_62318-07-17,drugs
תפ_38700-04-24,drugs
תפ_12265-09-24,drugs
תפ_49875-05-23,drugs
תפ_9109-02-16,drugs
תפ_13336-05-15,drugs
תפ_40331-03-18,drugs
תפ_26943-07-17,drugs
תפ_37255-05-14,drugs
תפ_39034-01-18,drugs
תפ_69281-11-20,drugs
תפ_7800-05-21,drugs
תפק_70755-06-20,drugs
תפ_14663-06-22,drugs
תפ_24253-04-16,drugs
תפ_34353-03-17,drugs
תפ_15172-01-16,drugs
תפ_16389-10-13,drugs
תפ_61202-03-22,drugs
תפ_46967-02-21,drugs
תפ_35484-01-18,drugs
תפ_24895-03-20,drugs
תפ_20513-06-20,drugs
תפ_9270-02-21,drugs
תפ_46903-02-13,drugs
תפ_4559-10-21,drugs
תפ_34232-05-24,drugs
תפ_50729-04-21,drugs
תפ_62222-12-16,drugs
תפ_26792-04-16,drugs
תפ_40898-11-19,drugs
תפ_68905-01-24,drugs
תפ_62573-05-18,drugs
תפ_31007-07-16,drugs
תפ_4867-04-18,drugs
תפ_39297-02-18,drugs
תפ_59329-02-18,drugs
תפ_43884-01-23,drugs
תפ_8988-11-22,drugs
תפ_21086-11-21,drugs
תפ_34271-10-18,drugs
תפ_41328-07-15,drugs
תפ_45195-11-20,drugs
תפ_31736-06-21,drugs
תפ_2211-11-19,drugs
תפ_34753-10-20,drugs
תפ_4435-11-17,drugs
תפ_26019-02-18,drugs
תפ_47474-01-14,drugs
תפ_55372-10-17,drugs
תפ_41950-02-19,drugs
תפ_36775-09-19,drugs
תפ_9649-10-22,drugs
תפ_58524-11-19,drugs
תפ_26985-11-21,drugs
תפ_40063-03-18,drugs
תפ_11608-07-16,drugs
תפ_38631-06-20,drugs
תפ_14944-08-18,drugs
תפ_33439-01-21,drugs
תפ_17153-07-18,drugs
תפ_21679-04-15,drugs
תפ_61273-12-15,drugs
תפ_26141-12-17,drugs
תפ_41830-12-21,drugs
תפ_32933-12-15,drugs
תפ_46354-02-13,drugs
תפ_38735-11-23,drugs
תפ_14578-04-19,drugs
תפ_60519-03-19,drugs
תפ_11017-08-14,drugs
תפ_46366-09-19,drugs
תפ_31993-05-22,drugs
תפ_26079-01-20,drugs
תפ_44604-11-22,drugs
תפ_12546-04-16,drugs
תפ_1276-05-15,drugs
תפ_39259-05-22,drugs
תפ_43394-11-19,drugs
תפ_23190-04-21,drugs
תפ_44250-12-15,drugs
תפ_13774-03-21,drugs
תפ_45055-01-22,drugs
תפ_67234-06-20,drugs
תפ_65068-11-22,drugs
תפ_54826-08-16,drugs
תפ_17268-12-15,drugs
תפ_30551-02-21,drugs
תפק_7171-03-21,drugs
תפ_67029-11-18,drugs
תפ_16969-03-15,drugs
תפ_28473-08-23,drugs
תפ_6944-03-22,drugs
תפ_53235-12-19,drugs
תפ_45480-02-19,drugs
תפ_60606-10-20,drugs
תפ_16097-08-21,drugs
תפ_1783-04-23,drugs
תפ_41597-11-23,drugs
תפ_7086-04-23,drugs
תפ_64711-01-19,drugs
תפ_48788-04-15,drugs
תפ_40677-02-16,drugs
תפ_23408-05-15,drugs
תפ_9532-10-18,drugs
תפ_1417-05-20,drugs
תפ_13289-03-15,drugs
תפ_45623-11-20,drugs
תפ_34108-01-23,drugs
תפ_44422-01-17,drugs
תפ_49087-01-17,drugs
תפ_4719-02-23,drugs
תפ_61617-11-16,drugs
תפ_542-12-12,drugs
תפ_46735-02-20,drugs
תפ_59971-01-17,drugs
תפ_15023-05-20,drugs
תפ_73261-01-23,drugs
תפ_61258-11-21,drugs
תפ_33898-01-22,drugs
תפ_19691-03-18,drugs
תפ_43240-06-17,drugs
תפ_61248-02-24,drugs
תפ_45199-01-22,drugs
תפ_3618-03-23,drugs
תפ_7430-02-18,drugs
תפ_48071-01-23,drugs
תפ_67911-11-22,drugs
תפ_31103-09-17,drugs
תפ_7902-07-23,drugs
תפ_44460-01-15,drugs
תפ_1491-03-23,drugs
תפ_51017-08-24,drugs
תפ_8066-09-21,drugs
תפ_37495-01-20,drugs
תפ_38069-12-20,drugs
תפ_34079-05-20,drugs
תפ_33024-01-18,drugs
תפ_2300-06-19,drugs
תפ_22293-02-13,drugs
תפ_7154-12-16,drugs
תפ_33475-10-17,drugs
תפ_77409-01-19,drugs
תפ_2599-09-17,drugs
תפ_51899-07-21,drugs
תפ_24514-09-15,drugs
תפ_26274-11-16,drugs
תפ_52165-12-17,drugs
תפ_65573-01-18,drugs
תפ_13236-03-18,drugs
תפ_44181-01-17,drugs
תפ_16458-07-14,drugs
תפ_42164-10-19,drugs
תפ_47714-01-17,drugs
תפ_51886-02-24,drugs
תפ_45331-07-14,drugs
תפ_54472-09-22,drugs
תפ_35202-10-15,drugs
תפ_42006-10-16,drugs
תפ_65828-06-20,drugs
תפ_25085-02-19,drugs
תפ_45937-12-18,drugs
תפ_23710-03-13,drugs
תפ_36033-05-22,drugs
תפ_21712-09-15,drugs
תפ_52205-06-22,drugs
תפ_48938-01-15,drugs
תפ_44163-06-22,drugs
תפ_42761-01-18,drugs
תפ_16599-08-18,drugs
תפ_14553-12-23,drugs
תפ_54543-06-21,drugs
תפ_27402-11-21,drugs
תפ_43097-02-18,drugs
תפ_40055-10-18,drugs
תפ_47640-06-18,drugs
תפ_60605-02-22,drugs
תפ_19909-07-18,drugs
תפ_19902-12-16,drugs
תפ_70401-02-19,drugs
תפ_67646-05-24,drugs
תפ_6988-08-22,drugs
תפ_2330-02-20,drugs
תפ_58033-11-16,drugs
תפ_60154-02-19,drugs
תפ_25332-01-18,drugs
תפ_65386-09-19,drugs
תפ_17917-05-14,drugs
תפ_1264-05-17,drugs
תפ_36801-10-22,drugs
תפ_50074-12-12,drugs
תפ_63172-11-20,drugs
תפ_6904-12-14,drugs
תפ_32494-01-21,drugs
תפ_40908-02-21,drugs
תפ_13690-04-17,drugs
תפ_24758-11-22,drugs
תפ_30408-02-19,drugs
תפ_11789-12-16,drugs
תפ_38366-02-17,drugs
תפ_18479-10-21,drugs
תפ_66114-01-23,drugs
תפ_1969-02-17,drugs
תפ_38531-11-18,drugs
תפ_30377-04-18,drugs
תפ_37696-03-23,drugs
תפ_14829-07-16,drugs
תפ_305-12-12,drugs
תפ_21800-08-23,drugs
תפ_35208-03-22,drugs
תפ_16014-01-22,drugs
תפ_1643-04-16,drugs
תפ_29688-08-17,drugs
תפ_33658-01-24,drugs
תפ_25254-07-18,drugs
תפ_43794-10-18,drugs
תפ_51474-08-18,drugs
תפ_19469-07-22,drugs
תפ_20796-10-23,drugs
תפ_4164-01-13,drugs
תפ_43084-09-20,drugs
תפ_62962-06-21,drugs
תפ_13335-08-13,drugs
תפ_12125-10-17,drugs
תפ_49293-04-21,drugs
תפ_25934-06-19,drugs
תפ_41262-06-19,drugs
תפ_66877-03-22,drugs
תפ_18011-01-20,drugs
תפ_13718-09-16,drugs
תפ_17975-01-13,drugs
תפ_15251-11-19,drugs
תפ_16043-08-16,drugs
תפ_28270-11-15,drugs
תפ_3919-12-20,drugs
תפ_23282-05-17,drugs
תפ_15253-08-18,drugs
תפ_57360-05-13,drugs
תפ_73906-12-20,drugs
תפ_68958-01-19,drugs
תפ_34787-05-20,drugs
תפ_28420-12-14,drugs
תפ_58167-11-10,drugs
תפ_36823-02-21,drugs
תפ_864-02-17,drugs
תפ_12194-06-23,drugs
תפ_70576-01-23,drugs
תפ_327-04-17,drugs
תפ_27782-05-13,drugs
תפ_27735-02-21,drugs
תפח_5000-08-14,drugs
תפ_62262-11-14,drugs
תפ_57089-02-19,drugs
תפ_34255-01-24,drugs
תפ_22611-02-17,drugs
תפ_7325-10-16,drugs
תפ_53212-07-22,drugs
תפ_59274-02-22,drugs
תפ_34938-09-18,drugs
תפ_17822-05-15,drugs
תפ_4911-12-16,drugs
תפ_716-05-22,drugs
תפ_26204-04-21,drugs
תפ_50970-11-21,drugs
תפ_54307-05-12,drugs
תפ_16240-11-11,drugs
תפ_53518-05-13,drugs
תפ_40639-10-17,drugs
תפ_13065-08-15,drugs
תפ_45156-04-15,drugs
תפ_27542-11-14,drugs
תפ_56624-12-19,drugs
תפ_17659-07-15,drugs
תפ_37694-03-15,drugs
תפ_33197-04-22,drugs
תפ_7696-05-20,drugs
תפ_62155-10-21,drugs
תפ_32956-11-20,drugs
תפ_9851-11-21,drugs
תפ_56960-06-22,drugs
תפ_23659-04-22,drugs
תפ_57599-11-15,drugs
תפ_28122-06-23,drugs
תפ_34303-01-11,drugs
תפ_50621-12-11,drugs
תפ_7684-08-22,drugs
תפ_21495-01-14,drugs
תפ_15392-04-17,drugs
תפ_24551-06-22,drugs
תפ_9182-10-15,drugs
תפ_25835-05-18,drugs
תפ_68942-01-19,drugs
תפ_59602-07-15,drugs
תפ_1611-03-19,drugs
תפ_1788-06-17,drugs
תפ_9457-04-23,drugs
תפ_65884-10-13,drugs
תפ_29279-03-16,drugs
תפ_56179-02-18,drugs
תפ_34656-04-13,drugs
תפ_1062-08-22,drugs
תפ_16958-01-14,drugs
תפ_15812-03-15,drugs
תפ_8118-06-21,drugs
תפ_1057-05-15,drugs
תפ_59800-05-22,drugs
תפ_48135-05-14,drugs
תפ_45012-03-20,drugs
תפ_21108-02-24,drugs
תפ_102-01-18,drugs
תפ_49406-03-10,drugs
תפ_3667-07-15,drugs
תפ_56691-03-21,drugs
תפ_73863-01-19,drugs
תפ_35938-10-21,drugs
תפ_42231-01-20,drugs
תפ_31579-08-23,drugs
תפ_34771-07-20,drugs
תפ_42692-01-20,drugs
תפ_11072-03-18,drugs
תפ_68051-09-16,drugs
תפ_9705-01-21,drugs
תפ_17898-09-21,drugs
תפ_59087-01-18,drugs
תפ_42707-08-21,drugs
תפ_10316-06-13,drugs
תפ_18952-03-16,drugs
תפ_33615-05-22,drugs
תפ_51006-11-21,drugs
תפ_66041-01-18,drugs
תפ_49410-09-23,drugs
תפ_58603-06-21,drugs
תפ_42543-06-14,drugs
תפ_47344-10-15,drugs
תפ_27512-06-23,drugs
תפ_30580-02-21,drugs
תפ_34974-01-12,drugs
תפ_72027-10-21,drugs
תפ_43175-10-12,drugs
תפ_21536-06-20,drugs
תפ_19408-11-14,drugs
תפ_38706-09-21,drugs
תפ_45794-05-23,drugs
תפ_41174-02-18,drugs
תפ_21280-11-18,drugs
תפ_28931-09-20,drugs
תפ_50680-03-22,drugs
תפ_10215-10-19,drugs
תפ_45633-05-17,drugs
תפ_5119-09-13,drugs
תפ_1231-03-14,drugs
תפ_59578-12-21,drugs
תפ_53625-07-22,drugs
תפ_46118-07-24,drugs
תפ_39612-02-20,drugs
תפ_11446-09-21,drugs
תפ_1175-08-21,drugs
תפ_22609-10-16,drugs
תפ_48799-06-16,drugs
תפ_11199-09-21,drugs
תפ_63404-02-24,drugs
תפ_3256-16,drugs
תפ_66147-10-13,drugs
תפ_44415-01-17,drugs
תפ_73367-01-19,drugs
תפ_12699-03-18,drugs
תפ_64041-02-19,drugs
תפ_37166-02-20,drugs
תפ_27335-08-21,drugs
תפ_35389-01-21,drugs
תפ_20469-11-15,drugs
תפ_14510-07-16,drugs
תפ_17995-06-22,drugs
תפ_42673-04-12,drugs
תפ_25278-01-18,drugs
תפ_29504-09-13,drugs
תפ_32722-12-19,drugs
תפ_32041-03-21,drugs
תפ_49232-01-17,drugs
תפ_30876-03-17,drugs
תפ_12834-03-18,drugs
תפ_65260-11-15,drugs
תפ_34581-05-24,drugs
תפ_1418-12-17,drugs
תפ_19410-07-20,drugs
תפ_65264-01-20,drugs
תפ_44357-06-12,drugs
תפ_41801-01-21,drugs
תפ_11701-02-20,drugs
תפ_21388-11-12,drugs
תפ_48983-06-18,drugs
תפ_9160-02-15,drugs
תפ_20841-09-15,drugs
תפ_14998-08-16,drugs
