verdict,domain,split
תפ_1219-06-23,weapon,train
תפח_40250-06-21,weapon,train
תפ_54338-03-21,weapon,train
תפ_7109-02-21,weapon,train
תפ_69261-01-23,weapon,train
תפח_53498-02-20,weapon,test
תפח_53698-03-17,weapon,train
תפח_27955-05-10,weapon,train
תפ_29375-04-13,weapon,train
תפ_12791-05-20,weapon,train
תפ_34366-04-24,weapon,train
תפח_30145-08-13,weapon,train
תפ_59812-02-16,weapon,train
תפח_33100-10-18,weapon,train
תפ_61452-02-16,weapon,train
תפע_10438-03-22,weapon,train
תפ_40321-10-23,weapon,train
תפ_30340-08-20,weapon,test
תפ_31228-01-22,weapon,train
תפ_34557-12-11,weapon,train
תפ_32227-11-20,weapon,train
תפ_46248-11-15,weapon,test
תפח_34802-06-19,weapon,train
תפ_56177-03-18,weapon,test
תפח_10713-11-21,weapon,train
תפ_18689-01-17,weapon,train
תפ_51716-06-17,weapon,test
תפ_70111-03-23,weapon,train
תפ_16521-01-22,weapon,train
תפח_35048-04-17,weapon,train
תפ_24819-03-23,weapon,train
תפ_31962-08-23,weapon,train
תפ_8748-02-14,weapon,train
תפ_42581-06-21,weapon,test
תפ_61299-12-19,weapon,train
תפ_46546-02-21,weapon,train
תפ_61106-05-20,weapon,train
תפ_41762-12-20,weapon,test
תפ_1118-10-18,weapon,test
תפ_40811-07-23,weapon,train
תפ_41952-02-22,weapon,train
תפ_28246-06-21,weapon,train
תפ_57972-08-24,weapon,train
תפ_49845-03-24,weapon,train
תפ_19235-03-13,weapon,train
תפ_3531-12-13,weapon,test
תפ_45994-08-21,weapon,train
תפ_38471-05-24,weapon,train
תפ_45025-05-22,weapon,train
תפ_13301-07-18,weapon,train
תפ_22405-05-23,weapon,train
תפ_5275-07-21,weapon,train
תפ_55188-10-17,weapon,train
תפח_46412-12-15,weapon,train
תפ_10524-05-18,weapon,train
תפ_57000-05-22,weapon,train
תפ_38355-09-23,weapon,train
תפ_29566-04-21,weapon,train
תפ_40823-03-22,weapon,train
תפ_52268-07-10,weapon,train
תפ_51506-01-22,weapon,train
תפ_48598-11-20,weapon,test
תפ_50716-11-19,weapon,train
תפח_52360-06-20,weapon,test
תפ_28845-04-22,weapon,train
תפח_17865-11-21,weapon,train
תפ_70166-03-23,weapon,train
תפ_27619-07-22,weapon,train
תפ_28332-02-21,weapon,test
תפ_46638-05-22,weapon,train
תפ_23749-12-19,weapon,train
תפ_57965-03-15,weapon,train
תפ_52626-07-15,weapon,train
תפ_70062-03-23,weapon,train
תפח_54962-08-15,weapon,train
תפ_28796-07-22,weapon,train
תפ_35179-09-14,weapon,train
תפ_395-05-17,weapon,train
תפ_64941-05-17,weapon,train
תפ_12606-07-22,weapon,train
תפ_50474-09-22,weapon,train
תפח_24905-02-18,weapon,train
תפ_46183-11-15,weapon,train
תפ_14375-02-23,weapon,test
תפ_53784-12-13,weapon,train
תפ_2312-01-21,weapon,train
תפ_54607-07-19,weapon,train
תפ_61759-02-19,weapon,train
תפ_7108-02-16,weapon,train
תפח_41585-03-16,weapon,train
תפ_35326-09-23,weapon,train
תפ_5711-02-09,weapon,train
תפ_7860-01-13,weapon,train
תפ_48621-05-22,weapon,train
תפ_37083-11-14,weapon,train
תפ_23015-06-19,weapon,train
תפ_57020-05-22,weapon,train
תפ_51170-10-23,weapon,train
תפ_18410-04-24,weapon,train
תפ_16520-01-18,weapon,train
תפ_11898-11-22,weapon,train
תפ_50809-07-17,weapon,train
תפ_47048-02-20,weapon,train
תפ_12233-08-12,weapon,test
תפ_19384-05-16,weapon,train
תפ_10938-11-23,weapon,test
תפ_37104-06-22,weapon,train
תפ_24044-06-22,weapon,test
תפ_56328-06-22,weapon,train
תפ_41271-08-14,weapon,train
תפ_7617-07-23,weapon,train
תפ_59934-02-24,weapon,train
תפ_50148-01-14,weapon,train
תפ_1588-10-22,weapon,train
תפ_60765-03-22,weapon,train
תפ_4531-05-21,weapon,train
תפ_16779-09-22,weapon,train
תפ_52789-09-22,weapon,train
תפ_39183-11-13,weapon,train
תפ_21594-06-16,weapon,train
תפ_76750-01-23,weapon,train
תפ_9384-04-20,weapon,train
תפ_33945-10-21,weapon,test
תפ_31034-06-17,weapon,train
תפח_12968-10-12,weapon,train
תפ_50556-08-17,weapon,train
תפ_13632-08-17,weapon,test
תפ_12406-11-15,weapon,train
תפ_22971-02-22,weapon,train
תפ_5151-10-19,weapon,train
תפ_7279-05-21,weapon,train
תפ_45092-04-14,weapon,test
תפ_9910-03-22,weapon,train
תפ_11843-03-20,weapon,test
תפ_48522-09-23,weapon,train
תפ_37175-07-20,weapon,test
תפ_1847-05-14,weapon,train
תפ_57707-05-20,weapon,train
תפ_23796-08-14,weapon,train
תפ_3468-11-23,weapon,train
תפ_48905-12-20,weapon,train
תפ_11197-06-13,weapon,train
תפ_7196-03-21,weapon,test
תפח_58697-01-16,weapon,test
תפ_7074-11-23,weapon,train
תפ_50986-12-16,weapon,train
תפ_52000-02-15,weapon,test
תפ_20387-03-23,weapon,train
תפ_60820-07-14,weapon,train
תפ_37919-02-23,weapon,train
תפ_39723-12-22,weapon,test
תפ_54132-03-21,weapon,train
תפ_2009-07-21,weapon,test
תפ_31972-04-12,weapon,train
תפ_7317-01-15,weapon,train
תפ_31334-11-15,weapon,train
תפ_11443-11-22,weapon,test
תפ_522-05-17,weapon,test
תפ_21415-03-17,weapon,train
תפ_39831-02-22,weapon,train
תפ_4411-07-19,weapon,train
תפ_10096-07-19,weapon,train
תפח_18488-12-15,weapon,train
תפ_17839-04-22,weapon,train
תפ_51471-12-21,weapon,test
תפ_60494-05-12,weapon,train
תפ_59003-05-24,weapon,train
תפ_41242-02-17,weapon,test
תפ_28787-04-22,weapon,train
תפ_47766-07-12,weapon,test
תפ_31249-06-14,weapon,test
תפ_18557-10-21,weapon,train
תפ_28662-02-15,weapon,test
תפ_3537-01-23,weapon,test
תפ_34507-07-19,weapon,train
תפ_32775-09-23,weapon,train
תפ_15771-02-13,weapon,train
תפ_6832-11-23,weapon,train
תפ_30972-10-18,weapon,train
תפח_4633-09-16,weapon,test
תפ_45561-07-21,weapon,train
תפח_30634-12-11,weapon,train
תפ_983-05-15,weapon,train
תפ_229-08-16,weapon,train
תפ_32907-12-20,weapon,train
תפ_66310-07-17,weapon,test
תפ_5085-07-17,weapon,train
תפח_54935-07-13,weapon,train
תפ_12376-04-20,weapon,train
תפ_31872-04-12,weapon,test
תפח_20615-12-22,weapon,train
תפ_64950-06-16,weapon,test
תפ_25672-10-23,weapon,train
תפ_2108-08-21,weapon,train
תפ_45456-12-21,weapon,train
תפ_30706-05-21,weapon,test
תפ_57220-05-15,weapon,train
תפ_19272-12-19,weapon,train
תפח_16644-04-16,weapon,train
תפ_50686-04-24,weapon,train
תפ_65630-05-23,weapon,train
תפח_11230-01-12,weapon,train
תפ_35488-11-23,weapon,train
תפ_50819-09-11,weapon,train
תפ_43271-05-21,weapon,test
תפ_10838-04-23,weapon,test
תפ_48978-07-21,weapon,train
תפ_23992-11-21,weapon,train
תפ_16157-04-17,weapon,train
תפ_30191-05-15,weapon,train
תפ_23851-06-15,weapon,train
תפ_52077-12-20,weapon,train
תפ_14802-02-23,weapon,train
תפח_866-07-14,weapon,train
תפ_32264-10-17,weapon,test
תפ_37387-04-18,weapon,train
תפח_32740-12-12,weapon,train
תפ_5013-12,weapon,train
תפ_26549-09-21,weapon,test
תפ_59533-10-15,weapon,train
תפ_40983-10-20,weapon,test
תפ_28844-03-22,weapon,train
תפ_37191-05-16,weapon,train
תפ_50998-03-23,weapon,train
תפ_24163-04-15,weapon,train
תפ_43245-08-20,weapon,train
תפ_30560-02-21,weapon,train
תפח_41965-05-16,weapon,train
תפ_33605-10-21,weapon,test
תפ_4338-04-13,weapon,train
תפ_45339-12-20,weapon,train
תפ_5007-12,weapon,train
תפ_35364-01-18,weapon,test
תפ_16760-09-22,weapon,train
תפ_56601-02-14,weapon,train
תפ_23253-12-15,weapon,train
תפ_7498-11-14,weapon,train
תפ_23872-02-19,weapon,train
תפ_8542-11-21,weapon,train
תפח_43110-11-15,weapon,train
תפ_14824-12-13,weapon,train
תפ_48772-11-20,weapon,train
תפ_49990-03-13,weapon,train
תפ_37065-10-15,weapon,train
תפ_41851-06-12,weapon,train
תפ_50068-09-23,weapon,train
תפ_57609-12-16,weapon,train
תפ_9115-10-16,weapon,test
תפ_39998-08-15,weapon,test
תפ_10180-01-24,weapon,train
תפ_51473-05-20,weapon,train
תפ_15423-12-19,weapon,train
תפח_72185-03-23,weapon,train
תפ_4676-01-20,weapon,train
תפ_30433-06-22,weapon,train
תפ_57498-03-19,weapon,train
תפ_273-10-15,weapon,train
תפ_41041-07-21,weapon,test
תפ_38154-09-17,weapon,train
תפ_12543-08-23,weapon,train
תפח_15217-03-19,weapon,train
תפ_19821-02-17,weapon,train
תפח_4283-02-18,weapon,train
תפ_52782-09-22,weapon,test
תפ_43406-05-13,weapon,train
תפ_34594-07-13,weapon,train
תפח_34337-05-11,weapon,test
תפ_20154-07-20,weapon,test
תפ_41375-05-22,weapon,train
תפ_66893-12-21,weapon,train
תפ_6961-02-22,weapon,train
תפ_25639-03-21,weapon,train
תפ_3429-07-20,weapon,test
תפ_37701-05-13,weapon,train
תפ_4088-10-20,weapon,train
תפ_46250-11-21,weapon,train
תפ_36608-09-20,weapon,train
תפ_48057-03-21,weapon,train
תפ_52126-11-23,weapon,train
תפ_59488-11-21,weapon,train
תפ_56064-01-14,weapon,train
תפ_53615-01-19,weapon,train
תפ_63642-12-18,weapon,train
תפ_39941-11-19,weapon,train
תפח_30875-04-17,weapon,test
תפ_56073-05-18,weapon,train
תפח_2642-04-19,weapon,train
תפ_58206-07-18,weapon,train
תפ_14284-06-21,weapon,test
תפ_17304-12-17,weapon,train
תפ_45226-12-22,weapon,train
תפ_51944-02-16,weapon,train
תפ_15376-06-13,weapon,train
תפ_45965-07-16,weapon,test
תפ_58701-01-20,weapon,train
תפ_23361-02-22,weapon,train
תפ_60429-12-21,weapon,test
תפ_52848-09-22,weapon,train
תפ_57914-10-13,weapon,test
תפ_48435-02-17,weapon,train
תפ_50487-06-22,weapon,train
תפ_9986-02-22,weapon,train
תפ_21139-04-17,weapon,train
תפ_54104-07-12,weapon,train
תפ_1390-04-22,weapon,train
תפח_35192-06-12,weapon,test
תפח_39587-07-21,weapon,test
תפ_21064-04-23,weapon,test
תפ_59464-09-23,weapon,test
תפ_34982-07-23,weapon,train
תפח_1307-09-13,weapon,train
תפ_33131-05-20,weapon,train
תפ_14885-06-24,weapon,test
תפ_68789-07-19,weapon,train
תפח_6462-02-23,weapon,test
תפ_47548-07-15,weapon,train
תפ_50301-09-22,weapon,train
תפ_54150-10-13,weapon,train
תפ_1995-03-17,weapon,train
תפ_43752-01-19,weapon,train
תפ_26347-11-23,weapon,train
תפ_21981-08-16,weapon,train
תפ_28730-05-21,weapon,test
תפ_49021-11-21,weapon,train
תפ_4353-02-23,weapon,train
תפ_45417-03-14,weapon,train
תפ_53496-03-18,weapon,train
תפח_21279-09-15,weapon,train
תפ_39071-12-15,weapon,train
תפ_34003-04-18,weapon,train
תפ_17916-05-19,weapon,train
תפ_63355-02-23,weapon,train
תפ_56421-08-23,weapon,train
תפ_26702-01-23,weapon,train
תפ_29566-01-22,weapon,train
תפ_34027-04-18,weapon,train
תפ_45441-11-15,weapon,train
תפ_58774-07-22,weapon,train
תפ_67356-12-21,weapon,train
תפ_20644-11-22,weapon,train
תפ_18039-10-21,weapon,train
תפ_3661-11-23,weapon,train
תפ_56900-11-18,weapon,train
תפ_12028-05-22,weapon,test
תפ_31087-09-14,weapon,train
תפ_32882-09-21,weapon,train
תפח_5551-06-16,weapon,test
תפ_19130-12-21,weapon,test
תפ_13864-11-15,weapon,train
תפח_793-07-14,weapon,train
תפ_17891-03-14,weapon,test
תפ_3986-06-22,weapon,train
תפ_1203-08-19,weapon,train
תפ_31467-07-14,weapon,test
תפח_35646-03-11,weapon,train
תפ_3002-09-20,weapon,test
תפ_9179-04-16,weapon,test
תפ_37722-09-23,weapon,train
תפ_54444-04-22,weapon,train
תפ_45597-11-14,weapon,train
תפ_38135-04-15,weapon,train
תפ_52322-10-23,weapon,train
תפ_11362-10-15,weapon,train
תפ_37871-05-19,weapon,test
תפ_10182-01-24,weapon,train
תפ_15135-09-21,weapon,train
תפ_15105-08-14,weapon,train
תפ_40313-09-15,weapon,train
תפ_22709-12-21,weapon,train
תפ_26622-12-23,weapon,train
תפ_17125-03-24,weapon,train
תפ_25624-03-22,weapon,train
תפ_52390-06-19,weapon,train
תפ_15387-01-21,weapon,train
תפ_12411-02-21,weapon,train
תפ_43471-12-22,weapon,test
תפ_3772-01-16,weapon,train
תפ_50916-06-16,weapon,train
תפ_17378-04-24,weapon,train
תפ_36982-03-18,weapon,test
תפ_1106-03-18,weapon,test
תפ_36287-01-22,weapon,test
תפ_4759-12-23,weapon,train
תפ_7049-08-20,weapon,train
תפ_73989-12-19,weapon,test
תפ_1363-04-22,weapon,train
תפ_52225-03-18,weapon,train
תפ_28100-07-20,weapon,train
תפ_11799-09-13,weapon,train
תפ_62177-11-19,weapon,test
תפ_74569-05-24,weapon,test
תפ_30765-08-11,weapon,test
תפ_63328-04-21,weapon,train
תפ_1579-04-23,weapon,train
תפ_46737-07-22,weapon,train
תפ_26210-11-21,weapon,train
תפ_18210-05-23,weapon,train
תפ_22526-02-21,weapon,train
תפ_35702-02-13,weapon,train
תפ_43085-06-21,weapon,test
תפ_33772-09-24,weapon,train
תפח_13491-09-20,weapon,train
תפ_63147-12-16,weapon,train
תפ_47686-01-15,weapon,train
תפ_37259-03-12,weapon,train
תפ_9632-08-23,weapon,train
תפ_70392-03-23,weapon,train
תפ_31640-02-23,weapon,train
תפ_34526-06-18,weapon,train
תפ_52790-03-18,weapon,train
תפ_61452-12-22,weapon,train
תפ_3728-01-15,weapon,test
תפ_53633-09-22,weapon,train
תפ_41276-06-17,weapon,train
תפ_43400-05-13,weapon,train
תפ_51663-11-23,weapon,train
תפ_36369-08-17,weapon,test
תפ_27785-07-23,weapon,train
תפ_16638-07-21,weapon,train
תפ_26069-10-19,weapon,train
תפ_21009-03-15,weapon,test
תפ_26654-06-14,weapon,train
תפ_28991-04-22,weapon,test
תפ_13471-01-22,weapon,train
תפ_13995-12-22,weapon,train
תפ_52895-01-18,weapon,train
תפ_14373-03-22,weapon,train
תפ_18327-09-22,weapon,train
תפ_30617-02-22,weapon,train
תפ_22030-04-19,weapon,train
תפ_50334-03-20,weapon,test
תפ_36505-12-20,weapon,train
תפ_49079-07-16,weapon,train
תפ_64581-08-23,weapon,train
תפ_49344-11-23,weapon,train
תפ_25546-11-23,weapon,train
תפ_1158-05-20,weapon,train
תפ_27277-01-15,weapon,train
תפ_12376-10-18,weapon,train
תפ_54432-02-17,weapon,train
תפ_14531-07-16,weapon,train
תפ_54202-01-23,weapon,train
תפ_23707-03-19,weapon,train
תפ_29947-07-23,weapon,test
תפ_54455-01-21,weapon,train
תפ_54418-06-19,weapon,train
תפ_40240-09-12,weapon,train
תפ_19417-11-16,weapon,train
תפ_8416-07-21,weapon,train
תפ_32787-10-18,weapon,train
תפ_34242-02-16,weapon,train
תפ_57425-01-22,weapon,train
תפ_18013-01-15,weapon,train
תפ_45446-11-15,weapon,train
תפ_49685-01-24,weapon,train
תפ_6421-12-11,weapon,train
תפ_69941-03-23,weapon,test
תפ_44579-08-15,weapon,train
תפ_45191-09-14,weapon,train
תפ_52009-02-15,weapon,train
תפ_6875-02-22,weapon,test
תפ_45713-07-17,weapon,train
תפ_48367-11-11,weapon,train
תפ_35121-09-22,weapon,train
תפ_26801-07-13,weapon,train
תפ_30391-06-20,weapon,train
תפ_32339-12-19,weapon,train
תפ_41522-05-18,weapon,train
תפח_53763-12-15,weapon,train
תפ_1756-04-15,weapon,train
תפ_19741-04-17,weapon,train
תפ_67437-05-24,weapon,train
תפ_43957-09-20,weapon,train
תפ_29243-03-15,weapon,test
תפ_44826-05-13,weapon,train
תפ_29620-01-23,weapon,train
תפ_54719-09-20,weapon,train
תפ_58626-07-22,weapon,test
תפ_4764-08-22,weapon,test
תפ_33128-06-22,weapon,train
תפ_58773-08-21,weapon,train
תפ_45798-02-16,weapon,train
תפ_51523-10-17,weapon,train
תפ_68763-07-20,weapon,train
תפ_17919-01-15,weapon,test
תפ_40492-12-14,weapon,train
תפ_68529-11-21,weapon,train
תפ_30015-07-16,weapon,train
תפ_48354-10-23,weapon,train
תפ_21813-09-16,weapon,test
תפ_33402-04-13,weapon,train
תפ_25922-06-24,weapon,train
תפ_31270-05-24,weapon,train
תפ_10300-06-20,weapon,train
תפ_41967-08-17,weapon,train
תפ_26552-06-23,weapon,train
תפ_45465-11-15,weapon,train
תפ_5214-02-24,weapon,test
תפ_15905-09-18,weapon,test
תפ_23416-08-24,weapon,train
תפ_47668-06-16,weapon,train
תפ_11814-06-18,weapon,train
תפ_39234-11-13,weapon,train
תפ_17137-11-21,weapon,train
תפ_33342-01-14,weapon,train
תפ_51199-04-23,weapon,train
תפ_57687-05-22,weapon,train
תפ_49294-07-20,weapon,train
תפ_39792-12-21,weapon,train
תפ_3742-07-18,weapon,train
תפ_31355-10-13,weapon,test
תפ_31498-01-16,weapon,train
תפ_59614-09-23,weapon,train
תפ_46108-06-20,weapon,train
תפ_4612-07-22,weapon,test
תפ_28615-08-17,weapon,train
תפ_41855-07-16,weapon,train
תפ_57474-07-15,weapon,test
תפ_1631-01-22,weapon,train
תפ_47276-02-22,weapon,train
תפ_12035-06-20,weapon,train
תפח_37780-03-22,weapon,test
תפ_50626-09-22,weapon,train
תפח_47805-04-13,weapon,test
תפ_7813-06-22,weapon,train
תפ_19242-04-17,weapon,test
תפ_17057-08-20,weapon,train
תפ_11734-06-22,weapon,train
תפ_60792-07-18,weapon,test
תפ_23075-10-23,weapon,train
תפ_51209-04-23,weapon,train
תפ_53954-11-22,weapon,test
תפ_11042-06-20,weapon,train
תפ_62238-06-20,weapon,train
תפ_33458-08-14,weapon,train
תפ_51296-08-21,weapon,train
תפ_52188-03-22,weapon,train
תפ_53715-12-15,weapon,train
תפ_35361-05-23,weapon,train
תפ_14786-08-19,weapon,train
תפ_61087-12-18,weapon,train
תפ_2101-10-19,weapon,train
תפ_55670-06-17,weapon,train
תפ_19642-04-18,weapon,test
תפ_58770-07-22,weapon,train
תפ_57628-05-17,weapon,test
תפ_37255-05-23,weapon,train
תפ_38886-12-22,weapon,train
תפ_57001-11-21,weapon,train
תפ_52101-02-15,weapon,train
תפ_11167-01-23,weapon,train
תפ_12681-12-17,weapon,train
תפ_28889-07-14,weapon,train
תפ_36508-10-23,weapon,train
תפ_49995-09-17,weapon,train
תפ_8152-10-22,weapon,train
תפ_57218-12-15,weapon,train
תפ_42976-08-17,weapon,train
תפ_70373-03-23,weapon,train
תפ_35105-06-12,weapon,train
תפ_23071-12-22,weapon,train
תפ_68096-11-21,weapon,train
תפ_59067-10-21,weapon,test
תפ_4102-11-20,weapon,train
תפ_38225-07-14,weapon,train
תפ_49331-02-16,weapon,test
תפ_3013-04-18,weapon,train
תפ_43643-10-15,weapon,train
תפ_21696-04-20,weapon,train
תפ_69925-03-23,weapon,train
תפ_53860-09-14,weapon,train
תפח_63535-10-13,weapon,train
תפ_51971-12-21,weapon,train
תפ_5795-07-14,weapon,train
תפ_12109-06-15,weapon,test
תפ_15120-07-16,weapon,train
תפ_52256-03-20,weapon,train
תפ_49151-10-20,weapon,test
תפ_49416-04-18,weapon,train
תפ_59369-03-18,weapon,train
תפ_45083-08-21,weapon,train
תפ_11134-01-19,weapon,train
תפ_46916-07-22,weapon,train
תפ_41599-03-22,weapon,test
תפ_47917-01-16,weapon,train
תפ_17573-10-22,weapon,train
תפ_14593-04-20,weapon,test
תפ_1294-04-22,weapon,train
תפ_51828-02-14,weapon,test
תפ_73275-01-23,weapon,test
תפח_15153-09-18,weapon,train
תפ_44352-03-12,weapon,test
תפח_1057-07,weapon,train
תפ_811-04-23,weapon,train
תפ_41600-02-21,weapon,train
תפ_17776-11-21,weapon,train
תפ_7735-04-19,weapon,train
תפ_42613-02-23,weapon,train
תפ_6433-05-14,weapon,train
תפ_34630-12-21,weapon,train
תפ_28518-08-20,weapon,train
תפ_45761-05-17,weapon,train
תפ_30966-07-22,weapon,train
תפ_7089-08-23,weapon,train
תפ_24207-06-13,weapon,train
תפ_43338-05-16,weapon,test
תפ_42291-02-16,weapon,test
תפ_25823-12-14,weapon,train
עפ_3804-10,weapon,test
תפ_10171-06-22,weapon,train
תפ_19438-03-18,weapon,train
תפ_24361-06-21,weapon,train
תפ_52515-03-20,weapon,train
תפ_51686-12-12,weapon,train
תפ_39500-07-20,weapon,train
תפ_35396-04-22,weapon,train
תפ_18300-11-18,weapon,test
תפ_29305-05-23,weapon,train
תפ_35227-05-17,weapon,train
תפ_16996-08-12,weapon,test
תפ_3384-12-23,weapon,train
תפ_19950-09-23,weapon,train
תפ_44918-12-14,weapon,train
תפ_54807-01-21,weapon,train
תפ_10115-02-21,weapon,train
תפ_8718-02-14,weapon,test
תפ_26801-10-19,weapon,train
תפ_39731-01-15,weapon,train
תפ_41294-08-14,weapon,train
תפ_5000-12,weapon,train
תפ_13154-01-18,weapon,train
תפ_27929-03-19,weapon,train
תפ_18397-02-16,weapon,train
תפ_37188-06-23,weapon,train
תפ_1580-11-23,weapon,test
תפ_13785-04-15,weapon,test
תפ_30242-04-16,weapon,train
תפ_36267-12-23,weapon,train
תפ_61181-07-23,weapon,train
תפ_40234-09-12,weapon,train
תפ_35979-08-19,weapon,train
תפ_16161-04-21,weapon,train
תפ_3548-09-24,weapon,train
תפ_42324-09-20,weapon,train
תפ_32685-07-15,weapon,test
תפ_63018-05-18,weapon,train
תפ_26164-01-21,weapon,train
תפ_34610-05-12,weapon,train
תפ_16191-10-12,weapon,train
תפ_17766-12-20,weapon,train
תפ_26547-09-21,weapon,train
תפ_36728-06-18,weapon,train
תפ_11104-07-19,weapon,train
תפ_21459-01-16,weapon,train
תפ_398-09-16,weapon,test
תפ_57618-05-17,weapon,test
תפ_1802-01-21,weapon,train
תפ_35683-04-18,weapon,train
תפ_38883-05-22,weapon,train
תפ_66542-05-20,weapon,train
תפ_3068-11-15,weapon,train
תפ_38687-04-20,weapon,train
תפ_71476-07-23,weapon,train
תפ_42326-01-11,weapon,train
תפ_23475-08-13,weapon,train
תפ_57996-05-20,weapon,test
תפ_63155-05-23,weapon,train
תפ_34669-01-23,weapon,train
תפ_60805-07-19,weapon,train
תפ_7165-06-15,weapon,train
תפ_45638-07-12,weapon,train
תפ_45761-05-24,weapon,test
תפ_2884-04-13,weapon,test
תפ_54615-03-16,weapon,train
תפ_68319-11-22,weapon,train
תפ_9968-05-16,weapon,train
תפ_26478-04-22,weapon,test
תפ_20811-11-15,weapon,test
תפ_7942-05-18,weapon,train
