domain,task,model,representation,f1,precision,recall,ap_pr,threshold,n_valid,n_failed,stats_file,preds_csv
drugs,binary_0,gemini_3_flash,manual_fe,0.8986,0.9688,0.8378,0.9381649048398877,68.3417,100,0,similarity_database_fe_v6score_gemini_3_flash_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_v6score_gemini_3_flash_binary_0_preds.csv
drugs,binary_0,gemma3_27b,manual_fe,0.8046,0.7,0.9459,0.8557016909958086,60.3015,100,0,similarity_database_fe_v6score_gemma3_27b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_v6score_gemma3_27b_binary_0_preds.csv
drugs,binary_0,gpt4,manual_fe,0.8611,0.8857,0.8378,0.9137457999231893,60.3015,100,0,similarity_database_fe_v6score_gpt4_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_v6score_gpt4_binary_0_preds.csv
drugs,binary_0,gpt51_thinking,manual_fe,0.8358,0.9333,0.7568,0.9096340016723166,70.3518,100,0,similarity_database_fe_v6score_gpt51_thinking_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_v6score_gpt51_thinking_binary_0_preds.csv
drugs,binary_0,gpt52,manual_fe,0.88,0.8684,0.8919,0.9306842290468178,56.2814,100,0,similarity_database_fe_v6score_gpt52_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_v6score_gpt52_binary_0_preds.csv
drugs,binary_0,gpt5mini,manual_fe,0.88,0.8684,0.8919,0.9287167644492145,64.3216,100,0,similarity_database_fe_v6score_gpt5mini_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_v6score_gpt5mini_binary_0_preds.csv
drugs,binary_0,llama3_70b,manual_fe,0.8095,0.7234,0.9189,0.8715856540972174,58.2915,100,0,similarity_database_fe_v6score_llama3_70b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_v6score_llama3_70b_binary_0_preds.csv
drugs,binary_0,mistral,manual_fe,0.7733,0.7632,0.7838,0.8506650978551068,70.3518,100,0,similarity_database_fe_v6score_mistral_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_v6score_mistral_binary_0_preds.csv
drugs,binary_0,qwen3_235b,manual_fe,0.8358,0.9333,0.7568,0.9020233043910695,55.2764,100,0,similarity_database_fe_v6score_qwen3_235b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_v6score_qwen3_235b_binary_0_preds.csv
drugs,binary_0,qwen_hf,manual_fe,0.8732,0.9118,0.8378,0.9109741457717917,58.2915,100,0,similarity_database_fe_v6score_qwen_hf_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_v6score_qwen_hf_binary_0_preds.csv
drugs,binary_0,gemini_25_pro,hybrid_full_gpt,0.8286,0.8056,0.8529,,40.201,100,0,similarity_database_hybrid_full_gpt_v6score_gemini_25_pro_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_full_gpt_v6score_gemini_25_pro_binary_0_preds.csv
drugs,binary_0,gemini_3_flash,hybrid_full_gpt,0.5075,0.34,1.0,,0.0,100,0,similarity_database_hybrid_full_gpt_v6score_gemini_3_flash_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_full_gpt_v6score_gemini_3_flash_binary_0_preds.csv
drugs,binary_0,gemma3_27b,hybrid_full_gpt,0.7586,0.9167,0.6471,,65.3266,100,0,similarity_database_hybrid_full_gpt_v6score_gemma3_27b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_full_gpt_v6score_gemma3_27b_binary_0_preds.csv
drugs,binary_0,gpt4,hybrid_full_gpt,0.8485,0.875,0.8235,,65.3266,100,0,similarity_database_hybrid_full_gpt_v6score_gpt4_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_full_gpt_v6score_gpt4_binary_0_preds.csv
drugs,binary_0,gpt51_thinking,hybrid_full_gpt,0.8358,0.8485,0.8235,,65.3266,100,0,similarity_database_hybrid_full_gpt_v6score_gpt51_thinking_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_full_gpt_v6score_gpt51_thinking_binary_0_preds.csv
drugs,binary_0,gpt52,hybrid_full_gpt,0.8529,0.8529,0.8529,,58.2915,100,0,similarity_database_hybrid_full_gpt_v6score_gpt52_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_full_gpt_v6score_gpt52_binary_0_preds.csv
drugs,binary_0,gpt5mini,hybrid_full_gpt,0.8438,0.9,0.7941,,64.3216,100,0,similarity_database_hybrid_full_gpt_v6score_gpt5mini_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_full_gpt_v6score_gpt5mini_binary_0_preds.csv
drugs,binary_0,llama3_70b,hybrid_full_gpt,0.8169,0.7838,0.8529,,58.2915,100,0,similarity_database_hybrid_full_gpt_v6score_llama3_70b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_full_gpt_v6score_llama3_70b_binary_0_preds.csv
drugs,binary_0,nemotron3_nano,hybrid_full_gpt,0.6909,0.9048,0.5588,,40.201,100,0,similarity_database_hybrid_full_gpt_v6score_nemotron3_nano_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_full_gpt_v6score_nemotron3_nano_binary_0_preds.csv
drugs,binary_0,qwen3_235b,hybrid_full_gpt,0.8254,0.8966,0.7647,,58.2915,100,0,similarity_database_hybrid_full_gpt_v6score_qwen3_235b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_full_gpt_v6score_qwen3_235b_binary_0_preds.csv
drugs,binary_0,qwen_hf,hybrid_full_gpt,0.8254,0.8966,0.7647,,58.2915,100,0,similarity_database_hybrid_full_gpt_v6score_qwen_hf_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_full_gpt_v6score_qwen_hf_binary_0_preds.csv
drugs,binary_0,gemini_25_pro,hybrid_manual_gpt,0.8684,0.8462,0.8919,0.7640613510361409,35.1759,100,0,similarity_database_hybrid_v6score_gemini_25_pro_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_v6score_gemini_25_pro_binary_0_preds.csv
drugs,binary_0,gemini_3_flash,hybrid_manual_gpt,0.8718,0.8293,0.9189,0.8267001244942421,58.2915,100,0,similarity_database_hybrid_v6score_gemini_3_flash_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_v6score_gemini_3_flash_binary_0_preds.csv
drugs,binary_0,gemma3_27b,hybrid_manual_gpt,0.8,0.7442,0.8649,0.7534722222222222,55.2764,100,0,similarity_database_hybrid_v6score_gemma3_27b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_v6score_gemma3_27b_binary_0_preds.csv
drugs,binary_0,gpt4,hybrid_manual_gpt,0.878,0.8,0.973,0.8670695045695045,40.201,100,0,similarity_database_hybrid_v6score_gpt4_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_v6score_gpt4_binary_0_preds.csv
drugs,binary_0,gpt51_thinking,hybrid_manual_gpt,0.878,0.8,0.973,0.8476661801374447,58.2915,100,0,similarity_database_hybrid_v6score_gpt51_thinking_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_v6score_gpt51_thinking_binary_0_preds.csv
drugs,binary_0,gpt52,hybrid_manual_gpt,0.8732,0.9118,0.8378,0.8744872438119565,56.2814,100,0,similarity_database_hybrid_v6score_gpt52_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_v6score_gpt52_binary_0_preds.csv
drugs,binary_0,gpt5mini,hybrid_manual_gpt,0.881,0.7872,1.0,0.8616938616938618,55.2764,100,0,similarity_database_hybrid_v6score_gpt5mini_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_v6score_gpt5mini_binary_0_preds.csv
drugs,binary_0,llama3_70b,hybrid_manual_gpt,0.8158,0.7949,0.8378,0.8118165784832452,58.2915,100,0,similarity_database_hybrid_v6score_llama3_70b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_v6score_llama3_70b_binary_0_preds.csv
drugs,binary_0,mistral,hybrid_manual_gpt,0.8182,0.7059,0.973,0.6733030344141456,45.2261,100,0,similarity_database_hybrid_v6score_mistral_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_v6score_mistral_binary_0_preds.csv
drugs,binary_0,qwen3_235b,hybrid_manual_gpt,0.8485,0.9655,0.7568,0.8327279202279202,55.2764,100,0,similarity_database_hybrid_v6score_qwen3_235b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_v6score_qwen3_235b_binary_0_preds.csv
drugs,binary_0,qwen_hf,hybrid_manual_gpt,0.8649,0.8649,0.8649,0.8431212825511072,45.2261,100,0,similarity_database_hybrid_v6score_qwen_hf_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_hybrid_v6score_qwen_hf_binary_0_preds.csv
drugs,binary_0,gemini_25_pro,gpt_free,0.8158,0.7381,0.9118,0.7936216547742667,25.1256,100,0,similarity_database_with_gpt_features_v6score_gemini_25_pro_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gemini_25_pro_binary_0_preds.csv
drugs,binary_0,gemini_3_flash,gpt_free,0.8219,0.7692,0.8824,0.8163877194743903,62.3116,100,0,similarity_database_with_gpt_features_v6score_gemini_3_flash_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gemini_3_flash_binary_0_preds.csv
drugs,binary_0,gemma3_27b,gpt_free,0.8,0.7317,0.8824,0.8251433902826629,45.2261,100,0,similarity_database_with_gpt_features_v6score_gemma3_27b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gemma3_27b_binary_0_preds.csv
drugs,binary_0,gpt4,gpt_free,0.8451,0.8108,0.8824,0.8181733576795114,55.2764,100,0,similarity_database_with_gpt_features_v6score_gpt4_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt4_binary_0_preds.csv
drugs,binary_0,gpt51_thinking,gpt_free,0.8533,0.7805,0.9412,0.8555676815737949,56.2814,100,0,similarity_database_with_gpt_features_v6score_gpt51_thinking_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt51_thinking_binary_0_preds.csv
drugs,binary_0,gpt52,gpt_free,0.8286,0.8056,0.8529,0.8596363633927986,55.2764,100,0,similarity_database_with_gpt_features_v6score_gpt52_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt52_binary_0_preds.csv
drugs,binary_0,gpt5mini,gpt_free,0.7901,0.6809,0.9412,0.856233882577073,45.2261,100,0,similarity_database_with_gpt_features_v6score_gpt5mini_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt5mini_binary_0_preds.csv
drugs,binary_0,llama3_70b,gpt_free,0.7949,0.7045,0.9118,0.8578219166454459,52.2613,100,0,similarity_database_with_gpt_features_v6score_llama3_70b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_llama3_70b_binary_0_preds.csv
drugs,binary_0,qwen3_235b,gpt_free,0.8125,0.8667,0.7647,0.8360693994097356,45.2261,100,0,similarity_database_with_gpt_features_v6score_qwen3_235b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_qwen3_235b_binary_0_preds.csv
drugs,binary_0,qwen_hf,gpt_free,0.8451,0.8108,0.8824,0.8697312790040742,40.201,100,0,similarity_database_with_gpt_features_v6score_qwen_hf_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_qwen_hf_binary_0_preds.csv
drugs,binary_0,gemini_25_pro,gpt_law,0.8219,0.7692,0.8824,0.7639824945253607,35.1759,100,0,similarity_database_with_gpt_law_features_v6score_gemini_25_pro_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gemini_25_pro_binary_0_preds.csv
drugs,binary_0,gemini_3_flash,gpt_law,0.8571,0.8333,0.8824,0.8110228381768174,76.3819,100,0,similarity_database_with_gpt_law_features_v6score_gemini_3_flash_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gemini_3_flash_binary_0_preds.csv
drugs,binary_0,gemma3_27b,gpt_law,0.7869,0.8889,0.7059,0.8315811965811966,65.3266,100,0,similarity_database_with_gpt_law_features_v6score_gemma3_27b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gemma3_27b_binary_0_preds.csv
drugs,binary_0,gpt4,gpt_law,0.8696,0.8571,0.8824,0.8394931211715796,68.3417,100,0,similarity_database_with_gpt_law_features_v6score_gpt4_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt4_binary_0_preds.csv
drugs,binary_0,gpt51_thinking,gpt_law,0.8732,0.8378,0.9118,0.8680205399151713,65.3266,100,0,similarity_database_with_gpt_law_features_v6score_gpt51_thinking_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt51_thinking_binary_0_preds.csv
drugs,binary_0,gpt52,gpt_law,0.8571,0.8333,0.8824,0.8518773600381175,58.2915,100,0,similarity_database_with_gpt_law_features_v6score_gpt52_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt52_binary_0_preds.csv
drugs,binary_0,gpt5mini,gpt_law,0.8732,0.8378,0.9118,0.8923317387802493,62.3116,100,0,similarity_database_with_gpt_law_features_v6score_gpt5mini_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt5mini_binary_0_preds.csv
drugs,binary_0,llama3_70b,gpt_law,0.8254,0.8966,0.7647,0.8557362310122226,68.3417,100,0,similarity_database_with_gpt_law_features_v6score_llama3_70b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_llama3_70b_binary_0_preds.csv
drugs,binary_0,qwen3_235b,gpt_law,0.8767,0.8205,0.9412,0.8921314674688376,55.2764,100,0,similarity_database_with_gpt_law_features_v6score_qwen3_235b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_qwen3_235b_binary_0_preds.csv
drugs,binary_0,qwen_hf,gpt_law,0.8529,0.8529,0.8529,0.8672309877805814,58.2915,100,0,similarity_database_with_gpt_law_features_v6score_qwen_hf_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_qwen_hf_binary_0_preds.csv
drugs,binary_0,gemini_25_pro,facts,0.8158,0.7381,0.9118,0.7798874564399811,25.1256,100,0,similarity_database_with_indicment_facts_v6score_gemini_25_pro_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_indicment_facts_v6score_gemini_25_pro_binary_0_preds.csv
drugs,binary_0,gemini_3_flash,facts,0.8312,0.7442,0.9412,0.7956895830265572,58.2915,100,0,similarity_database_with_indicment_facts_v6score_gemini_3_flash_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_indicment_facts_v6score_gemini_3_flash_binary_0_preds.csv
drugs,binary_0,gemma3_27b,facts,0.7901,0.6809,0.9412,0.8068794255411228,55.2764,100,0,similarity_database_with_indicment_facts_v6score_gemma3_27b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_indicment_facts_v6score_gemma3_27b_binary_0_preds.csv
drugs,binary_0,gpt4,facts,0.8421,0.7619,0.9412,0.7688410364145658,60.3015,100,0,similarity_database_with_indicment_facts_v6score_gpt4_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_indicment_facts_v6score_gpt4_binary_0_preds.csv
drugs,binary_0,gpt51_thinking,facts,0.8571,0.7674,0.9706,0.8620206071931673,58.2915,100,0,similarity_database_with_indicment_facts_v6score_gpt51_thinking_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_indicment_facts_v6score_gpt51_thinking_binary_0_preds.csv
drugs,binary_0,gpt52,facts,0.8205,0.7273,0.9412,0.8842852791189073,46.2312,100,0,similarity_database_with_indicment_facts_v6score_gpt52_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_indicment_facts_v6score_gpt52_binary_0_preds.csv
