canonical_id,domain,csv_path,docx_path,csv_source,docx_source,csv_size,docx_size,verdict,sentencing_range_low,sentencing_range_high,sentencing_classification,sentencing_confidence,citations_count,domain_unified,year,sentencing_sentence
עפ_8045-17_2,weapon,csv/עפ_8045-17_2.csv,docx/עפ_8045-17_2.docx,new_try_unified_weapon,new_try_unified_weapon,125680.0,78395.0,,,,,,,,,
עפ_8045-17,weapon,csv/עפ_8045-17.csv,docx/עפ_8045-17.docx,new_try_unified_weapon,new_try_unified_weapon,124595.0,37834.0,,48.0,84.0,POSITIVE,גבוהה,,,2017.0,"מתחם העונש עבור חמש העסקאות הראשונות הועמד על 7-4 שנות מאסר בפועל, ומתחם העונש עבור העסקה השישית הועמד על 48-18 חודשי מאסר בפועל. גם באשר לעבירות הסמים, בתיק שצורף על ידי המערער, הבחין בית המשפט המחוזי בין שני אירועים שונים, ומתחם העונש בגין כל אחד מהם הועמד על 24-12 חודשי מאסר בפועל."
עפ_8045-17,unknown,csv/עפ_8045-17.csv,,downloaded_pipeline,,124595.0,,,,,,,,,2017.0,
תפ_1234-04,weapon,csv/תפ_1234-04.csv,docx/תפ_1234-04.docx,new_try_unified_weapon,data_master_docx,114089.0,74757.0,תפ (רח') 1234∕04,,,NEGATIVE,גבוהה,2.0,weapon,2004.0,
עפ_4517-04,weapon,csv/עפ_4517-04.csv,docx/עפ_4517-04.docx,new_try_unified_weapon,new_try_unified_weapon,104403.0,36940.0,,,,,,,,2004.0,
עפ_4517-04,unknown,csv/עפ_4517-04.csv,,downloaded_pipeline,,104403.0,,,,,,,,,2004.0,
תוב_47071-10-10,weapon,csv/תוב_47071-10-10.csv,docx/תוב_47071-10-10.docx,5k_archive,data_master_docx,103945.0,92724.0,"תו""ב 47071-10-10",,,NEGATIVE,גבוהה,29.0,weapon,2010.0,
תפ_32585-03-21,weapon,csv/תפ_32585-03-21.csv,docx/תפ_32585-03-21.docx,new_try_unified_weapon,new_try_unified_weapon,102932.0,81344.0,,10.0,18.0,POSITIVE,גבוהה,,,2021.0,"מתחם העונש ההולם בשל האירוע האחד שבו היה מעורב הנאשם 1, , הוא בין כ-10 חודשי מאסר בפועל לבין כ-18 חודש"
ME-21-03-32585-44,unknown,csv/ME-21-03-32585-44.csv,,downloaded_pipeline,,102932.0,,,,,,,,,2044.0,
תוח_47620-07-10,weapon,csv/תוח_47620-07-10.csv,docx/תוח_47620-07-10.docx,5k_archive,data_master_docx,102662.0,91615.0,"תו""ח 47620-07-10",,,NEGATIVE,גבוהה,32.0,weapon,2010.0,
תפ_57179-02-23,drugs,csv/תפ_57179-02-23.csv,docx/תפ_57179-02-23.docx,data_drugs,data_drugs,101765.0,83717.0,"ת""פ 57179-02-23",12.0,24.0,POSITIVE,גבוהה,0.0,drugs,2023.0,
תפח_22918-02-10,weapon,csv/תפח_22918-02-10.csv,docx/תפח_22918-02-10.docx,5k_root,data_master_docx,100627.0,72746.0,"תפ""ח 22918-02-10",,,,,6.0,weapon,2010.0,
תפח_1145-05,weapon,csv/תפח_1145-05.csv,docx/תפח_1145-05.docx,data_master_csv,new_try_unified_weapon,96351.0,93994.0,"תפ""ח 1145∕05",,,NEGATIVE,גבוהה,58.0,weapon,2005.0,
תפ_40250-99,weapon,csv/תפ_40250-99.csv,docx/תפ_40250-99.docx,data_master_csv,data_master_docx,93899.0,81905.0,"תפ (ת""א) 40250∕99",,,NEGATIVE,גבוהה,17.0,weapon,1999.0,
תפ_61679-01-12,weapon,csv/תפ_61679-01-12.csv,docx/תפ_61679-01-12.docx,data_master_csv,data_master_docx,93594.0,87200.0,"ת""פ 61679-01-12",,,NEGATIVE,גבוהה,43.0,weapon,2012.0,
תפ_12709-03-16,weapon,csv/תפ_12709-03-16.csv,docx/תפ_12709-03-16.docx,innovation_task_5k,data_master_docx,93513.0,74633.0,"ת""פ 12709-03-16",,,NEGATIVE,גבוהה,14.0,weapon,2016.0,
תפ_39-10,weapon,csv/תפ_39-10.csv,docx/תפ_39-10.docx,data_master_csv,data_master_docx,93400.0,65785.0,"ת""פ 39-10",,,,,26.0,weapon,2010.0,
תפח_4067-07,weapon,csv/תפח_4067-07.csv,docx/תפח_4067-07.docx,innovation_task_5k,new_try_unified_weapon,92841.0,87138.0,"תפ""ח 4067-07",,,NEGATIVE,גבוהה,23.0,weapon,2007.0,
עפ_7510-00,weapon,csv/עפ_7510-00.csv,docx/עפ_7510-00.docx,new_try_unified_weapon,new_try_unified_weapon,90493.0,32524.0,,,,,,,,2000.0,
עפ_7510-00,unknown,csv/עפ_7510-00.csv,,downloaded_pipeline,,90493.0,,,,,,,,,2000.0,
תפח_1070-04,weapon,csv/תפח_1070-04.csv,docx/תפח_1070-04.docx,data_master_csv,data_master_docx,89502.0,75496.0,"תפח (ת""א) 1070∕04",,,,,20.0,weapon,2004.0,
תפ_44871-12-17,drugs,csv/תפ_44871-12-17.csv,docx/תפ_44871-12-17.docx,new_try_drugs,new_try_unified_drugs,88717.0,84541.0,SH-17-12-44871-943,,,NEGATIVE,גבוהה,18.0,drugs,2017.0,
תפ_37692-10-19,drugs,csv/תפ_37692-10-19.csv,docx/תפ_37692-10-19.docx,new_try_unified_drugs,data_master_docx,87937.0,77650.0,SH-19-10-37692-286,,,NEGATIVE,גבוהה,50.0,drugs,2019.0,
תפח_2071-05,weapon,csv/תפח_2071-05.csv,docx/תפח_2071-05.docx,new_try_unified_weapon,new_try_unified_weapon,86799.0,59621.0,תפח (חי') 2071∕05,,,NEGATIVE,גבוהה,20.0,weapon,2005.0,
תפח_33226-10-18,weapon,csv/תפח_33226-10-18.csv,docx/תפח_33226-10-18.docx,5k_root,data_master_docx,86572.0,79518.0,ME-18-10-33226-487,180.0,240.0,POSITIVE,בינונית,53.0,weapon,2018.0,
תפ_157-08,weapon,csv/תפ_157-08.csv,docx/תפ_157-08.docx,5k_root,data_master_docx,82012.0,82587.0,"ת""פ 157-08",,,,,3.0,weapon,2008.0,
תפ_60934-03-22,drugs,csv/תפ_60934-03-22.csv,docx/תפ_60934-03-22.docx,data_drugs,data_drugs,81532.0,76738.0,"ת""פ 60934-03-22",,,NEGATIVE,גבוהה,0.0,drugs,2022.0,"לאחר ששקלתי את טיעוני הצדדים, החוק והפסיקה, אני סבור שנכון לקבוע מתחם עונש הולם אחד ביחס לשני האישומים הראשונים, כל נאשם על פי חלקו. מדובר בשתי עסקאות של סמים אשר בוצעו באותה השיטה בדיוק, מול אותו סוכן משטרתי, אותם נאשמים, אותו סוג סם, בהפרש של ימים ספורים, באותו האזור (בשני מקומות הקרובים ליישוב פראדיס ), ולשם אותה המטרה. יצוין כי לנאשם 1 מיוחס אישום נוסף ביחד עם הנאשם 3 שנסיבותיו אף הן דומות לאלו שבאישומים 1 ו-2 , כך שלגבי הנאשם 1  ייקבע מתחם ענישה אחד ביחס לכלל האישומים."
תפ_40276-10-10,weapon,csv/תפ_40276-10-10.csv,docx/תפ_40276-10-10.docx,innovation_task_5k,new_try_unified_weapon,80665.0,77116.0,"ת""פ 40276-10-10",,,NEGATIVE,גבוהה,15.0,weapon,2010.0,
עפ_170-07,weapon,csv/עפ_170-07.csv,docx/עפ_170-07.docx,new_try_unified_weapon,new_try_unified_weapon,80412.0,28931.0,,,,,,,,2007.0,
עפ_170-07,unknown,csv/עפ_170-07.csv,,downloaded_pipeline,,80412.0,,,,,,,,,2007.0,
תפ_29187-02-12,weapon,csv/תפ_29187-02-12.csv,docx/תפ_29187-02-12.docx,data_master_csv,data_master_docx,80239.0,75045.0,"ת""פ 29187-02-12",,,NEGATIVE,גבוהה,15.0,weapon,2012.0,
עפ_3173-09,weapon,csv/עפ_3173-09.csv,docx/עפ_3173-09.docx,new_try_unified_weapon,new_try_unified_weapon,78381.0,28136.0,,,,,,,,2009.0,
עפ_3173-09,unknown,csv/עפ_3173-09.csv,,downloaded_pipeline,,78381.0,,,,,,,,,2009.0,
עפג_2024-04-21,weapon,csv/עפג_2024-04-21.csv,docx/עפג_2024-04-21.docx,new_try_unified_weapon,new_try_unified_weapon,76641.0,69763.0,,18.0,36.0,POSITIVE,גבוהה,,,2021.0,מתחם העונש ההולם לעבירה בנסיבותיה נע בין 18 ל- 36 חודשי מאסר לצד עונשים נלווים.
ME-21-04-2024-201,unknown,csv/ME-21-04-2024-201.csv,,downloaded_pipeline,,76641.0,,,,,,,,,,
תפ_65592-01-23,drugs,csv/תפ_65592-01-23.csv,docx/תפ_65592-01-23.docx,data_drugs,data_drugs,75150.0,72145.0,"ת""פ 65592-01-23",6.0,24.0,POSITIVE,גבוהה,0.0,drugs,2023.0,לפיכך עותר למתחם עונשי מתון הנע בין 6-24 חודשי מאסר.
תפ_56235-06-13,drugs,csv/תפ_56235-06-13.csv,docx/תפ_56235-06-13.docx,data_drugs,data_drugs,74018.0,59621.0,תפ_56235-06-13,24.0,48.0,POSITIVE,גבוהה,0.0,drugs,2013.0,"ב""כ הנאשם, כי מתחם הענישה הראוי לנאשם, בהתאמה לעונשים שהוטלו על אחרים באותה פרשיה ובעבירות חמורות יותר, עומד על 24 עד 48 חודשי מאסר."
תפ_5680-02-18,drugs,csv/תפ_5680-02-18.csv,docx/תפ_5680-02-18.docx,new_try_drugs,new_try_unified_drugs,73533.0,91047.0,ME-18-02-5680-55,,,NEGATIVE,גבוהה,34.0,drugs,2018.0,
עפ_4998-95,drugs,csv/עפ_4998-95.csv,docx/עפ_4998-95.docx,new_try_unified_drugs,new_try_unified_drugs,73246.0,28946.0,,,,,,,,1995.0,
עפ_4998-95,unknown,csv/עפ_4998-95.csv,,downloaded_pipeline,,73246.0,,,,,,,,,1995.0,
עפ_4757-09-12,weapon,csv/עפ_4757-09-12.csv,docx/עפ_4757-09-12.docx,new_try_unified_weapon,new_try_unified_weapon,71346.0,66612.0,,,,NEGATIVE,גבוהה,,,2012.0,
ME-12-09-4757-156,unknown,csv/ME-12-09-4757-156.csv,,downloaded_pipeline,,71346.0,,,,,,,,,,
עפ_4209-09,drugs,csv/עפ_4209-09.csv,docx/עפ_4209-09.docx,data_drugs,data_drugs,71323.0,82289.0,"ת""פ 52031-06-16",,,,,0.0,drugs,2009.0,
תפ_51654-01-12,weapon,csv/תפ_51654-01-12.csv,docx/תפ_51654-01-12.docx,new_try_unified_weapon,new_try_unified_weapon,70490.0,63974.0,,,,NEGATIVE,גבוהה,,,2012.0,
עפ_2533-10,weapon,csv/עפ_2533-10.csv,docx/עפ_2533-10.docx,new_try_unified_weapon,new_try_unified_weapon,69814.0,26640.0,,,,,,,,2010.0,
עפ_2533-10,unknown,csv/עפ_2533-10.csv,,downloaded_pipeline,,69814.0,,,,,,,,,2010.0,
תפ_233-95,weapon,csv/תפ_233-95.csv,docx/תפ_233-95.docx,new_try_unified_weapon,data_master_docx,69684.0,56247.0,"ת""פ 233∕95",,,,,1.0,weapon,1995.0,
תפ_46422-05-21,drugs,csv/תפ_46422-05-21.csv,docx/תפ_46422-05-21.docx,new_try_unified_drugs,new_try_unified_drugs,69298.0,55734.0,,6.0,12.0,POSITIVE,גבוהה,,,2021.0,"כללם של דברים, לאחר שנתתי את דעתי לעיקרון המנחה בענישה, לערכים המוגנים שנפגעו ולמידת הפגיעה בהם, למדיניות הענישה הנוהגת ולנסיבות הקשורות בביצוע העבירה, כפי שפורט בהרחבה לעיל, ובשים לב לסוגו של הסם, כמותו ונסיבות גידולו והחזקתו, הריני לקבוע כי על מתחם העונש ההולם במקרה הנדון לנוע בין 6 חודשים מאסר שניתן לרצותם בעבודות שירות לבין 12 חודשים מאסר בפועל."
תפ_66139-03-16,drugs,csv/תפ_66139-03-16.csv,docx/תפ_66139-03-16.docx,new_try_unified_drugs,new_try_unified_drugs,68699.0,41736.0,,10.0,20.0,POSITIVE,גבוהה,,,2016.0,"מכל האמור, סבורני כי מתחם העונש ההולם את מכלול העבירות שביצע הנאשם במסגרת האישום הראשון נע בין 10 ל-20 חודשי מאסר בפועל לצד ענישה נלווית."
תפ_51546-06-11,weapon,csv/תפ_51546-06-11.csv,docx/תפ_51546-06-11.docx,data_unified_weapon,new_try_unified_weapon,68327.0,78451.0,"ת""פ 51546-06-11",,,,,16.0,weapon,2011.0,
תפ_51451-02-17,drugs,csv/תפ_51451-02-17.csv,docx/תפ_51451-02-17.docx,data_drugs,data_drugs,67672.0,85338.0,"ת""פ 51451-02-17",108.0,180.0,POSITIVE,גבוהה,0.0,drugs,2017.0,אני קובעת מתחם עונש הולם אשר נע בין 9 ל- 15 שנות מאסר בפועל לצד רכיבי ענישה נלווים.
עפ_4592-15,drugs,csv/עפ_4592-15.csv,docx/עפ_4592-15.docx,new_try_unified_drugs,new_try_unified_drugs,67002.0,25128.0,,24.0,72.0,POSITIVE,גבוהה,,,2015.0,
עפ_4592-15,unknown,csv/עפ_4592-15.csv,,downloaded_pipeline,,67002.0,,,,,,,,,2015.0,
עפ_512-13,weapon,csv/עפ_512-13.csv,docx/עפ_512-13.docx,new_try_unified_weapon,new_try_unified_weapon,66895.0,26631.0,,,,NEGATIVE,גבוהה,,,2013.0,בית המשפט קמא הנכבד קבע בגזר הדין כי מתחם הענישה בעבירות של מעשים מגונים בקטינים והטרדות מיניות באמצעות האינטרנט נע בין מאסר על תנאי לחמש שנות מאסר.
עפ_512-13,unknown,csv/עפ_512-13.csv,,downloaded_pipeline,,66895.0,,,,,,,,,2013.0,
תפ_17252-07-20,drugs,csv/תפ_17252-07-20.csv,docx/תפ_17252-07-20.docx,data_master_csv,data_master_docx,66430.0,73503.0,ME-20-07-17252-33,,,NEGATIVE,גבוהה,31.0,drugs,2020.0,
עפ_7952-15,weapon,csv/עפ_7952-15.csv,docx/עפ_7952-15.docx,new_try_unified_weapon,new_try_unified_weapon,66227.0,25171.0,,42.0,66.0,POSITIVE,גבוהה,,,2015.0,קבע בית המשפט המחוזי כי מתחם העונש ההולם נע בין 3.5 לבין 5.5 שנות מאסר בפועל.
עפ_7952-15,unknown,csv/עפ_7952-15.csv,,downloaded_pipeline,,66227.0,,,,,,,,,2015.0,
עפ_103-88,drugs,csv/עפ_103-88.csv,docx/עפ_103-88.docx,new_try_unified_drugs,new_try_unified_drugs,66189.0,59410.0,,,,,,,,1988.0,
תפ_17029-07-18,drugs,csv/תפ_17029-07-18.csv,docx/תפ_17029-07-18.docx,data_drugs_3k,new_try_unified_drugs,66042.0,44126.0,,6.0,15.0,POSITIVE,גבוהה,,,2018.0,"לאור כל האמור לעיל, אני קובעת כי בנסיבות העניין מתחם העונש ההולם נע בין 6 חודשי מאסר לריצוי בדרך של עבודות שרות ועד 15 חודשי מאסר לריצוי בפועל."
תפ_52231-01-22,drugs,csv/תפ_52231-01-22.csv,docx/תפ_52231-01-22.docx,new_try_unified_drugs,new_try_unified_drugs,65868.0,49068.0,,48.0,78.0,POSITIVE,גבוהה,,,2022.0,"על יסוד האמור לעיל, ובשקלול כלל הנתונים שפורטו, ראיתי לקבוע מתחם עונש הנע בין 4 שנות מאסר ל- 6.5 שנות מאסר."
עפ_2626-13,weapon,csv/עפ_2626-13.csv,docx/עפ_2626-13.docx,new_try_unified_weapon,new_try_unified_weapon,65600.0,22730.0,,,,NEGATIVE,גבוהה,,,2013.0,"בהתחשב בכל האמור, קבע בית המשפט המחוזי את מתחמי הענישה הרלוונטיים לגבי כל אחת מן העבירות בהן הורשע המערער. באשר לעבירות החברות בהתאחדות בלתי מותרת וקיום אימונים צבאיים אסורים בהן הורשע המערער במסגרת סעיף האישום הראשון, קבע בית המשפט מתחם ענישה של 3-1 שנות מאסר בפועל; באשר לעבירות הניסיון לרצח בהן הורשע המערער במסגרת סעיפי האישום השלישי, הרביעי והשישי, קבע בית המשפט מתחם ענישה של 18-10 שנות מאסר בפועל לכל אחת מן העבירות; באשר לעבירות הסיוע לניסיון לרצח, בהן הורשע המערער במסגרת סעיפי האישום השני והחמישי, קבע המערער מתחם ענישה של בין 8 ל-12 שנות מאסר בפועל; באשר לעבירות נשיאת הנשק ונשיאת התחמושת בהן הורשע המערער במסגרת סעיף האישום השישי קבע בית המשפט מתחם ענישה של 5-2 שנות מאסר בפועל; באשר לעבירות ההתחזות לאחר, ניסיון לקבל דבר במרמה בנסיבות מחמירות ושיבוש הליכי משפט בהן הורשע המערער"
עפ_2626-13,unknown,csv/עפ_2626-13.csv,,downloaded_pipeline,,65600.0,,,,,,,,,2013.0,
תפ_47072-03-10,weapon,csv/תפ_47072-03-10.csv,docx/תפ_47072-03-10.docx,new_try_unified_weapon,data_master_docx,65588.0,56904.0,תפ (חי') 47072-03-10,,,,,12.0,weapon,2010.0,
תפ_26141-12-17,drugs,csv/תפ_26141-12-17.csv,docx/תפ_26141-12-17.docx,new_try_drugs,new_try_unified_drugs,65385.0,66935.0,ME-17-12-26141-371,,,NEGATIVE,גבוהה,17.0,drugs,2017.0,
תפח_38672-08-10,weapon,csv/תפח_38672-08-10.csv,docx/תפח_38672-08-10.docx,new_try_unified_weapon,data_master_docx,65187.0,66987.0,"תפ""ח 38672-08-10",,,NEGATIVE,גבוהה,8.0,weapon,2010.0,
תפ_2106-06,weapon,csv/תפ_2106-06.csv,docx/תפ_2106-06.docx,new_try_unified_weapon,data_master_docx,64283.0,49999.0,תפ (י-ם) 2106∕06,,,,,11.0,weapon,2006.0,
תפ_58553-06-21,drugs,csv/תפ_58553-06-21.csv,docx/תפ_58553-06-21.docx,data_drugs_3k,new_try_unified_drugs,64033.0,45168.0,,30.0,60.0,POSITIVE,גבוהה,,,2021.0,"מכאן, לאור מדיניות הענישה הרלוונטית לעבירות של יבוא סם, והנסיבות המתוארות, מתחם העונש ההולם בעניינו של נאשם 1 נע בין מאסר לתקופה של 30 חודשים ובין מאסר לתקופה של 60 חודשים, לצד מאסר על תנאי וקנס הולם."
תפ_15884-08-22,drugs,csv/תפ_15884-08-22.csv,docx/תפ_15884-08-22.docx,data_drugs,data_drugs,63720.0,67226.0,"ת""פ 15884-08-22",12.0,24.0,POSITIVE,גבוהה,0.0,drugs,2022.0,"בת""פ (שלום ת""א) 24157-03-19 מדינת ישראל נ' משה יקותיאלי (6.9.23), נדון עניינו של מי שהורשע, על פי הודאתו במסגרת הסדר טיעון, בעבירות של התפרצות למקום מגורים בכוונה לבצע גניבה וגניבה. מעובדות כתב האישום עולה, כי הנאשם פרץ לביתו של המתלונן בתל אביב יחד עם אחר, וגנבו מהבית רכוש רב, ובו גם טלפון נייד, מחשב נייד, שעון קרטייה, 9,000 ₪ במזומן, 4,000 דולר במזומן, שתי תעודות זהות, מפתחות לרכב, תכשיטים ועוד. בית משפט השלום קבע מתחם עונש הולם הנע בין 12 ל-24 חודשי מאסר בפועל, וגזר על הנאשם 13 חודשי מאסר בפועל, לצד מאסר מותנה ופיצוי למתלונן בסך של 2,000 ₪."
עפ_7781-12,weapon,csv/עפ_7781-12.csv,docx/עפ_7781-12.docx,new_try_unified_weapon,new_try_unified_weapon,63549.0,25533.0,,,,NEGATIVE,נמוכה,,,2012.0,"לדידה, מדובר בעבירות חמורות מאד שהעונש שנגזר בגינן תואם את מתחם הענישה, ואפילו קל באופן יחסי."
עפ_7781-12,unknown,csv/עפ_7781-12.csv,,downloaded_pipeline,,63549.0,,,,,,,,,2012.0,
תפ_40252-05,weapon,csv/תפ_40252-05.csv,docx/תפ_40252-05.docx,new_try_unified_weapon,new_try_unified_weapon,63541.0,52909.0,"תפ (ת""א) 40252∕05",,,,,13.0,weapon,2005.0,
תפח_24018-03-10,drugs,csv/תפח_24018-03-10.csv,docx/תפח_24018-03-10.docx,new_try_unified_drugs,new_try_unified_drugs,63511.0,60251.0,"תפ""ח 24018-03-10",,,NEGATIVE,גבוהה,3.0,weapon,2010.0,
תפח_24018-03-10,weapon,csv/תפח_24018-03-10.csv,docx/תפח_24018-03-10.docx,5k_root,data_master_docx,63511.0,60251.0,"תפ""ח 24018-03-10",,,NEGATIVE,גבוהה,3.0,weapon,2010.0,
תפח_15791-02-13,weapon,csv/תפח_15791-02-13.csv,docx/תפח_15791-02-13.docx,new_try_unified_weapon,data_master_docx,63467.0,66540.0,"תפ""ח 15791-02-13",,,NEGATIVE,גבוהה,6.0,weapon,2013.0,
עפ_5590-16,weapon,csv/עפ_5590-16.csv,docx/עפ_5590-16.docx,new_try_unified_weapon,new_try_unified_weapon,63223.0,21007.0,,8.0,96.0,POSITIVE,גבוהה,,,2016.0,בסיכום הדברים קבע בית המשפט את מתחמי הענישה הבאים: בעניינו של נתשה: בגין האישום הראשון – בין 8 ל-20 חודשי מאסר; בגין האישום השני – בין 4 ל-8 שנות מאסר; בגין האישום השלישי – בין 3 ל-6 שנות מאסר; בגין האישום הרביעי – בין 12 ל-30 חודשי מאסר; בגין האישום השישי – בין 8 ל-18 חודשי מאסר; בגין האישום האחד-עשר – בין 3 ל-6 שנות מאסר.
עפ_5590-16,unknown,csv/עפ_5590-16.csv,,downloaded_pipeline,,63223.0,,,,,,,,,2016.0,
תפ_47080-05-21,drugs,csv/תפ_47080-05-21.csv,docx/תפ_47080-05-21.docx,data_drugs_3k,new_try_unified_drugs,62825.0,72451.0,תפ_47080-05-21,,,NEGATIVE,גבוהה,44.0,drugs,2021.0,
תפ_169-09,weapon,csv/תפ_169-09.csv,docx/תפ_169-09.docx,data_5k,new_try_unified_weapon,61786.0,40627.0,"ת""פ 169-09",,,,,41.0,weapon,2009.0,
תפ_39341-05-16,weapon,csv/תפ_39341-05-16.csv,docx/תפ_39341-05-16.docx,new_try_weapon_copy,new_try_unified_weapon,61756.0,92479.0,"ת""פ 39341-05-16",,,NEGATIVE,גבוהה,14.0,weapon,2016.0,
עפ_5746-06,weapon,csv/עפ_5746-06.csv,docx/עפ_5746-06.docx,new_try_unified_weapon,new_try_unified_weapon,61595.0,20944.0,,,,,,,,2006.0,
עפ_5746-06,unknown,csv/עפ_5746-06.csv,,downloaded_pipeline,,61595.0,,,,,,,,,2006.0,
תפ_10427-03-22,drugs,csv/תפ_10427-03-22.csv,docx/תפ_10427-03-22.docx,data_drugs_3k,new_try_unified_drugs,61395.0,56086.0,,6.0,18.0,POSITIVE,גבוהה,,,2022.0,"משכך אני קובעת – מתחם העונש ההולם למעשי הנאשם הוא מתחם 6 – 18 חודשי מאסר בפועל, לצד ענישה נלווית, הכוללת מאסרים מותנים, עיצומים כלכליים ופסילה."
עפ_635-05,drugs,csv/עפ_635-05.csv,docx/עפ_635-05.docx,new_try_unified_drugs,new_try_unified_drugs,61182.0,24335.0,,,,,,,,2005.0,
עפ_635-05,unknown,csv/עפ_635-05.csv,,downloaded_pipeline,,61182.0,,,,,,,,,2005.0,
תפח_1010-06,weapon,csv/תפח_1010-06.csv,docx/תפח_1010-06.docx,new_try_unified_weapon,new_try_unified_weapon,61076.0,46958.0,"תפח (ת""א) 1010∕06",,,,,14.0,weapon,2006.0,
תפ_3122-07,weapon,csv/תפ_3122-07.csv,docx/תפ_3122-07.docx,new_try_unified_weapon,data_master_docx,61045.0,52932.0,תפ (רמ') 3122∕07,,,,,8.0,weapon,2007.0,
