canonical_id,extracted_citation,normalized
ME-17-06-40227-506,תפ (מרכז) 40227-06-17,תפ_40227-06-17
ME-17-03-30876-592,תפ (מרכז) 30876-03-17,תפ_30876-03-17
ME-17-01-44181-21,תפ (חי') 44181-01-17,תפ_44181-01-17
ME-16-10-332-155,תפ (מרכז) 332-10-16,תפ_332-10-16
ME-17-08-23708-346,"תפ (ב""ש) 23708-08-17",תפ_23708-08-17
ME-17-12-1418-426,"תפ (ת""א) 1418-12-17",תפ_1418-12-17
ME-17-11-4435-936,תפ (מרכז) 4435-11-17,תפ_4435-11-17
ME-17-12-1418-549,"תפ (ת""א) 1418-12-17",תפ_1418-12-17
ME-17-07-46964-751,תפ (חי') 46964-07-17,תפ_46964-07-17
ME-18-01-35484-60,תפ (חי') 35484-01-18,תפ_35484-01-18
ME-18-01-11969-902,תפ (י-ם) 11969-01-18,תפ_11969-01-18
ME-18-07-22022-103,תפ (י-ם) 22022-07-18,תפ_22022-07-18
ME-18-02-4415-357,תפ (מרכז) 4415-02-18,תפ_4415-02-18
ME-18-07-22022-61,תפ (י-ם) 22022-07-18,תפ_22022-07-18
ME-18-04-4460-297,תפ (מרכז) 4460-04-18,תפ_4460-04-18
ME-18-09-15263-584,"תפ (ת""א) 15263-09-18",תפ_15263-09-18
ME-18-10-33446-861,תפ (מרכז) 33446-10-18,תפ_33446-10-18
ME-17-09-28005-818,תפ (מרכז) 28005-09-17,תפ_28005-09-17
ME-18-07-17404-522,תפ (מרכז) 17404-07-18,תפ_17404-07-18
ME-18-10-47466-812,"תפ (ת""א) 47466-10-18",תפ_47466-10-18
ME-18-12-38574-422,תפ (י-ם) 38574-12-18,תפ_38574-12-18
ME-18-04-34371-297,"תפ (ב""ש) 34371-04-18",תפ_34371-04-18
ME-18-12-67865-526,"תפ (ב""ש) 67865-12-18",תפ_67865-12-18
ME-18-11-4886-263,תפ (חי') 4886-11-18,תפ_4886-11-18
ME-19-01-30756-784,"תפ (ב""ש) 30756-01-19",תפ_30756-01-19
ME-19-01-76133-55,תפ (מרכז) 76133-01-19,תפ_76133-01-19
ME-19-05-13159-283,"תפ (ב""ש) 13159-05-19",תפ_13159-05-19
ME-19-02-35274-888,"תפ (ת""א) 35274-02-19",תפ_35274-02-19
ME-17-04-15392-916,"תפ (ת""א) 15392-04-17",תפ_15392-04-17
ME-19-02-67193-752,תפ (מרכז) 67193-02-19,תפ_67193-02-19
ME-18-08-58591-814,תפ (מרכז) 58591-08-18,תפ_58591-08-18
ME-19-06-21477-665,"תפ (ב""ש) 21477-06-19",תפ_21477-06-19
ME-19-06-47787-590,תפ (מרכז) 47787-06-19,תפ_47787-06-19
ME-19-08-22353-829,תפ (י-ם) 22353-08-19,תפ_22353-08-19
ME-19-08-46823-22,"תפ (ב""ש) 46823-08-19",תפ_46823-08-19
ME-19-08-6206-798,"תפ (ב""ש) 6206-08-19",תפ_6206-08-19
ME-19-12-33185-344,"תפ (ב""ש) 33185-12-19",תפ_33185-12-19
ME-19-10-21162-47,תפ (י-ם) 21162-10-19,תפ_21162-10-19
ME-19-09-64166-883,תפ (י-ם) 64166-09-19,תפ_64166-09-19
ME-19-12-39884-173,תפ (חי') 39884-12-19,תפ_39884-12-19
ME-19-12-39884-582,תפ (חי') 39884-12-19,תפ_39884-12-19
ME-20-01-42231-42,תפ (מרכז) 42231-01-20,תפ_42231-01-20
ME-20-01-52785-503,תפ (י-ם) 52785-01-20,תפ_52785-01-20
ME-20-03-7408-618,תפ (מרכז) 7408-03-20,תפ_7408-03-20
ME-20-01-65264-973,תפ (חי') 65264-01-20,תפ_65264-01-20
ME-20-05-57931-141,"תפ (ת""א) 57931-05-20",תפ_57931-05-20
ME-18-08-23612-501,תפ (מרכז) 23612-08-18,תפ_23612-08-18
ME-20-06-12143-966,"תפ (ב""ש) 12143-06-20",תפ_12143-06-20
ME-20-05-1277-973,"תפ (ת""א) 1277-05-20",תפ_1277-05-20
ME-20-05-33200-362,"תפ (ת""א) 33200-05-20",תפ_33200-05-20
ME-20-06-74740-370,תפ (מרכז) 74740-06-20,תפ_74740-06-20
ME-20-06-47666-427,"תפ (ת""א) 47666-06-20",תפ_47666-06-20
ME-20-07-4336-649,"תפ (ב""ש) 4336-07-20",תפ_4336-07-20
ME-20-06-74742-157,תפ (מרכז) 74742-06-20,תפ_74742-06-20
ME-20-08-12652-430,"תפ (ת""א) 12652-08-20",תפ_12652-08-20
ME-20-08-31425-431,תפ (חי') 31425-08-20,תפ_31425-08-20
ME-20-08-1818-764,"תפ (ב""ש) 1818-08-20",תפ_1818-08-20
ME-20-08-1818-839,"תפ (ב""ש) 1818-08-20",תפ_1818-08-20
ME-20-08-31559-480,תפ (מרכז) 31559-08-20,תפ_31559-08-20
ME-20-10-25752-144,תפ (מרכז) 25752-10-20,תפ_25752-10-20
ME-21-01-318-883,"תפ (ת""א) 318-01-21",תפ_318-01-21
ME-20-08-44477-901,"תפ (ב""ש) 44477-08-20",תפ_44477-08-20
ME-21-04-13048-91,תפ (י-ם) 13048-04-21,תפ_13048-04-21
ME-21-03-11739-45,תפ (י-ם) 11739-03-21,תפ_11739-03-21
ME-21-06-54543-88,תפ (חי') 54543-06-21,תפ_54543-06-21
ME-21-05-28234-623,"תפ (ב""ש) 28234-05-21",תפ_28234-05-21
ME-20-11-29005-874,תפ (מרכז) 29005-11-20,תפ_29005-11-20
ME-21-06-58553-79,תפ (מרכז) 58553-06-21,תפ_58553-06-21
ME-21-10-68419-63,"תפ (ב""ש) 68419-10-21",תפ_68419-10-21
ME-21-08-16540-982,"תפ (ב""ש) 16540-08-21",תפ_16540-08-21
ME-21-10-68754-96,תפ (י-ם) 68754-10-21,תפ_68754-10-21
ME-21-06-62962-748,"תפ (ב""ש) 62962-06-21",תפ_62962-06-21
ME-21-11-62794-787,תפ (חי') 62794-11-21,תפ_62794-11-21
ME-21-12-57613-823,תפ (חי') 57613-12-21,תפ_57613-12-21
ME-21-11-62794-665,תפ (חי') 62794-11-21,תפ_62794-11-21
ME-22-01-45055-792,תפ (י-ם) 45055-01-22,תפ_45055-01-22
ME-22-01-4702-923,"תפ (ת""א) 4702-01-22",תפ_4702-01-22
ME-22-01-45055-121,תפ (י-ם) 45055-01-22,תפ_45055-01-22
ME-21-11-26985-11,"תפ (ב""ש) 26985-11-21",תפ_26985-11-21
ME-22-01-45055-906,תפ (י-ם) 45055-01-22,תפ_45055-01-22
ME-22-01-48176-784,תפ (מרכז) 48176-01-22,תפ_48176-01-22
ME-22-03-35442-414,"תפ (ב""ש) 35442-03-22",תפ_35442-03-22
ME-22-03-29707-189,"תפ (ת""א) 29707-03-22",תפ_29707-03-22
ME-22-01-52231-31,"תפ (ת""א) 52231-01-22",תפ_52231-01-22
ME-22-03-35843-730,"תפ (ת""א) 35843-03-22",תפ_35843-03-22
ME-18-10-39573-636,תפ (חי') 39573-10-18,תפ_39573-10-18
ME-22-03-53777-376,"תפ (ת""א) 53777-03-22",תפ_53777-03-22
ME-18-10-47466-634,"תפ (ת""א) 47466-10-18",תפ_47466-10-18
ME-22-03-60484-252,תפ (חי') 60484-03-22,תפ_60484-03-22
ME-22-03-60380-284,תפ (חי') 60380-03-22,תפ_60380-03-22
ME-22-03-60484-146,תפ (חי') 60484-03-22,תפ_60484-03-22
ME-22-05-48194-28,תפ (חי') 48194-05-22,תפ_48194-05-22
ME-22-04-1886-955,תפ (מרכז) 1886-04-22,תפ_1886-04-22
ME-22-03-60484-807,תפ (חי') 60484-03-22,תפ_60484-03-22
ME-22-05-60457-168,תפ (מרכז) 60457-05-22,תפ_60457-05-22
ME-22-03-60484-11,תפ (חי') 60484-03-22,תפ_60484-03-22
ME-22-06-4389-935,"תפ (ב""ש) 4389-06-22",תפ_4389-06-22
ME-23-01-10243-238,תפ (מרכז) 10243-01-23,תפ_10243-01-23
ME-22-10-25134-482,תפ (מרכז) 25134-10-22,תפ_25134-10-22
ME-23-01-73351-721,"תפ (ב""ש) 73351-01-23",תפ_73351-01-23
ME-23-02-38416-550,תפ (חי') 38416-02-23,תפ_38416-02-23
ME-22-05-6970-960,תפ (מרכז) 6970-05-22,תפ_6970-05-22
ME-23-01-34561-102,תפ (מרכז) 34561-01-23,תפ_34561-01-23
ME-23-02-38416-809,תפ (חי') 38416-02-23,תפ_38416-02-23
ME-23-04-12589-79,"תפ (ת""א) 12589-04-23",תפ_12589-04-23
ME-23-05-13598-952,תפ (י-ם) 13598-05-23,תפ_13598-05-23
ME-23-05-13598-414,תפ (י-ם) 13598-05-23,תפ_13598-05-23
ME-23-07-43372-552,"תפ (ב""ש) 43372-07-23",תפ_43372-07-23
ME-23-08-42497-110,תפ (י-ם) 42497-08-23,תפ_42497-08-23
ME-23-08-42566-166,תפ (י-ם) 42566-08-23,תפ_42566-08-23
ME-24-01-27992-775,תפ (י-ם) 27992-01-24,תפ_27992-01-24
ME-23-11-59337-832,"תפ (ת""א) 59337-11-23",תפ_59337-11-23
ME-23-11-37987-390,תפ (חי') 37987-11-23,תפ_37987-11-23
ME-24-01-51206-176,"תפ (ב""ש) 51206-01-24",תפ_51206-01-24
ME-24-02-51886-952,תפ (מרכז) 51886-02-24,תפ_51886-02-24
ME-24-02-52438-723,"תפ (ב""ש) 52438-02-24",תפ_52438-02-24
ME-24-02-52438-852,"תפ (ב""ש) 52438-02-24",תפ_52438-02-24
ME-24-05-65251-56,"תפ (ב""ש) 65251-05-24",תפ_65251-05-24
ME-24-07-35088-529,תפ (חי') 35088-07-24,תפ_35088-07-24
ME-24-06-51778-778,"תפ (ת""א) 51778-06-24",תפ_51778-06-24
ME-22-09-24650-165,תפ (חי') 24650-09-22,תפ_24650-09-22
ME-24-07-46118-498,תפ (מרכז) 46118-07-24,תפ_46118-07-24
ME-23-01-33582-325,תפ (חי') 33582-01-23,תפ_33582-01-23
SH-11-03-30295-184,"תפ (ראשל""צ) 30295-03-11",תפ_30295-03-11
ME-24-08-41446-78,"תפ (ת""א) 41446-08-24",תפ_41446-08-24
ME-24-07-35088-627,תפ (חי') 35088-07-24,תפ_35088-07-24
ME-23-06-15727-546,תפ (נצ') 15727-06-23,תפ_15727-06-23
SH-11-10-43869-466,"תפ (ת""א) 43869-10-11",תפ_43869-10-11
SH-11-03-30295-756,"תפ (ראשל""צ) 30295-03-11",תפ_30295-03-11
SH-10-08-15576-499,תפ (י-ם) 15576-08-10,תפ_15576-08-10
SH-11-10-48347-331,"תפ (ק""ג) 48347-10-11",תפ_48347-10-11
SH-12-02-36471-867,"תפ (ק""ג) 36471-02-12",תפ_36471-02-12
SH-11-11-6991-782,"תפ (ת""א) 6991-11-11",תפ_6991-11-11
SH-12-05-46015-32,"תפ (ראשל""צ) 46015-05-12",תפ_46015-05-12
SH-12-10-42775-257,תפ (י-ם) 42775-10-12,תפ_42775-10-12
SH-12-10-32895-205,"תפ (כ""ס) 1480/07",תפ_1480-07
SH-12-06-53910-647,תפ (קריות) 53910-06-12,תפ_53910-06-12
SH-12-03-43053-773,תפ (אי') 43053-03-12,תפ_43053-03-12
SH-12-10-42775-843,תפ (י-ם) 42775-10-12,תפ_42775-10-12
ME-24-01-68905-139,"תפ (ב""ש) 68905-01-24",תפ_68905-01-24
SH-12-11-56388-900,"תפ (ת""א) 56388-11-12",תפ_56388-11-12
SH-12-11-57216-191,"תפ (ק""ג) 57216-11-12",תפ_57216-11-12
SH-12-11-57216-439,"תפ (ק""ג) 57216-11-12",תפ_57216-11-12
SH-13-02-17787-836,"תפ (ק""ג) 17787-02-13",תפ_17787-02-13
SH-13-02-25277-360,"תפ (ק""ג) 25277-02-13",תפ_25277-02-13
SH-13-02-38088-969,"תפ (ראשל""צ) 38088-02-13",תפ_38088-02-13
SH-11-10-26820-652,תפ (י-ם) 26820-10-11,תפ_26820-10-11
ME-24-06-57910-537,תפ (מרכז) 57910-06-24,תפ_57910-06-24
SH-12-12-30206-1,תפ (רמ') 30206-12-12,תפ_30206-12-12
SH-12-10-43375-134,תפ (י-ם) 43375-10-12,תפ_43375-10-12
SH-10-11-34750-972,"תפ (ק""ג) 34750-11-10",תפ_34750-11-10
SH-13-04-18394-938,תפ (אי') 18394-04-13,תפ_18394-04-13
SH-13-02-4515-853,"תפ (ת""א) 4515-02-13",תפ_4515-02-13
SH-13-04-29492-938,"תפ (ת""א) 29492-04-13",תפ_29492-04-13
SH-13-02-41959-736,"תפ (ת""א) 41959-02-13",תפ_41959-02-13
SH-13-03-27593-446,תפ (נת') 27593-03-13,תפ_27593-03-13
SH-13-04-53570-333,תפ (י-ם) 53570-04-13,תפ_53570-04-13
SH-13-05-59136-535,"תפ (ראשל""צ) 59136-05-13",תפ_59136-05-13
SH-13-05-59136-712,"תפ (ראשל""צ) 59136-05-13",תפ_59136-05-13
SH-13-06-22905-712,"תפ (ק""ג) 22905-06-13",תפ_22905-06-13
SH-13-06-33419-298,תפ (אי') 33419-06-13,תפ_33419-06-13
SH-13-05-61516-764,תפ (י-ם) 61516-05-13,תפ_61516-05-13
SH-13-05-53518-895,תפ (רמ') 53518-05-13,תפ_53518-05-13
SH-13-05-59243-815,תפ (י-ם) 59243-05-13,תפ_59243-05-13
SH-13-07-58288-558,"תפ (ראשל""צ) 58288-07-13",תפ_58288-07-13
SH-13-07-58288-186,"תפ (ראשל""צ) 58288-07-13",תפ_58288-07-13
SH-13-08-19905-125,תפ (רח') 19905-08-13,תפ_19905-08-13
SH-13-08-32383-744,"תפ (ראשל""צ) 32383-08-13",תפ_32383-08-13
SH-13-09-33069-32,"תפ (ב""ש) 33069-09-13",תפ_33069-09-13
SH-13-09-33069-113,"תפ (ב""ש) 33069-09-13",תפ_33069-09-13
SH-13-09-33069-589,"תפ (ב""ש) 33069-09-13",תפ_33069-09-13
SH-13-09-30582-80,"תפ (ת""א) 30582-09-13",תפ_30582-09-13
SH-13-10-20883-835,"תפ (ב""ש) 20883-10-13",תפ_20883-10-13
SH-13-10-24581-996,תפ (עכו) 24581-10-13,תפ_24581-10-13
SH-13-10-67676-975,"תפ (ק""ג) 67676-10-13",תפ_67676-10-13
SH-13-09-1540-62,"תפ (ת""א) 1540-09-13",תפ_1540-09-13
SH-13-08-42410-295,"תפ (ק""ג) 42410-08-13",תפ_42410-08-13
SH-13-09-9696-1,"תפ (ת""א) 9696-09-13",תפ_9696-09-13
SH-13-11-14861-643,"תפ (ק""ג) 14861-11-13",תפ_14861-11-13
SH-13-10-67733-512,"תפ (ק""ג) 67733-10-13",תפ_67733-10-13
SH-13-10-40089-865,"תפ (ת""א) 40089-10-13",תפ_40089-10-13
SH-13-11-50454-245,"תפ (ראשל""צ) 50454-11-13",תפ_50454-11-13
SH-13-11-33482-295,"תפ (ק""ג) 33482-11-13",תפ_33482-11-13
SH-13-12-14224-281,"תפ (פ""ת) 14224-12-13",תפ_14224-12-13
SH-13-05-60476-484,תפ (י-ם) 60476-05-13,תפ_60476-05-13
SH-13-12-22325-241,"תפ (ראשל""צ) 22325-12-13",תפ_22325-12-13
SH-13-11-2549-520,"תפ (ת""א) 2549-11-13",תפ_2549-11-13
SH-13-12-2415-280,"תפ (ת""א) 2415-12-13",תפ_2415-12-13
SH-14-01-11145-802,"תפ (פ""ת) 11145-01-14",תפ_11145-01-14
SH-14-01-36376-414,"תפ (ת""א) 36376-01-14",תפ_36376-01-14
SH-14-01-36543-499,"תפ (ת""א) 36543-01-14",תפ_36543-01-14
SH-14-01-33125-828,תפ (רמ') 33125-01-14,תפ_33125-01-14
SH-14-02-10642-495,תפ (נת') 10642-02-14,תפ_10642-02-14
SH-14-01-60914-213,תפ (נת') 60914-01-14,תפ_60914-01-14
SH-14-01-56878-389,"תפ (ת""א) 56878-01-14",תפ_56878-01-14
SH-14-02-22602-162,"תפ (כ""ס) 22602-02-14",תפ_22602-02-14
SH-14-01-56878-123,"תפ (ת""א) 56878-01-14",תפ_56878-01-14
SH-13-11-56865-814,"תפ (ק""ג) 56865-11-13",תפ_56865-11-13
SH-14-02-58254-761,"תפ (ת""א) 58254-02-14",תפ_58254-02-14
SH-14-03-18987-192,"תפ (ראשל""צ) 18987-03-14",תפ_18987-03-14
SH-14-02-44208-124,תפ (רמ') 44208-02-14,תפ_44208-02-14
SH-14-02-19674-70,תפ (רמ') 19674-02-14,תפ_19674-02-14
SH-14-04-20508-186,"תפ (ק""ג) 20508-04-14",תפ_20508-04-14
SH-14-04-20508-896,"תפ (ק""ג) 20508-04-14",תפ_20508-04-14
SH-14-02-639-143,"תפ (ת""א) 639-02-14",תפ_639-02-14
SH-14-04-43072-452,"תפ (ק""ג) 43072-04-14",תפ_43072-04-14
SH-14-04-18383-744,"תפ (ת""א) 18383-04-14",תפ_18383-04-14
SH-14-04-49374-292,"תפ (ק""ג) 49374-04-14",תפ_49374-04-14
SH-14-05-12729-241,"תפ (כ""ס) 12729-05-14",תפ_12729-05-14
SH-14-01-33125-763,תפ (רמ') 33125-01-14,תפ_33125-01-14
SH-14-01-16980-713,תפ (רמ') 16980-01-14,תפ_16980-01-14
SH-14-04-7568-785,"תפ (פ""ת) 7568-04-14",תפ_7568-04-14
SH-14-05-21460-856,"תפ (ת""א) 21460-05-14",תפ_21460-05-14
SH-14-05-9641-607,"תפ (ק""ש) 9641-05-14",תפ_9641-05-14
SH-14-05-520-636,תפ (י-ם) 520-05-14,תפ_520-05-14
SH-14-03-60682-385,תפ (י-ם) 60682-03-14,תפ_60682-03-14
SH-14-05-47022-11,"תפ (פ""ת) 47022-05-14",תפ_47022-05-14
SH-14-06-26644-763,"תפ (פ""ת) 26644-06-14",תפ_26644-06-14
SH-14-06-26717-623,"תפ (פ""ת) 26717-06-14",תפ_26717-06-14
SH-14-06-45048-547,"תפ (ב""ש) 45048-06-14",תפ_45048-06-14
SH-14-06-49906-129,"תפ (ק""ג) 49906-06-14",תפ_49906-06-14
SH-14-05-13770-457,"תפ (ת""א) 13770-05-14",תפ_13770-05-14
SH-14-05-6553-277,תפ (נת') 6553-05-14,תפ_6553-05-14
SH-14-06-17462-795,"תפ (פ""ת) 17462-06-14",תפ_17462-06-14
SH-14-06-9082-932,תפ (נת') 9082-06-14,תפ_9082-06-14
SH-14-07-7917-291,"תפ (פ""ת) 7917-07-14",תפ_7917-07-14
SH-14-08-30132-620,תפ (אש') 30132-08-14,תפ_30132-08-14
SH-14-08-10205-892,"תפ (ב""ש) 10205-08-14",תפ_10205-08-14
SH-14-09-31173-727,"תפ (ק""ג) 31173-09-14",תפ_31173-09-14
SH-14-09-52816-332,"תפ (ק""ג) 52816-09-14",תפ_52816-09-14
SH-14-09-21401-172,"תפ (ב""ש) 21401-09-14",תפ_21401-09-14
SH-14-09-52816-437,"תפ (ק""ג) 52816-09-14",תפ_52816-09-14
SH-14-07-8249-635,"תפ (פ""ת) 8249-07-14",תפ_8249-07-14
SH-14-05-37255-741,תפ (רמ') 37255-05-14,תפ_37255-05-14
SH-14-09-60207-732,"תפ (ק""ג) 60207-09-14",תפ_60207-09-14
SH-14-10-27187-724,"תפ (ק""ג) 27187-10-14",תפ_27187-10-14
SH-14-10-26563-227,"הת (ב""ש) 26563-10-14",הת_26563-10-14
SH-14-11-20214-386,"תפ (ראשל""צ) 20214-11-14",תפ_20214-11-14
SH-14-06-17462-184,"תפ (פ""ת) 17462-06-14",תפ_17462-06-14
SH-14-11-20201-690,"תפ (ראשל""צ) 20201-11-14",תפ_20201-11-14
SH-14-11-20214-768,"תפ (ראשל""צ) 20214-11-14",תפ_20214-11-14
SH-14-11-43133-14,תפ (טב') 43133-11-14,תפ_43133-11-14
SH-14-11-47532-350,"תפ (ק""ג) 47532-11-14",תפ_47532-11-14
SH-14-11-27249-248,תפ (י-ם) 27249-11-14,תפ_27249-11-14
SH-14-11-32695-196,"תפ (ראשל""צ) 32695-11-14",תפ_32695-11-14
SH-14-09-28106-244,תפ (רמ') 28106-09-14,תפ_28106-09-14
SH-14-12-19812-570,"תפ (ק""ג) 19812-12-14",תפ_19812-12-14
SH-14-12-1875-790,"תפ (ב""ש) 1875-12-14",תפ_1875-12-14
SH-14-12-31864-266,"תפ (ראשל""צ) 31864-12-14",תפ_31864-12-14
SH-14-10-26563-348,"הת (ב""ש) 26563-10-14",הת_26563-10-14
SH-15-01-18663-369,"תפ (ב""ש) 18663-01-15",תפ_18663-01-15
SH-15-01-32646-623,תפ (אש') 32646-01-15,תפ_32646-01-15
SH-15-01-46526-284,"תפ (ק""ג) 46526-01-15",תפ_46526-01-15
SH-15-01-5648-930,"תפ (ק""ג) 5648-01-15",תפ_5648-01-15
SH-14-12-26189-949,תפ (טב') 26189-12-14,תפ_26189-12-14
SH-14-11-35907-803,"תפ (פ""ת) 35907-11-14",תפ_35907-11-14
SH-15-03-60368-324,"תפ (ק""ג) 60368-03-15",תפ_60368-03-15
SH-14-07-12138-81,תפ (י-ם) 12138-07-14,תפ_12138-07-14
SH-15-02-31344-591,"תפ (ק""ג) 31344-02-15",תפ_31344-02-15
SH-15-03-60368-643,"תפ (ק""ג) 60368-03-15",תפ_60368-03-15
SH-14-12-45188-573,"תפ (ק""ג) 45188-12-14",תפ_45188-12-14
SH-15-04-24068-716,"תפ (ראשל""צ) 24068-04-15",תפ_24068-04-15
SH-15-04-8506-181,"תפ (ב""ש) 8506-04-15",תפ_8506-04-15
SH-15-05-22448-558,"תפ (ראשל""צ) 22448-05-15",תפ_22448-05-15
SH-15-02-7157-386,"תפ (בי""ש) 7157-02-15",תפ_7157-02-15
SH-15-04-741-254,"תפ (ת""א) 741-04-15",תפ_741-04-15
SH-15-02-4603-92,"תפ (ק""ש) 4603-02-15",תפ_4603-02-15
SH-15-03-21862-203,"תפ (ק""ג) 4244-01-17",תפ_4244-01-17
