verdict_1,verdict_2,similarity_score,source_batch
תפ_32174-07-20,תפ_45433-09-17,20,main
תפ_11739-03-21,תפ_3667-07-15,35,main
תפ_23659-04-22,תפ_52567-05-23,65,main
תפ_16540-08-21,תפ_24239-05-17,35,main
תפ_35202-10-15,תפ_3667-07-15,35,main
תפ_17677-04-17,תפ_46118-07-24,85,main
תפ_25537-07-24,תפ_39568-06-21,35,main
תפ_28157-02-23,תפ_69278-05-18,35,main
תפ_13373-10-23,תפ_62794-11-21,35,main
תפ_10316-06-13,תפ_31276-05-19,45,main
תפ_14944-08-18,תפ_34974-01-12,55,main
תפ_10108-11-21,תפ_4632-02-22,40,main
תפ_1127-05-20,תפ_59274-02-22,55,main
תפ_2802-11-19,תפ_33024-01-18,65,main
תפ_24953-08-24,תפ_34255-01-24,65,main
תפ_17642-11-20,תפ_46497-09-16,35,main
תפ_29013-01-17,תפ_39953-08-24,55,main
תפ_25502-05-22,תפ_47344-10-15,25,main
תפ_49244-01-22,תפ_66306-03-19,35,main
תפ_49875-05-23,תפ_52165-12-17,18,main
תפ_52785-01-20,תפ_824-06-17,85,main
תפ_18846-06-20,תפ_5391-02-20,25,main
תפ_20513-06-20,תפ_8633-04-15,65,main
תפ_21384-01-23,תפ_49244-01-22,42,main
תפ_42006-10-16,תפ_8444-04-23,20,main
תפ_31736-06-21,תפ_824-06-17,15,main
תפ_23408-05-15,תפ_33439-01-21,25,main
תפ_32174-07-20,תפ_42653-08-23,20,main
תפ_20513-06-20,תפ_49244-01-22,30,main
תפ_10812-12-21,תפ_14553-12-23,85,main
תפ_2330-02-20,תפ_7867-04-22,25,main
תפ_38435-11-17,תפ_39034-01-18,15,main
תפ_13236-03-18,תפ_47344-10-15,22,main
תפ_15709-10-19,תפ_56473-06-16,38,main
תפ_28736-03-20,תפ_59602-07-15,55,main
תפ_16273-02-16,תפ_53517-08-15,25,main
תפ_1057-05-15,תפ_37551-01-16,35,main
תפ_4460-04-18,תפ_56566-08-20,25,main
תפ_25537-07-24,תפ_59329-02-18,45,main
תפ_45055-01-22,תפ_49376-01-24,65,main
תפ_49293-04-21,תפ_71059-03-19,55,main
תפ_23142-09-14,תפ_43525-01-21,35,main
תפ_1197-11-21,תפ_59329-02-18,75,main
תפ_21280-11-18,תפ_65884-10-13,55,main
תפ_32174-07-20,תפ_65292-07-23,35,main
תפ_6659-02-21,תפ_686-05-21,90,main
תפ_10393-03-21,תפ_13113-07-22,65,main
תפ_33040-09-24,תפ_46497-09-16,35,main
תפ_18828-06-20,תפ_23454-02-17,45,main
תפ_10108-11-21,תפ_32174-07-20,15,main
תפ_22981-12-22,תפ_54351-11-21,55,main
תפ_3818-01-24,תפ_46662-04-15,85,main
תפ_39424-11-22,תפ_7027-07-19,45,main
תפ_35202-10-15,תפ_62573-05-18,38,main
תא_40004-08-18,תפ_3667-07-15,35,main
תפ_48281-08-18,תפ_64711-01-19,30,main
תפ_23659-04-22,תפ_31425-08-20,35,main
תפ_16595-03-21,תפ_27865-11-17,20,main
תפ_29216-07-16,תפ_6749-09-22,35,main
תפ_2599-09-17,תפ_32817-12-14,25,main
תפ_5911-11-16,תפ_62794-11-21,35,main
תפ_57425-01-22,תפ_60454-06-16,35,main
תפ_43084-09-20,תפ_69278-05-18,20,main
תפ_35299-09-23,תפ_4730-11-21,55,main
תפ_45480-02-19,תפ_7696-05-20,75,main
תפ_12469-10-16,תפ_65302-03-22,15,main
תפ_11220-12-18,תפ_33439-01-21,25,main
תפ_2599-09-17,תפ_47304-02-18,40,main
תפ_21059-03-16,תפ_28615-01-22,75,main
תפ_21355-08-18,תפ_36422-07-13,10,main
תפ_21339-07-21,תפ_46173-08-15,35,main
תפ_10689-10-17,תפ_9582-10-20,35,main
תפ_30039-04-20,תפ_6970-05-22,85,main
תפ_33916-02-22,תפ_38574-12-18,85,main
תפ_15023-05-20,תפ_24895-03-20,35,main
תפ_16826-04-18,תפ_737-10-13,90,main
תפ_45961-07-17,תפ_66475-11-16,70,main
תפ_32817-12-14,תפ_43525-01-21,35,main
תפ_3667-07-15,תפ_41189-09-15,35,main
תפ_10971-03-11,תפ_19408-11-14,55,main
תפ_28157-02-23,תפ_33666-05-15,25,main
תפ_4435-07-19,תפ_74036-12-19,90,main
תפ_3667-07-15,תפ_5649-09-21,58,main
תפ_51886-02-24,תפ_7420-05-19,20,main
תפ_13373-10-23,תפ_23142-09-14,40,main
תפ_11220-12-18,תפ_21280-11-18,55,main
תפ_19412-05-18,תפ_8444-04-23,25,main
תפ_33798-05-18,תפ_42006-10-16,20,main
תפ_30197-04-17,תפ_36831-09-13,30,main
תפ_17677-04-17,תפ_37468-09-16,65,main
עפ_6029-03,תפ_50860-02-20,25,main
תפ_35074-05-17,תפ_47757-02-18,30,main
תפ_26943-07-17,תפ_46039-04-17,45,main
תפ_18203-04-19,תפ_38366-02-17,45,main
תפ_43084-09-20,תפ_55287-10-23,45,main
תפ_12834-03-18,תפ_20197-01-22,65,main
תפ_66306-03-19,תפ_8633-04-15,25,main
תפ_65292-07-23,תפ_69278-05-18,30,main
תפ_70374-11-20,תפ_7430-02-18,45,main
תפ_17642-11-20,תפ_43983-05-19,55,main
תפ_34792-10-18,תפ_69278-05-18,35,main
תפ_20538-11-17,תפ_39034-01-18,35,main
תפ_58591-08-18,תפ_67234-06-20,55,main
תפ_15747-08-22,תפ_30538-02-19,35,main
תפ_21355-08-18,תפ_33439-01-21,65,main
תפ_46786-01-23,תפ_46896-11-15,55,main
תפ_46497-09-16,תפ_56624-12-19,35,main
תפ_3526-04-21,תפ_59329-02-18,65,main
תפ_21284-10-19,תפ_53517-08-15,45,main
תפ_18846-06-20,תפ_50860-02-20,35,main
תפ_25835-05-18,תפ_65884-10-13,45,main
תפ_36831-09-13,תפ_45433-09-17,30,main
תפ_25458-11-18,תפ_59337-11-23,90,main
תפ_19827-06-15,תפ_36801-10-22,65,main
תפ_17415-10-21,תפ_42653-08-23,20,main
תפ_11220-12-18,תפ_49932-08-21,20,main
תפ_21162-10-19,תפ_47304-02-18,15,main
תפ_13704-12-23,תפ_30009-08-23,65,main
תפ_35202-10-15,תפ_59971-01-17,35,main
תפ_31425-08-20,תפ_50860-02-20,35,main
תפ_20513-06-20,תפ_8203-05-23,60,main
תפ_58021-11-17,תפ_74036-12-19,75,main
תפ_31425-08-20,תפ_55287-10-23,35,main
תפ_49244-01-22,תפ_6047-11-19,38,main
תפ_60454-06-16,תפ_60842-12-14,55,main
תפ_46173-08-15,תפ_69278-05-18,75,main
תפ_33040-09-24,תפ_36823-02-21,20,main
תפ_29707-03-22,תפ_8203-05-23,55,main
תפ_10812-12-21,תפ_824-06-17,75,main
תפ_35441-01-20,תפ_41189-09-15,35,main
תפ_30538-02-19,תפ_5496-11-20,45,main
תפ_3667-07-15,תפ_58603-06-21,55,main
תפ_33024-01-18,תפ_42116-04-17,25,main
תפ_34974-01-12,תפ_36543-01-14,60,main
תפ_2599-09-17,תפ_47474-01-14,25,main
תפ_21339-07-21,תפ_5775-02-18,18,main
עפ_6029-03,תפ_41174-02-18,15,main
תפ_35568-01-23,תפ_46786-01-23,72,main
תפ_30310-09-23,תפ_31736-06-21,25,main
תפ_34792-10-18,תפ_52165-12-17,20,main
תפ_18216-09-16,תפ_57043-06-16,70,main
תפ_52567-05-23,תפ_60101-01-17,20,main
תפ_30197-04-17,תפ_42225-09-17,35,main
תפ_37454-03-20,תפ_37474-03-20,65,main
תפ_6749-09-22,תפ_8633-04-15,35,main
תפ_38680-05-20,תפ_51811-03-21,15,main
תפ_25934-06-19,תפ_50860-02-20,60,main
תפ_62092-06-16,תפ_7906-06-15,35,main
תפ_1057-05-15,תפ_24239-05-17,35,main
תפ_21059-03-16,תפ_34561-01-23,85,main
תפ_42164-10-19,תפ_9228-05-21,30,main
תפ_19705-09-23,תפ_51006-11-21,65,main
תפ_33495-01-21,תפ_50860-02-20,62,main
תפ_14553-12-23,תפ_42164-10-19,15,main
תפ_59971-01-17,תפ_66982-09-16,20,main
תפ_34787-05-20,תפ_41339-06-20,60,main
תפ_11220-12-18,תפ_54723-06-22,40,main
תפ_10810-11-20,תפ_44129-09-19,70,main
תפ_53373-04-13,תפ_60454-06-16,30,main
תפ_49305-06-16,תפ_8203-05-23,75,main
תפ_31276-05-19,תפ_49875-05-23,25,main
תפ_16690-05-19,תפ_3526-04-21,35,main
תפ_14553-12-23,תפ_23142-09-14,35,main
תפ_43794-10-18,תפ_5649-09-21,25,main
תפ_17415-10-21,תפ_70374-11-20,30,main
תפ_49244-01-22,תפ_6163-03-19,35,main
תפ_20513-06-20,תפ_54543-06-21,40,main
תפ_30197-04-17,תפ_40892-01-24,45,main
תפ_17023-12-18,תפ_17677-04-17,25,main
תפ_28544-01-21,תפ_40650-03-22,35,main
תפ_12194-06-23,תפ_43983-05-19,75,main
תפ_49401-08-15,תפ_50998-12-18,75,main
תפ_28544-01-21,תפ_66114-01-23,20,main
תפ_21991-04-20,תפ_34108-01-23,55,main
תפ_38531-11-18,תפ_52165-12-17,35,main
תפ_20513-06-20,תפ_29216-07-16,20,main
תפ_17677-04-17,תפ_52785-01-20,85,main
תפ_36801-10-22,תפ_43525-01-21,35,main
תפ_31234-07-19,תפ_41688-08-17,25,main
תפ_35202-10-15,תפ_47757-02-18,25,main
תפ_15972-06-20,תפ_54826-08-16,62,main
תפ_45537-07-17,תפ_47668-04-18,20,main
תפ_21471-09-22,תפ_45012-03-20,85,main
תפ_34561-01-23,תפ_69278-05-18,75,main
תפ_46315-12-23,תפ_56624-12-19,45,main
תפ_42543-06-14,תפ_51933-05-12,65,main
תפ_42761-01-18,תפ_67527-03-18,80,main
תפ_3526-04-21,תפ_43875-08-17,65,main
תפ_28234-05-21,תפ_52205-06-22,35,main
תפ_2275-06-17,תפ_35074-05-17,30,main
תפ_21284-10-19,תפ_7696-05-20,35,main
תפ_40639-10-17,תפ_9763-11-19,75,main
תפ_1127-05-20,תפ_15263-09-18,38,main
תפ_21503-07-23,תפ_25934-06-19,85,main
תפ_2791-06-18,תפ_42359-08-18,65,main
תפ_24239-05-17,תפ_33040-09-24,35,main
תפ_2211-11-19,תפ_45012-03-20,92,main
תפ_49845-08-20,תפ_8843-02-15,85,main
תפ_35568-01-23,תפ_49244-01-22,25,main
תפ_30538-02-19,תפ_35299-09-23,45,main
תפ_14553-12-23,תפ_57425-01-22,25,main
תפ_15747-08-22,תפ_30197-04-17,15,main
תפ_25537-07-24,תפ_42164-10-19,35,main
תפ_21162-10-19,תפ_5391-02-20,25,main
תפ_31425-08-20,תפ_51810-03-15,35,main
תפ_2599-09-17,תפ_53127-06-16,30,main
תפ_15747-08-22,תפ_52165-12-17,25,main
תפ_32817-12-14,תפ_6659-02-21,75,main
תפ_30197-04-17,תפ_32817-12-14,35,main
תפ_3526-04-21,תפ_57425-01-22,20,main
תפ_33024-01-18,תפ_35568-01-23,35,main
תפ_21284-10-19,תפ_33916-02-22,35,main
תפ_35389-01-21,תפ_7867-04-22,95,main
תפ_35299-09-23,תפ_49932-08-21,35,main
תפ_37340-06-12,תפ_48316-03-20,55,main
תפ_31425-08-20,תפ_6659-02-21,30,main
תפ_11701-02-20,תפ_16540-08-21,45,main
תפ_42879-09-21,תפ_7430-02-18,30,main
תא_40004-08-18,תפ_4488-05-22,35,main
תפ_34960-10-19,תפ_47757-02-18,62,main
תפ_27961-04-18,תפ_47757-02-18,35,main
תפ_11739-03-21,תפ_6970-05-22,25,main
תפ_10689-10-17,תפ_21605-07-13,45,main
תפ_45055-01-22,תפ_57910-06-24,20,main
תפ_2211-11-19,תפ_25458-11-18,90,main
תפ_30377-04-18,תפ_7926-08-19,72,main
תפ_3667-07-15,תפ_5496-11-20,35,main
תפ_27103-01-18,תפ_70374-11-20,65,main
תפ_30377-04-18,תפ_3667-07-15,30,main
תפ_52504-10-20,תפ_52567-05-23,65,main
תפ_41688-08-17,תפ_56456-03-19,35,main
תפ_47589-10-22,תפ_60057-12-19,65,main
תפ_35074-05-17,תפ_9804-01-24,45,main
תפ_21322-10-19,תפ_46039-04-17,30,main
תפ_45012-03-20,תפ_73906-12-20,90,main
תפ_11314-11-16,תפ_28032-06-19,62,main
תפ_51797-01-21,תפ_7867-04-22,85,main
תפ_45055-01-22,תפ_7696-05-20,25,main
תפ_32174-07-20,תפ_49472-07-18,85,main
תפ_31425-08-20,תפ_40063-03-18,35,main
תפ_1197-11-21,תפ_35202-10-15,55,main
תפ_10316-06-13,תפ_25934-06-19,30,main
תפ_1062-06-18,תפ_6677-02-21,65,main
תפ_33439-01-21,תפ_66306-03-19,15,main
תפ_44477-08-20,תפ_46118-07-24,80,main
תפ_27735-02-21,תפ_45012-03-20,92,main
תפ_15263-09-18,תפ_46967-02-21,45,main
תפ_66306-03-19,תפ_66982-09-16,40,main
תפ_23142-09-14,תפ_27103-01-18,35,main
תפ_37495-01-20,תפ_54845-01-19,55,main
תפ_19883-06-19,תפ_41688-08-17,25,main
תפ_17415-10-21,תפ_40063-03-18,30,main
תפ_66114-01-23,תפ_7867-04-22,20,main
תפ_32956-11-20,תפ_37495-01-20,85,main
תפ_4435-11-17,תפ_49087-01-17,35,main
תפ_45874-03-19,תפ_71968-02-19,15,main
תפ_28847-09-20,תפ_50777-11-23,85,main
תפ_59971-01-17,תפ_7027-07-19,35,main
תפ_25537-07-24,תפ_25934-06-19,35,main
תפ_50774-11-15,תפ_7906-06-15,45,main
תפ_35074-05-17,תפ_3667-07-15,30,main
תפ_20197-01-22,תפ_69278-05-18,70,main
תפ_21339-07-21,תפ_39034-01-18,30,main
תפ_46786-01-23,תפ_7420-05-19,35,main
תפ_21503-07-23,תפ_47304-02-18,55,main
תפ_3256-16,תפ_43084-09-20,30,main
תפ_4730-11-21,תפ_7027-07-19,55,main
תפ_36831-09-13,תפ_39568-06-21,60,main
תפ_26839-11-16,תפ_46896-11-15,30,main
תפ_34787-05-20,תפ_37468-09-16,65,main
תפ_20513-06-20,תפ_43525-01-21,55,main
תפ_16273-02-16,תפ_42156-05-22,60,main
תפ_13373-10-23,תפ_5496-11-20,55,main
תפ_3766-09-21,תפ_5391-02-20,10,main
תפ_31736-06-21,תפ_44477-08-20,20,main
תפ_49401-08-15,תפ_49932-08-21,90,main
תפ_15972-06-20,תפ_37340-06-12,35,main
תפ_30039-04-20,תפ_7696-05-20,65,main
תפ_59586-01-14,תפ_8123-04-14,65,main
תפ_26792-04-16,תפ_9270-02-21,45,main
תפ_33439-01-21,תפ_52145-01-20,25,main
תפ_42006-10-16,תפ_58603-06-21,30,main
תפ_16097-08-21,תפ_37495-01-20,90,main
תפ_3818-01-24,תפ_52785-01-20,75,main
תפ_52145-01-20,תפ_59541-10-18,35,main
תפ_17415-10-21,תפ_37850-05-17,35,main
תפ_49244-01-22,תפ_54036-06-19,35,main
תפ_12469-10-16,תפ_42164-10-19,20,main
תפ_23282-05-17,תפ_31425-08-20,30,main
תפ_44501-11-16,תפ_47640-06-18,70,main
תפ_10108-11-21,תפ_46967-02-21,35,main
תפ_35074-05-17,תפ_35208-03-22,75,main
תפ_24239-05-17,תפ_65292-07-23,35,main
תפ_30197-04-17,תפ_65884-10-13,35,main
תפ_12143-06-20,תפ_43525-01-21,55,main
תפ_2330-02-20,תפ_67473-10-21,68,main
תפ_4719-02-23,תפ_8444-04-23,15,main
תפ_18846-06-20,תפ_57425-01-22,25,main
תפ_21471-09-22,תפ_25458-11-18,85,main
תפ_26032-04-14,תפ_51810-03-15,20,main
תפ_15709-10-19,תפ_37694-03-15,70,main
תפ_65302-03-22,תפ_9228-05-21,35,main
תפ_13598-05-23,תפ_20197-01-22,65,main
תפ_2330-02-20,תפ_33439-01-21,25,main
תפ_23282-05-17,תפ_6659-02-21,20,main
תפ_52145-01-20,תפ_5649-09-21,25,main
תפ_12143-06-20,תפ_46173-08-15,20,main
תפ_23408-05-15,תפ_8633-04-15,35,main
תפ_21284-10-19,תפ_51933-05-12,65,main
תפ_12130-05-22,תפ_35074-05-17,25,main
תפ_30678-02-22,תפ_33439-01-21,30,main
תפ_3256-16,תפ_5775-02-18,30,main
תפ_26032-04-14,תפ_35299-09-23,18,main
תפ_1057-05-15,תפ_11370-07-16,20,main
תפ_28234-05-21,תפ_42116-04-17,30,main
תפ_5496-11-20,תפ_65884-10-13,55,main
תפ_20197-01-22,תפ_34787-05-20,90,main
תפ_20482-10-16,תפ_7696-05-20,75,main
תפ_14998-08-16,תפ_19830-10-20,35,main
תפ_36422-07-13,תפ_46896-11-15,60,main
תפ_24953-08-24,תפ_28045-11-18,75,main
תפ_65068-11-22,תפ_9369-01-13,65,main
תפ_17610-09-15,תפ_61720-01-23,75,main
תפ_31276-05-19,תפ_33666-05-15,30,main
תפ_21503-07-23,תפ_46896-11-15,35,main
תפ_19691-03-18,תפ_21322-10-19,55,main
תפ_28544-01-21,תפ_7867-04-22,95,main
תפ_44422-01-17,תפ_824-06-17,15,main
תפ_53127-06-16,תפ_66982-09-16,60,main
תפ_21477-06-19,תפ_33866-12-15,38,main
תפ_47304-02-18,תפ_55287-10-23,45,main
תפ_2802-11-19,תפ_59888-08-22,35,main
תפ_13373-10-23,תפ_46896-11-15,45,main
תפ_36831-09-13,תפ_49875-05-23,35,main
תפ_14553-12-23,תפ_49932-08-21,25,main
תפ_10689-10-17,תפ_63413-01-22,20,main
תפ_12469-10-16,תפ_50970-11-21,35,main
תפ_25537-07-24,תפ_69278-05-18,40,main
תפ_45012-03-20,תפ_45055-01-22,20,main
תפ_30039-04-20,תפ_52504-10-20,85,main
תפ_34561-01-23,תפ_686-05-21,85,main
תפ_28736-03-20,תפ_43394-11-19,10,main
תפ_31276-05-19,תפ_6749-09-22,55,main
תפ_22021-09-22,תפ_65292-07-23,65,main
תפ_1338-12-20,תפ_44422-01-17,25,main
תפ_42164-10-19,תפ_50059-04-15,25,main
תפ_56878-01-14,תפ_57031-01-14,85,main
תפ_28157-02-23,תפ_35568-01-23,30,main
תפ_34792-10-18,תפ_46967-02-21,35,main
תפ_25537-07-24,תפ_37850-05-17,30,main
תפ_21284-10-19,תפ_35208-03-22,72,main
תפ_48731-11-14,תפ_54543-06-21,25,main
תפ_25458-11-18,תפ_45012-03-20,95,main
תפ_21477-06-19,תפ_40650-03-22,35,main
תפ_38531-11-18,תפ_49932-08-21,65,main
תפ_17642-11-20,תפ_41876-08-23,30,main
תפ_33439-01-21,תפ_62070-05-20,75,main
תא_40004-08-18,תפ_7420-05-19,38,main
תפ_2275-06-17,תפ_28157-02-23,35,main
תפ_23659-04-22,תפ_34197-11-21,75,main
תפ_32956-11-20,תפ_45012-03-20,85,main
תפ_23142-09-14,תפ_31276-05-19,25,main
תפ_36801-10-22,תפ_39568-06-21,20,main
תפ_12834-03-18,תפ_13749-03-17,35,main
תפ_32041-03-21,תפ_46914-06-18,35,main
תפ_11017-08-14,תפ_49305-06-16,35,main
תפ_46786-01-23,תפ_51886-02-24,35,main
תפ_21280-11-18,תפ_66306-03-19,25,main
תפ_16690-05-19,תפ_48224-08-18,65,main
תפ_1338-12-20,תפ_18203-04-19,25,main
