verdict_1,verdict_2,domain,similarity_score,source_batch
תפ_395-05-17,תפ_43009-08-20,weapon,20,main
תפ_31862-05-13,תפ_59260-03-16,weapon,38,main
תפ_31498-01-16,תפ_37386-11-13,weapon,45,main
תפ_1506-02-24,תפ_9675-11-17,drugs,85,main
תפ_15023-05-20,תפ_60380-03-22,drugs,25,main
תפ_40313-09-15,תפ_46737-07-22,weapon,5,main
תפ_17856-06-17,תפ_23992-11-21,weapon,75,main
תפ_32227-11-20,תפ_46930-03-22,weapon,10,main
תפ_17137-11-21,תפ_34694-09-21,weapon,70,main
תפ_34792-10-18,תפ_59971-01-17,drugs,35,main
תפ_57001-11-21,תפח_53698-03-17,weapon,35,main
תפ_3728-01-15,תפ_40450-09-15,weapon,65,main
תפ_33420-12-20,תפ_37386-11-13,weapon,55,main
תפ_1219-06-23,תפח_4986-04-11,weapon,28,main
תפ_31736-06-21,תפ_66114-01-23,drugs,70,main
תפ_33898-01-22,תפ_59274-02-22,drugs,35,main
תפ_28100-07-20,תפ_44840-06-16,weapon,20,main
תפ_11843-03-20,תפ_23648-12-19,weapon,5,main
תפ_41694-03-20,תפ_61158-05-20,weapon,10,main
תפ_44620-01-22,תפ_53496-03-18,weapon,45,main
תפ_29947-07-23,תפ_7617-07-23,weapon,20,main
תפ_46896-11-15,תפ_49875-05-23,drugs,45,main
תפ_35202-10-15,תפ_49244-01-22,drugs,25,main
תפ_35512-06-17,תפ_522-05-17,weapon,18,main
תפ_26549-09-21,תפ_32775-09-23,weapon,45,main
תפ_7626-04-20,תפח_39094-05-12,weapon,25,main
תפ_10896-06-20,תפ_26478-04-22,weapon,20,main
תפ_18013-01-15,תפח_30145-08-13,weapon,35,main
תפ_10316-06-13,תפ_49932-08-21,drugs,55,main
תפ_38687-04-20,תפ_983-05-15,weapon,55,main
תפ_24239-05-17,תפ_50970-11-21,drugs,45,main
תפ_52569-05-16,תפ_7696-05-20,drugs,55,main
תפ_13153-08-15,תפ_41276-06-17,weapon,25,main
תפ_46108-06-20,תפ_57914-10-13,weapon,60,main
תפ_27929-03-19,תפ_41775-01-11,weapon,28,main
תפ_35074-05-17,תפ_40063-03-18,drugs,62,main
תפ_12743-08-22,תפ_27277-01-15,weapon,10,main
תפ_13785-04-15,תפ_1580-11-23,weapon,18,main
תפ_30003-03-22,תפ_6968-01-24,weapon,35,main
תפ_19384-05-16,תפ_39998-08-15,weapon,25,main
תפ_18557-10-21,תפ_39808-05-23,weapon,25,main
תפ_10180-01-24,תפ_61452-12-22,weapon,75,main
תפ_59260-03-16,תפח_56363-07-20,weapon,30,main
תפ_14553-12-23,תפ_16540-08-21,drugs,35,main
תפ_35364-01-18,תפ_52390-06-19,weapon,20,main
תפ_54607-07-19,תפ_59967-01-13,weapon,35,main
תפ_21459-01-16,תפ_39998-08-15,weapon,35,main
תפ_23872-02-19,תפ_44620-01-22,weapon,25,main
תפ_45965-07-16,תפ_50986-12-16,weapon,28,main
תפ_18013-01-15,תפ_9111-02-15,weapon,85,main
תפ_16161-04-21,תפ_58505-11-19,weapon,35,main
תפ_42991-05-16,תפ_55664-02-14,weapon,65,main
תפ_16779-09-22,תפ_31935-12-21,weapon,38,main
תפ_50986-12-16,תפ_51088-03-21,weapon,75,main
תפ_16779-09-22,תפ_42987-06-16,weapon,35,main
תפ_17860-01-19,תפ_21813-09-16,weapon,18,main
תפ_35397-07-21,תפ_4102-11-20,weapon,68,main
תפ_57001-11-21,תפ_63355-02-23,weapon,70,main
תפ_38883-05-22,תפ_52322-10-23,weapon,15,main
תפ_46315-12-23,תפ_5649-09-21,drugs,35,main
תפ_15387-01-21,תפ_61106-05-20,weapon,20,main
תפ_5275-07-21,תפ_61106-05-20,weapon,40,main
תפ_28991-04-22,תפ_52964-03-22,weapon,5,main
תפ_40063-03-18,תפ_60842-12-14,drugs,25,main
תפ_46315-12-23,תפ_49293-04-21,drugs,25,main
תפ_18203-04-19,תפ_7027-07-19,drugs,20,main
תפ_19908-10-21,תפ_54337-05-21,weapon,28,main
תפ_1178-06-21,תפ_46916-07-22,weapon,20,main
תפ_49875-05-23,תפ_49932-08-21,drugs,25,main
תפ_2144-04-21,תפ_54202-01-23,weapon,10,main
תפ_15710-09-21,תפ_31935-12-21,weapon,35,main
תפ_1057-05-15,תפ_66982-09-16,drugs,25,main
תפ_54732-03-18,תפ_7166-09-15,weapon,65,main
תפ_30015-07-16,תפ_7626-04-20,weapon,0,main
תפ_45597-11-14,תפ_46930-03-22,weapon,30,main
תפ_1118-10-18,תפ_2058-09-17,weapon,70,main
תפ_19821-02-17,תפ_7074-11-23,weapon,55,main
תפ_12834-03-18,תפ_16097-08-21,drugs,35,main
תפ_16097-08-21,תפ_2211-11-19,drugs,25,main
תפ_30015-07-16,תפ_59804-01-17,weapon,35,main
תפ_46638-05-22,תפ_67356-12-21,weapon,35,main
תפ_23075-10-23,תפ_66893-12-21,weapon,45,main
תפ_1580-11-23,תפ_35397-07-21,weapon,25,main
תפ_12615-11-21,תפ_13471-01-22,weapon,35,main
תפ_33009-05-16,תפ_41754-05-22,weapon,75,main
תפ_13373-10-23,תפ_20538-11-17,drugs,35,main
תפ_14615-05-21,תפ_34668-04-22,drugs,35,main
תפ_1631-01-22,תפ_50986-12-16,weapon,20,main
תפ_26565-12-20,תפח_17033-01-22,weapon,10,main
תפ_18689-01-17,תפ_51828-02-14,weapon,25,main
תפ_18957-11-20,תפ_23537-02-14,weapon,55,main
תפ_11843-03-20,תפ_17860-01-19,weapon,30,main
תפ_32227-11-20,תפח_24510-09-15,weapon,20,main
תפ_17023-12-18,תפ_49401-08-15,drugs,25,main
תפ_24215-06-13,תפ_48057-03-21,weapon,30,main
תפ_30350-12-20,תפ_57283-05-21,weapon,65,main
תפ_18957-11-20,תפח_34398-05-11,weapon,70,main
תפ_28100-07-20,תפ_395-05-17,weapon,30,main
תפ_13270-02-20,תפ_26549-09-21,weapon,38,main
תפ_31218-10-14,תפ_44862-06-20,weapon,55,main
תפ_10182-01-24,תפ_35431-03-21,weapon,25,main
תפ_14553-12-23,תפ_33666-05-15,drugs,65,main
תפ_42697-05-18,תפ_6153-02-21,weapon,20,main
תפ_69980-11-20,תפ_7626-04-20,weapon,65,main
תפ_23253-12-15,תפ_6153-02-21,weapon,38,main
תפ_15744-02-20,תפ_8254-02-20,weapon,45,main
תפ_25639-03-21,תפח_24510-09-15,weapon,55,main
תפ_1294-04-22,תפ_39808-05-23,weapon,35,main
תפ_61820-08-21,תפח_17865-11-21,weapon,72,main
תפ_23749-12-19,תפ_74740-06-20,weapon,15,main
תפ_18397-02-16,תפ_53496-03-18,weapon,35,main
תפ_1641-04-19,תפ_4248-06-16,weapon,65,main
תפ_40892-01-24,תפ_6659-02-21,drugs,10,main
תפ_38883-05-22,תפ_51663-11-23,weapon,35,main
תפ_38687-04-20,תפ_50986-12-16,weapon,35,main
תפ_11739-03-21,תפ_26792-04-16,drugs,35,main
תפ_23513-03-14,תפח_17865-11-21,weapon,35,main
תפ_17766-12-20,תפ_41967-08-17,weapon,55,main
תפ_31419-11-20,תפ_4488-05-22,drugs,20,main
תפ_1136-11-21,תפ_45456-12-21,weapon,45,main
תפ_18846-06-20,תפ_47757-02-18,drugs,15,main
תפ_20733-12-22,תפ_4459-03-24,weapon,68,main
תפ_1219-06-23,תפ_26552-06-23,weapon,35,main
תפ_1641-04-19,תפ_59804-01-17,weapon,38,main
תפ_20451-09-20,תפ_52322-10-23,weapon,30,main
תפ_13281-07-13,תפ_40932-03-18,weapon,22,main
תפ_3531-12-13,תפ_4102-11-20,weapon,10,main
תפ_3910-02-23,תפ_41832-08-24,weapon,0,main
תפ_61452-02-16,תפ_63155-05-23,weapon,55,main
תפ_35473-12-21,תפ_64581-08-23,weapon,35,main
תפ_40118-06-21,תפ_7774-03-23,weapon,68,main
תפ_13281-07-13,תפ_19821-02-17,weapon,45,main
תפ_19384-05-16,תפ_31216-01-22,weapon,35,main
תפ_17707-04-14,תפ_40898-11-19,weapon,35,main
תפ_3295-04-18,תפ_44862-06-20,weapon,25,main
תפ_47987-12-22,תפ_51886-02-24,drugs,45,main
תפ_30015-07-16,תפ_56762-03-21,weapon,10,main
תפ_26552-06-23,תפ_43597-08-21,weapon,35,main
תפ_22588-03-22,תפ_58027-12-21,weapon,30,main
תפ_12743-08-22,תפ_63355-02-23,weapon,60,main
תפ_34027-04-18,תפ_60765-03-22,weapon,65,main
תפ_50986-12-16,תפ_54432-02-17,weapon,35,main
תפ_4102-11-20,תפ_74742-06-20,weapon,25,main
תפ_17766-12-20,תפ_26702-01-23,weapon,40,main
תפ_40999-01-21,תפח_54962-08-15,weapon,85,main
תפ_13270-02-20,תפ_40536-10-20,weapon,82,main
תפ_23282-05-17,תפ_32174-07-20,drugs,38,main
תפ_20770-11-22,תפ_950-09-17,weapon,10,main
תפ_70062-03-23,תפ_7196-03-21,weapon,60,main
תפ_1106-03-18,תפ_9785-12-15,weapon,55,main
תפ_52091-02-20,תפ_7108-02-16,weapon,65,main
תפ_19821-02-17,תפ_66542-05-20,weapon,55,main
תפ_28615-08-17,תפ_4102-11-20,weapon,20,main
תפ_44422-01-17,תפ_45012-03-20,drugs,35,main
תפ_46930-03-22,תפ_9355-10-19,weapon,45,main
תפ_41052-11-19,תפ_45971-11-13,weapon,35,main
תפ_19908-10-21,תפ_41276-06-17,weapon,20,main
תפ_59970-03-19,תפ_71830-10-21,drugs,35,main
תפ_3451-02-14,תפ_58511-01-20,weapon,55,main
תפ_29898-02-14,תפ_54607-07-19,weapon,72,main
תפ_15423-12-19,תפ_52223-10-23,weapon,20,main
תפ_32907-12-20,תפ_6904-12-14,weapon,65,main
תפ_68389-07-20,תפ_7053-03-21,weapon,30,main
תפ_28107-06-20,תפ_35074-05-17,drugs,65,main
תפ_1108-05-15,תפ_30617-02-22,weapon,35,main
תפ_23537-02-14,תפ_43597-08-21,weapon,38,main
תפ_4460-04-18,תפ_69281-11-20,drugs,75,main
תפ_31419-11-20,תפ_43394-11-19,drugs,25,main
תפ_3772-01-16,תפ_66319-05-20,weapon,35,main
תפ_45965-07-16,תפ_54432-02-17,weapon,15,main
תפ_24420-01-20,תפ_39808-05-23,weapon,35,main
תפ_43084-09-20,תפ_59971-01-17,drugs,85,main
תפ_40922-11-15,תפ_42697-05-18,weapon,20,main
תפ_13236-03-18,תפ_2599-09-17,drugs,35,main
תפ_19610-08-21,תפ_46379-02-21,weapon,65,main
תפ_12325-09-15,תפ_64303-01-22,weapon,25,main
תפ_50148-01-14,תפ_9179-04-16,weapon,30,main
תפ_40011-04-14,תפ_70111-03-23,weapon,35,main
תפ_15392-04-17,תפ_32174-07-20,drugs,40,main
תפ_29529-07-20,תפ_68529-11-21,weapon,18,main
תפ_12406-11-15,תפ_45465-11-15,weapon,55,main
תפ_1847-05-14,תפ_1956-04-21,weapon,60,main
תפ_16779-09-22,תפ_40983-10-20,weapon,10,main
תפ_12540-12-18,תפ_20307-05-20,weapon,30,main
תפ_24896-04-20,תפ_35007-04-13,weapon,30,main
תפ_18957-11-20,תפ_31218-10-14,weapon,45,main
תפח_24510-09-15,תפח_34398-05-11,weapon,42,main
תפ_16209-03-13,תפ_8123-04-14,drugs,15,main
תפ_31811-03-21,תפ_53539-11-17,weapon,35,main
תפ_26702-01-23,תפ_8333-11-20,weapon,35,main
תפ_57267-09-20,תפ_57526-07-21,weapon,35,main
תפ_13142-02-15,תפ_20733-12-22,weapon,55,main
תפ_17474-08-14,תפ_17919-01-15,weapon,35,main
תפ_25546-11-23,תפ_58027-12-21,weapon,22,main
תפ_16420-10-16,תפ_28332-02-21,weapon,75,main
תפ_30191-05-15,תפ_66319-05-20,weapon,18,main
תפ_32339-12-19,תפ_46379-02-21,weapon,5,main
תפ_1136-11-21,תפ_17137-11-21,weapon,35,main
תפ_11789-12-16,תפ_3686-01-16,weapon,60,main
תפ_16760-09-22,תפ_16996-08-12,weapon,38,main
תפ_18957-11-20,תפ_27929-03-19,weapon,85,main
תפ_14044-03-20,תפ_7626-04-20,weapon,38,main
תפ_10650-11-21,תפ_19908-10-21,weapon,25,main
עפ_6029-03,תפ_47757-02-18,drugs,10,main
תפ_36982-03-18,תפ_39183-11-13,weapon,35,main
תפ_16651-01-24,תפ_61820-08-21,weapon,70,main
תפ_13270-02-20,תפ_23749-12-19,weapon,30,main
תפ_48983-06-18,תפ_50860-02-20,drugs,58,main
תפ_41762-12-20,תפ_45713-07-17,weapon,0,main
תפ_70166-03-23,תפח_39094-05-12,weapon,38,main
תפ_52165-12-17,תפ_6749-09-22,drugs,55,main
תפ_33928-09-12,תפ_68389-07-20,weapon,75,main
תפ_4734-12-22,תפ_66893-12-21,weapon,30,main
תפ_17941-11-18,תפ_51506-01-22,weapon,25,main
תפ_24044-06-22,תפ_40082-02-22,weapon,75,main
תפ_63953-01-24,תפ_69777-03-23,weapon,25,main
תפ_17766-12-20,תפ_47284-06-18,weapon,35,main
תפ_61118-07-23,תפ_64119-05-21,weapon,12,main
תפ_43338-05-16,תפ_55664-02-14,weapon,20,main
תפ_23749-12-19,תפ_43597-08-21,weapon,30,main
תפ_13939-07-18,תפ_62134-03-19,drugs,68,main
תפ_63305-08-22,תפ_7942-05-18,weapon,65,main
תפ_2599-09-17,תפ_3256-16,drugs,55,main
תפ_1294-04-22,תפ_15710-09-21,weapon,35,main
תפ_30003-03-22,תפח_52360-06-20,weapon,22,main
תפ_34027-04-18,תפ_50330-07-18,weapon,68,main
תפ_21594-06-16,תפח_17033-01-22,weapon,35,main
תפ_10875-12-21,תפ_1139-06-23,weapon,35,main
תפ_15842-11-20,תפ_45095-04-16,weapon,30,main
תפ_2144-04-21,תפ_32907-12-20,weapon,28,main
תפ_30617-02-22,תפ_32775-09-23,weapon,75,main
תפ_12615-11-21,תפ_22417-12-21,weapon,18,main
תפ_60820-07-14,תפ_6514-03-23,weapon,62,main
תפ_12743-08-22,תפ_52000-02-15,weapon,22,main
תפ_10171-06-22,תפ_54132-03-21,weapon,35,main
תפ_30015-07-16,תפח_52360-06-20,weapon,85,main
תפ_11739-03-21,תפ_28615-01-22,drugs,18,main
תפ_32659-05-18,תפ_51306-12-18,weapon,35,main
תפ_29898-02-14,תפ_51228-09-11,weapon,18,main
תפ_35473-12-21,תפ_46250-11-21,weapon,35,main
תפ_30538-02-19,תפ_3256-16,drugs,25,main
תפ_52322-10-23,תפ_68096-11-21,weapon,28,main
תפ_23253-12-15,תפח_53698-03-17,weapon,25,main
תפ_19821-02-17,תפ_51088-03-21,weapon,65,main
תפ_3002-09-20,תפ_50071-08-16,weapon,15,main
תפ_28845-04-22,תפ_60581-11-15,weapon,45,main
תפ_1589-02-16,תפ_66310-07-17,weapon,25,main
תפ_16020-10-22,תפ_37104-06-22,weapon,38,main
תפ_35397-07-21,תפ_4795-12-17,weapon,35,main
תפ_18957-11-20,תפ_33337-07-23,weapon,25,main
תפ_39568-06-21,תפ_65884-10-13,drugs,65,main
תפ_29772-11-13,תפ_39500-07-20,weapon,75,main
תפ_13502-02-12,תפ_25852-11-10,weapon,20,main
תפ_11843-03-20,תפ_59464-09-23,weapon,55,main
תפ_27103-01-18,תפ_66306-03-19,drugs,20,main
תפ_18320-05-19,תפ_32041-03-21,drugs,40,main
תפ_10316-06-13,תפ_1197-11-21,drugs,55,main
תפ_23142-09-14,תפ_66982-09-16,drugs,55,main
תפ_35397-07-21,תפ_63953-01-24,weapon,25,main
תפ_58027-12-21,תפ_7109-02-21,weapon,65,main
תפ_50487-06-22,תפ_59967-01-13,weapon,25,main
תפ_6431-05-13,תפח_17033-01-22,weapon,25,main
תפ_45480-02-19,תפ_6970-05-22,drugs,60,main
תפ_10182-01-24,תפ_39808-05-23,weapon,45,main
תפ_51199-04-23,תפ_52000-02-15,weapon,35,main
תפ_42991-05-16,תפ_57267-09-20,weapon,10,main
תפ_10180-01-24,תפ_48978-07-21,weapon,68,main
תפ_17057-08-20,תפ_17701-07-21,weapon,75,main
תפ_11789-12-16,תפ_63305-08-22,weapon,28,main
תפ_3384-12-23,תפ_42991-05-16,weapon,25,main
תפ_36982-03-18,תפ_6832-11-23,weapon,35,main
תפ_19908-10-21,תפ_43338-05-16,weapon,0,main
תפ_21991-04-20,תפ_58723-03-16,drugs,20,main
תפ_22588-03-22,תפ_6852-03-21,weapon,38,main
תפ_17856-11-21,תפ_51663-11-23,weapon,80,main
תפ_28787-04-22,תפ_58027-12-21,weapon,10,main
תפ_21971-07-18,תפ_54460-03-21,weapon,25,main
תפ_17655-10-22,תפ_44157-08-16,weapon,40,main
תפ_12376-04-20,תפ_19759-07-21,weapon,65,main
תפ_12376-04-20,תפ_2144-04-21,weapon,35,main
תפ_20451-09-20,תפ_51199-04-23,weapon,25,main
תפ_24551-06-22,תפ_31746-10-22,drugs,70,main
תפ_1580-11-23,תפ_8333-11-20,weapon,15,main
תפ_20477-02-20,תפ_9785-12-15,weapon,35,main
תפ_45561-04-17,תפ_50556-08-17,weapon,35,main
תפ_30678-02-22,תפ_62794-11-21,drugs,90,main
תפ_33040-09-24,תפ_44129-09-19,drugs,22,main
תפ_48071-01-23,תפ_59009-05-21,drugs,35,main
תפ_27992-01-24,תפ_8203-05-23,drugs,20,main
תפ_14375-02-23,תפ_34669-01-23,weapon,45,main
תפ_37386-11-13,תפ_61158-05-20,weapon,35,main
תפ_20538-11-17,תפ_65884-10-13,drugs,60,main
תפ_53496-03-18,תפ_61299-12-19,weapon,65,main
תפ_26552-06-23,תפ_50716-11-19,weapon,35,main
תפ_13154-01-18,תפ_5013-12,weapon,35,main
תפ_20770-11-22,תפ_5085-07-17,weapon,35,main
תפ_51663-11-23,תפ_68096-11-21,weapon,45,main
תפ_10896-06-20,תפ_38368-09-21,weapon,35,main
תפ_19821-02-17,תפ_33928-09-12,weapon,65,main
תפ_35512-06-17,תפ_44725-12-14,weapon,25,main
תפ_52077-12-20,תפ_63155-05-23,weapon,20,main
תפ_10875-12-21,תפ_41967-08-17,weapon,75,main
תפ_19908-10-21,תפ_7626-04-20,weapon,25,main
תפ_38883-05-22,תפח_15217-03-19,weapon,35,main
תפ_16760-09-22,תפ_28615-08-17,weapon,18,main
תפ_23749-12-19,תפ_44157-08-16,weapon,75,main
תפ_16760-09-22,תפ_9111-02-15,weapon,20,main
תפ_46379-02-21,תפ_50986-12-16,weapon,65,main
תפ_25639-03-21,תפח_15217-03-19,weapon,45,main
תפ_41754-05-22,תפ_6985-07-22,weapon,45,main
תפ_17919-01-15,תפ_27929-03-19,weapon,35,main
תפ_26792-04-16,תפ_37495-01-20,drugs,55,main
תפ_41694-03-20,תפ_46737-07-22,weapon,55,main
תפ_54432-02-17,תפ_6832-11-23,weapon,45,main
תפ_23872-02-19,תפ_42697-05-18,weapon,65,main
תפ_25631-03-22,תפ_51663-11-23,weapon,68,main
תפ_26709-06-14,תפ_64711-01-19,drugs,35,main
תפ_26552-06-23,תפ_34669-01-23,weapon,60,main
תפ_32227-11-20,תפ_41754-05-22,weapon,65,main
תפ_28615-01-22,תפ_34108-01-23,drugs,25,main
תפ_57912-07-14,תפ_6659-02-21,drugs,55,main
תפ_40256-11-14,תפ_41967-08-17,weapon,75,main
תפ_35227-05-17,תפ_36091-07-15,weapon,25,main
תפ_42991-05-16,תפ_52390-06-19,weapon,85,main
תפ_17260-12-23,תפ_61106-05-20,weapon,5,main
תפ_3256-16,תפ_37551-01-16,drugs,40,main
תפ_63953-01-24,תפח_24510-09-15,weapon,20,main
תפ_37175-07-20,תפ_4411-07-19,weapon,35,main
תפ_22588-03-22,תפ_6985-07-22,weapon,65,main
תפ_21355-08-18,תפ_32174-07-20,drugs,55,main
תפ_35364-01-18,תפ_56900-11-18,weapon,35,main
תפ_39424-11-22,תפ_5775-02-18,drugs,35,main
תפ_22297-11-20,תפ_371-10-15,weapon,18,main
תפ_43643-10-15,תפ_63953-01-24,weapon,65,main
תפ_23992-11-21,תפ_4612-07-22,weapon,35,main
תפ_24044-06-22,תפ_31498-01-16,weapon,35,main
תפ_30003-03-22,תפ_35843-03-22,weapon,15,main
תפ_18484-07-23,תפ_73275-01-23,weapon,15,main
תפ_6047-11-19,תפ_67473-10-21,drugs,55,main
תפ_12411-02-21,תפ_41754-05-22,weapon,70,main
תפ_1127-05-20,תפ_45055-01-22,drugs,40,main
תפ_27330-02-19,תפ_66893-12-21,weapon,10,main
תפ_32775-09-23,תפ_44620-01-22,weapon,15,main
תפ_52205-06-22,תפ_53517-08-15,drugs,20,main
תפ_19908-10-21,תפ_34242-02-16,weapon,35,main
תפ_2599-09-17,תפ_46896-11-15,drugs,20,main
תפ_45713-07-17,תפח_54962-08-15,weapon,55,main
תפ_45432-11-15,תפ_4795-12-17,weapon,35,main
תפ_16097-08-21,תפ_21471-09-22,drugs,55,main
תפ_20477-02-20,תפ_30575-03-20,weapon,5,main
תפ_35512-06-17,תפ_54272-09-14,weapon,35,main
תפ_189-01-16,תפ_66542-05-20,weapon,45,main
תפ_52479-01-18,תפח_34802-06-19,weapon,65,main
תפ_33024-01-18,תפ_8900-11-22,drugs,85,main
תפ_20770-11-22,תפ_36091-07-15,weapon,35,main
תפ_35299-09-23,תפ_59329-02-18,drugs,55,main
תפ_13-02-14,תפ_23749-12-19,weapon,30,main
תפ_43338-05-16,תפ_6904-12-14,weapon,65,main
תפ_27277-01-15,תפ_61452-12-22,weapon,85,main
תפ_33916-02-22,תפ_54845-01-19,drugs,75,main
תפ_48176-01-22,תפ_52789-09-22,weapon,20,main
תפ_38014-02-22,תפ_46786-01-23,drugs,35,main
תפ_16690-05-19,תפ_46039-04-17,drugs,30,main
תפ_15744-02-20,תפ_4795-12-17,weapon,65,main
תפ_51886-02-24,תפ_72132-02-19,drugs,45,main
תפ_24044-06-22,תפ_6968-01-24,weapon,65,main
תפ_15710-09-21,תפ_28796-07-22,weapon,80,main
תפ_18912-06-23,תפ_44169-08-22,weapon,72,main
תפ_12158-04-23,תפח_52360-06-20,weapon,18,main
תפ_40650-03-22,תפ_59888-08-22,drugs,55,main
תפ_17677-04-17,תפ_27735-02-21,drugs,68,main
תפ_19384-05-16,תפ_60765-03-22,weapon,55,main
תפ_17655-10-22,תפ_2144-04-21,weapon,25,main
תפ_18210-05-23,תפ_808-06-16,weapon,35,main
תפ_21813-09-16,תפ_51523-10-17,weapon,0,main
תפ_16420-10-16,תפ_51506-01-22,weapon,5,main
תפ_25624-03-22,תפ_30003-03-22,weapon,25,main
תפ_34737-09-21,תפ_6904-12-14,weapon,30,main
תפ_21991-04-20,תפ_38574-12-18,drugs,65,main
תפ_26552-06-23,תפ_46930-03-22,weapon,25,main
תפ_4734-12-22,תפ_70062-03-23,weapon,35,main
תפ_37083-11-14,תפ_57965-03-15,weapon,45,main
תפ_2077-10-23,תפ_28845-04-22,weapon,18,main
תפ_12834-03-18,תפ_37495-01-20,drugs,85,main
תפ_47284-06-18,תפ_52091-02-20,weapon,35,main
תפ_50556-08-17,תפ_9179-04-16,weapon,5,main
תפ_23408-05-15,תפ_59329-02-18,drugs,68,main
תפ_30433-06-22,תפ_50556-08-17,weapon,15,main
תפ_61452-12-22,תפ_9785-12-15,weapon,10,main
תפ_14802-02-23,תפ_24044-06-22,weapon,35,main
תפ_37722-09-23,תפ_66430-05-20,weapon,35,main
תפ_11220-12-18,תפ_54036-06-19,drugs,35,main
תפ_16129-03-22,תפ_7467-12-20,weapon,65,main
תפ_29772-11-13,תפ_51523-10-17,weapon,65,main
תפ_1847-05-14,תפח_866-07-14,weapon,55,main
תפ_18846-06-20,תפ_47474-01-14,drugs,65,main
תפ_3256-16,תפ_6659-02-21,drugs,25,main
תפ_54432-02-17,תפ_57267-09-20,weapon,55,main
תפ_50474-09-22,תפ_58774-07-22,weapon,35,main
תפ_36422-07-13,תפ_40063-03-18,drugs,35,main
תפ_13301-07-18,תפ_56149-01-15,weapon,85,main
תפ_57965-03-15,תפ_950-09-17,weapon,85,main
תפ_31276-05-19,תפ_3526-04-21,drugs,30,main
תפ_18833-05-13,תפ_39071-12-15,weapon,38,main
תפ_3013-04-18,תפ_66319-05-20,weapon,25,main
תפ_60820-07-14,תפ_6852-03-21,weapon,28,main
תפ_31216-01-22,תפח_34198-06-18,weapon,35,main
תפ_29529-07-20,תפח_55639-05-17,weapon,10,main
תפ_12411-02-21,תפח_30145-08-13,weapon,45,main
תפ_1631-01-22,תפ_52848-09-22,weapon,45,main
תפ_19412-05-18,תפ_54179-08-22,drugs,35,main
תפ_13301-07-18,תפ_182-11-12,weapon,60,main
תפ_27929-03-19,תפ_5013-12,weapon,35,main
תפ_28845-04-22,תפ_51199-04-23,weapon,55,main
תפ_38014-02-22,תפ_50860-02-20,drugs,45,main
תפ_4632-02-22,תפ_7027-07-19,drugs,30,main
תפ_14963-02-23,תפ_36422-07-13,drugs,28,main
תפ_35695-12-15,תפ_44579-08-15,weapon,35,main
תפ_25639-03-21,תפ_40932-03-18,weapon,25,main
תפ_43844-05-15,תפ_53715-12-15,weapon,25,main
תפ_15747-08-22,תפ_33439-01-21,drugs,45,main
תפ_39808-05-23,תפ_54607-07-19,weapon,5,main
