data_source,case,הודאה,מספר עבירה,סוג עבירה,עבירות נוספות,סוג הנשק [אקדח],סוג הנשק [תת מקלע],סוג הנשק [תת מקלע מאולתר],סוג הנשק [בקבוק תבערה],סוג הנשק [מטען חבלה],סוג הנשק [רימון רסס],סוג הנשק [רימון הלם/גז],סוג הנשק [טיל לאו ],סוג הנשק [טיל מטאדור],סוג הנשק [רובה צייד],סוג הנשק [רובה צלפים],סוג הנשק [מטען חבלה מאולתר],סוג הנשק [רובה סער ],סוג הנשק [רובה סער מאולתר],סוג הנשק - אם לא נמצא בטבלה,עבר פלילי,חרטה,אופן קבלת הנשק,כסף ששולם,סטטוס הנשק,מכירה לסוכן,כמות תחמושת,אופן החזקת הנשק,תכנון,מטרה-סיבת העבירה,שימוש,נזק,בריחה,עונש,מספר עבירה_mapped,סוג עבירה_mapped,אופן קבלת הנשק_mapped,כסף ששולם_mapped,כמות תחמושת_mapped,אופן החזקת הנשק_mapped,מטרה-סיבת העבירה_mapped,שימוש_mapped,נזק_mapped,עונש_mapped
GT,ME-14-07-13179-197,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק","ירי באזור מגורים, לפי סעיף 340א לחוק; שיבוש מהלכי משפט, לפי סעיף 244 לחוק; הפרת הוראה חוקית, לפי סעיף 287(א) לחוק; גניבה, לפי סעיף 384 לחוק; ואיומים, לפי סעיף 192 לחוק.",1,,,,,,,,,,,,,,,כן,כן,מאחר,,נשק עם כדור בקנה,לא,3 מחסניות,על גופו,כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,24 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק', 'ירי באזור מגורים']",מאחר,,60,['על גופו'],סכסוך,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",24 חודשים
GT,ME-14-10-31218-522,כן,144 א,החזקה נשק,,,,,,,,1,,,,,,,,,כן,כן,,,תקין,לא,,על גופו,לא,,זריקת רימון,"לא נגרם נזק, פוטנציאל נזק קטן",לא,9 חודשים,['144א'],['החזקת נשק'],,,,['על גופו'],,['זריקת רימון'],"['לא נגרם נזק', 'פוטנציאל נזק מועט']",9 חודשים
GT,ME-14-11-7498-539,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק, ניסיון לסחר","עבירות של קשירת קשר לביצוע פשע, גניבה,",,,,,,,,,,,,,2,,,לא,כן,מאחר,,נשק עם מחסנית בהכנס,לא,מחסנית ובה 29 כדורים,"ברכב, מוסלק - מוסתר",כן,בצע כסף,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,6 חודשים,"['144א', '144ב']","['הובלת נשק', 'החזקת נשק', 'ניסיון לסחר בנשק', 'נשיאת נשק']",מאחר,,29,"['ברכב', 'מוסלק-מוסתר']",בצע כסף,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",6 חודשים
GT,ME-14-12-6904-57,כן,144 ב,"נשיאת נשק, הובלת נשק",החזקת סם לצריכה עצמית,,,1,,,,,,,,,,,,,לא,לא,רכש,"קנה ב 4,000 שקל",נשק מופרד מתחמושת,לא,מחסנית,"בבית, על גופו, מוסלק - מוסתר",כן,הגנה עצמית,,לא נגרם נזק,לא,18 חודשים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",רכש,4000,20,"['בבית', 'מוסלק-מוסתר', 'על גופו']",הגנה עצמית,,['לא נגרם נזק'],18 חודשים
GT,ME-15-02-9111-399,כן,144 א,,,1,,,,,,,,,,,,,,,לא,כן,,,נשק מופרד מתחמושת,לא,מחסנית ובה 13 כדורים,על גופו,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",כן,10 חודשים,['144א'],,,,13,['על גופו'],,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",10 חודשים
GT,ME-15-03-29911-554,כן,"144 א, 144 ב",ביצוע עבירות בנשק,,1,,,,,,,,,,,,,,,כן,כן,,,נשק עם כדור בקנה,לא,"מחסנית ובה 12 כדורים, מחסנית, 20 כדורים, 24 כדורים","ברכב, על גופו",לא,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,28 חודשים,"['144א', '144ב']",,,,76,"['ברכב', 'על גופו']",,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",28 חודשים
GT,ME-15-06-12109-344,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,,,כן,כן,,,תקין,לא,,ברכב,כן,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,9 חודשים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",,,,['ברכב'],,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",9 חודשים
GT,ME-15-08-44579-251,כן,144 ב,נשיאת נשק,,1,,,,,,,,,,,,,,,כן,כן,,,נשק מופרד מתחמושת,לא,מחסנית ובה 0 כדורים,"ברכב, מוסלק - מוסתר",לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",כן,12 חודשים,['144ב'],['נשיאת נשק'],,,,"['ברכב', 'מוסלק-מוסתר']",,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",12 חודשים
GT,ME-15-09-40313-52,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,,,2,,,,,,,,,,,,,כן,כן,,,נשק עם מחסנית בהכנס,לא,2 מחסניות + 39 כדורים + 8 כדורים,"ברכב, מוסלק - מוסתר",לא,תדמית,לא,"לא נגרם נזק, פוטנציאל נזק גדול",כן,18 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",,,87,"['ברכב', 'מוסלק-מוסתר']",תדמית,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",18 חודשים
GT,ME-15-11-45465-294,כן,144 ב,"נשיאת נשק, סחר בנשק",,,2,,,,,,,,,,,,,,כן,כן,,"מכר ב 8,000 שקל",נשק מופרד מתחמושת,כן,3 מחסניות,ברכב,כן,בצע כסף,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,24 חודשים,['144ב'],"['נשיאת נשק', 'סחר בנשק']",,8000,60,['ברכב'],בצע כסף,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",24 חודשים
GT,ME-15-12-39071-113,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,,,כן,כן,,,תקין,לא,,"ברכב, מוסלק - מוסתר",לא,הגנה עצמית,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,6 חודשים בעבודות שירות,['144א'],['החזקת נשק'],,,,"['ברכב', 'מוסלק-מוסתר']",הגנה עצמית,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",6 חודשים בעבודות שירות
GT,ME-16-01-189-123,כן,"144 א, 144 ב","נשיאת נשק, הובלת נשק, רכישת נשק",קשירת קשר לסחר בסם מסוכן,,,1,,,,,,,,,,,,,כן,כן,רכש,,נשק מופרד מתחמושת,לא,מחסנית ריקה ובה 0 כדורים + 50 כדורים,"ברכב, מוסלק - מוסתר",לא,ציד,לא,"לא נגרם נזק, פוטנציאל נזק קטן",לא,26 חודשים,"['144א', '144ב']","['הובלת נשק', 'נשיאת נשק']",רכש,,50,"['ברכב', 'מוסלק-מוסתר']",ציד,לא,"['לא נגרם נזק', 'פוטנציאל נזק מועט']",26 חודשים
GT,ME-16-01-31498-921,כן,144 ב,"נשיאת נשק, הובלת נשק","עבירות של גניבה, לפי סעיף 384 לחוק העונשין תשל""ז-1977 להלן: ""חוק העונשין"")",,,,,,4,3,,,,,,,,,כן,כן,גנב,,תקין,לא,,באוטובוס,כן,בצע כסף,לא,"לא נגרם נזק, פוטנציאל נזק קטן",לא,18 חודשים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",גנב,,,['ברכב'],בצע כסף,לא,"['לא נגרם נזק', 'פוטנציאל נזק מועט']",18 חודשים
GT,ME-16-01-3772-806,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק",,,,1,,,,,,,,,,1,,,כן,כן,רכש,,נשק עם כדור בקנה,לא,מחסנית,"מוסלק - מוסתר, סמוך לבית",לא,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,18 חודשים,"['144א', '144ב']","['הובלת נשק', 'החזקת נשק', 'נשיאת נשק']",רכש,,20,"['מוסלק-מוסתר', 'סמוך לבית']",,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",18 חודשים
GT,ME-16-02-18397-87,כן,144 ב,"נשיאת נשק, הובלת נשק","נהיגה ללא רישיון, נהיגה ללא ביטוח וללא רישיון רכב",1,,,,,,,,,,,,,,,כן,כן,,,תקול,לא,כדורים,"ברכב, מוסלק - מוסתר",לא,,לא,לא נגרם נזק,כן,18 חודשים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",,,,"['ברכב', 'מוסלק-מוסתר']",,לא,['לא נגרם נזק'],18 חודשים
GT,ME-16-02-59812-881,כן,144 ב,סחר בנשק,"מסירת ידיעה כוזבת על עבירת פשע, לפי סעיף 243 סיפא לחוק; שיבוש הליכי משפט, לפי סעיף 244 לחוק.",1,,,,,,,,,,,,,,,לא,כן,עבודה,"8,000 שקל",תקין,לא,"2 מחסניות, 20 כדורים",,כן,מימון סמים,לא,"נגרם נזק, פוטנציאל נזק גדול",לא,6 חודשים בעבודות שירות,['144ב'],['סחר בנשק'],עבודה,8000,60,,בצע כסף,לא,"['נגרם נזק', 'פוטנציאל נזק רב']",6 חודשים בעבודות שירות
GT,ME-16-03-41585-22,כן,144 ב,"נשיאת נשק, הובלת נשק","חבלה בכוונה מחמירה ,יריות בנשק חם באזור מגורים ,הסתייעות ברכב לביצוע פשע,נהיגה בלא רישיון נהיגה ,נהיגה בלא רישיון רכב,שימוש ברכב בלא פוליסת ביטוח בת תוקף",,,,,,,,,,,,,1,,,כן,כן,,,תקין,לא,,"ברכב, על גופו",כן,סכסוך,"כן,ירי","נגרם נזק, פוטנציאל נזק גדול",לא,5 שנים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",,,,"['ברכב', 'על גופו']",סכסוך,['כן-ירי'],"['נגרם נזק', 'פוטנציאל נזק רב']",60 חודשים
GT,ME-16-03-54615-517,כן,144 ב,סחר בנשק,,,2,,,,,,,,,,,,,,כן,לא,,"מכר ב 3,000 שקל",תקול,לא,,,כן,בצע כסף,ניסיון לירי ללא הצלחה,"לא נגרם נזק, פוטנציאל נזק קטן",לא,24 חודשים,['144ב'],['סחר בנשק'],,3000,,,בצע כסף,['ניסיון לירי ללא הצלחה'],"['לא נגרם נזק', 'פוטנציאל נזק מועט']",24 חודשים
GT,ME-16-03-59260-279,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,,,לא,כן,,,נשק עם מחסנית בהכנס,לא,מחסנית ובה 14 כדורים,"ברכב, מחסן",כן,סכסוך,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,12 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",,,14,"['ברכב', 'סמוך לבית']",סכסוך,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",12 חודשים
GT,ME-16-04-12480-812,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק","יסיון חבלה חמורה בנסיבות מחמירות, איומים ",,,1,,,,,,,,,,,,,לא,לא,,,נשק מופרד מתחמושת,לא,מחסנית + 17 כדורים,"ברכב, על גופו, מוסלק - מוסתר",כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,36 חודשים,"['144א', '144ב']","['הובלת נשק', 'החזקת נשק', 'נשיאת נשק']",,,37,"['ברכב', 'מוסלק-מוסתר', 'על גופו']",סכסוך,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",36 חודשים
GT,ME-16-05-19384-544,כן,"144 א, 144 ב","נשיאת נשק, סחר בנשק","ניסיון לחבלה חמורה,רכישת נשק ",,3,,,,,,,,,,,1,,,לא,כן,רכש,"מכר ב 4,000 שקל, מכר ב 4,000 שקל, קנה ב 3,000 שקל, מכר ב 3,000 שקל",נשק עם כדור בקנה,לא,10 כדורים,"מוסלק - מוסתר, סמוך לבית",כן,בצע כסף,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,46 חודשים,"['144א', '144ב']","['נשיאת נשק', 'סחר בנשק']",רכש,14000,10,"['מוסלק-מוסתר', 'סמוך לבית']",בצע כסף,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",46 חודשים
GT,ME-16-05-25902-514,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,,,לא,כן,רכש,,נשק עם מחסנית בהכנס,לא,מחסנית ובה 7 כדורים,"בבית, על גופו",לא,הגנה עצמית,לא,לא נגרם נזק,לא,12 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",רכש,,7,"['בבית', 'על גופו']",הגנה עצמית,לא,['לא נגרם נזק'],12 חודשים
GT,ME-16-05-336-804,כן,144 ב,"נשיאת נשק, הובלת נשק",,,,1,,,,,,,,,,,,,לא,לא,,,נשק מופרד מתחמושת,לא,מחסנית ריקה ובה 0 כדורים + מחסנית ריקה ובה 0 כדורים + 26 כדורים,"ברכב, על גופו",לא,,"כן,ירי",לא נגרם נזק,כן,22 חודשים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",,,26,"['ברכב', 'על גופו']",,['כן-ירי'],['לא נגרם נזק'],22 חודשים
GT,ME-16-05-9968-487,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,,,1,,,,,,,,,,,,,לא,כן,מאחר,,נשק עם מחסנית בהכנס,לא,מחסנית,"בבית, מוסלק - מוסתר",לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,10 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",מאחר,,20,"['בבית', 'מוסלק-מוסתר']",,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",10 חודשים
GT,ME-16-05-9983-155,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,,,1,,,,,,,,,,,,,כן,לא,מאחר,,נשק מופרד מתחמושת,לא,מחסנית,מוסלק - מוסתר,לא,,לא,פוטנציאל נזק גדול,לא,12 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",מאחר,,20,['מוסלק-מוסתר'],,לא,['פוטנציאל נזק רב'],12 חודשים
GT,ME-16-06-42987-901,כן,144 ב,נשיאת נשק,"איומים לפי סעיף 192 לחוק; חבלה מחמירה לפי סעיף 329(א)(2) לחוק וניסיון תקיפה בנסיבות מחמירות לפי סעיפים 382(א) + 25 לחוק העונשין. חמש עבירות של סחר בסמים לפי סעיפים 13+19א' לפקודת הסמים המסוכנים [נוסח חדש] תשל""ג-1973 ובעבירה אחת של החזקת סם שלא לשימוש עצמי לפי סעיפים 7(א) + 7(ג) רישא לפקודה זו.עבירה של גניבה לפי סעיף 384 לחוק העונשין.",,,,,,,4,,,,,,,,כלי נשק מאולתר,כן,לא,מאחר,,נשק עם כדור בקנה,לא,כדור,,כן,סכסוך,"ניסיון לירי ללא הצלחה, זריקת רימון","לא נגרם נזק, פוטנציאל נזק גדול",לא,3 שנים,['144ב'],['נשיאת נשק'],מאחר,,,,סכסוך,"['זריקת רימון', 'ניסיון לירי ללא הצלחה']","['לא נגרם נזק', 'פוטנציאל נזק רב']",36 חודשים
GT,ME-16-06-44840-433,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",סיוע לנסיון לתקיפה לפי סעיפים 379 + 25 + 31 לחוק,,,,,,1,2,,,,,,,,,כן,כן,מאחר,,תקין,לא,,"ברכב, מוסלק - מוסתר",כן,סכסוך,זריקת רימון,"לא נגרם נזק, פוטנציאל נזק גדול",לא,8 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",מאחר,,,"['ברכב', 'מוסלק-מוסתר']",סכסוך,['זריקת רימון'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",8 חודשים
GT,ME-16-06-50916-362,כן,144 ב,נשיאת נשק,"איומים, עבירה לפי סעיף 192  לחוק העונשין, יריות באזור מגורים, עבירה לפי סעיף 340א לחוק העונשין, מעשה פזיזות ורשלנות, עבירה לפי סעיף 338(א)(5) לחוק העונשין, נהיגה בזמן פסילה, עבירה לפי סעיף 67 לפקודת התעבורה תשכ""א – 1961 ונהיגה ללא רישיון נהיגה, עבירה לפי סעיף 10א וסעיף 62(1) לפקודת התעבורה [נוסח חדש],תשכ""א-1961.",,1,,,,,,,,,,,,,,כן,כן,,,נשק עם כדור בקנה,לא,,ברכב,לא,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,32 חודשים,['144ב'],"['נשיאת נשק', 'ירי באזור מגורים']",,,,['ברכב'],סכסוך,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",32 חודשים
GT,ME-16-06-64845-657,כן,144 ב,"נשיאת נשק, הובלת נשק",,1,,,,,,,,,,,,,,,לא,לא,,,נשק מופרד מתחמושת,לא,"מחסנית ובה 0 כדורים, 11 כדורים",ברכב,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,18 חודשים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",,,11,['ברכב'],,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",18 חודשים
GT,ME-16-07-30015-11,כן,"144 א, 144 ב","החזקה נשק, הובלת נשק","עסקה אחרת בתחמושת, תמיכה בארגון טרוריסטי",1,,,,,,,,,,,,,,,לא,לא,מאחר,,נשק מופרד מתחמושת,לא,3 מחסניות,"בבית, מוסלק - מוסתר",לא,חברות בארגון טרור,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,32 חודשים,"['144א', '144ב']","['הובלת נשק', 'החזקת נשק']",מאחר,,60,"['בבית', 'מוסלק-מוסתר']",חברות בארגון טרור,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",32 חודשים
GT,ME-16-07-45228-25,כן,144 ב,נשיאת נשק,,1,,,,,,,,,,,,,,,לא,כן,,,נשק עם מחסנית בהכנס,לא,מחסנית ובה 10 כדורים,"בבית, על גופו, מוסלק - מוסתר",כן,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",כן,12 חודשים,['144ב'],['נשיאת נשק'],,,10,"['בבית', 'מוסלק-מוסתר', 'על גופו']",,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",12 חודשים
GT,ME-16-08-229-604,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, ייצור נשק","בעבירה של חבלה בכוונה מחמירה, לפי סעיף 329(א)(2) בצירוף סעיף 29 לחוק העונשין תשל""ז – 1977 (להלן: ""החוק""); בעבירה של גניבת רכב, לפי סעיף 413ב(א) לחוק; בעבירה של ניסיון הצתה, לפי סעיף 448(א) רישא בצירוף סעיף 25 לחוק; ובעבירה של ירי בשטח בנוי, לפי סעיף 340 א לחוק.",1,,,1,,,,,,,,,1,,בקבוק תבערה,לא,כן,מאחר,,תקין,לא,,"בבית, ברכב",כן,"פיגוע, חגיגה","כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,9 שנים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",מאחר,,,"['בבית', 'ברכב']",חגיגה,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",108 חודשים
