row,gt,wrong,total,wrong_rate,verdict_1,verdict_2
139,0,20,67,0.299,ME-09-06-10774-130,SH-20-02-52091-995
68,0,19,67,0.284,SH-15-12-65958-120,ME-16-05-9983-155
83,0,17,67,0.254,ME-15-12-39071-113,ME-16-10-12213-904
113,0,17,67,0.254,SH-16-09-33552-535,ME-16-11-56385-886
103,0,16,67,0.239,ME-16-05-9968-487,SH-11-01-41775-497
131,1,16,67,0.239,SH-17-08-47445-166,SH-16-11-7544-55
88,0,15,67,0.224,ME-22-03-46930-359,ME-16-03-59260-279
26,0,14,67,0.209,sh-10-05-7434-952,ME-15-06-12109-344
41,0,14,67,0.209,ME-20-01-62688-591,ME-22-03-52964-443
63,0,13,67,0.194,SH-14-02-28659-762,SH-16-05-42991-439
101,0,13,67,0.194,ME-13-10-53169-537,ME-13-10-28139-807
104,0,13,67,0.194,ME-19-04-1316-977,ME-16-05-19384-544
120,1,13,67,0.194,SH-14-02-28659-762,SH-17-10-10556-234
121,0,13,67,0.194,m07001074-98,ME-17-05-35227-215
43,1,12,67,0.179,ME-15-12-39071-113,sh-10-05-7434-952
87,0,12,67,0.179,SH-09-05-9349-998,ME-20-07-29529-567
2,1,11,67,0.164,ME-18-06-36728-73,ME-16-09-398-589
60,1,11,67,0.164,SH-18-07-52337-770,SH-16-11-7544-55
10,1,10,67,0.149,ME-16-10-12213-904,ME-09-05-16192-355
57,1,10,67,0.149,ME-15-12-39071-113,SH-11-12-35552-181
69,0,10,67,0.149,ME-18-04-19642-504,ME-16-07-45228-25
77,1,10,67,0.149,ME-16-05-25902-514,SH-11-01-41775-497
92,1,10,67,0.149,SH-18-06-11098-353,SH-16-11-7544-55
38,0,9,67,0.134,ME-20-01-62688-591,ME-17-05-35227-215
66,0,9,67,0.134,ME-16-11-13999-863,ME-21-10-18557-340
11,0,8,67,0.119,ME-16-10-9348-780,SH-10-02-25802-731
13,0,8,67,0.119,ME-15-08-44579-251,ME-14-12-6904-57
61,0,8,67,0.119,ME-16-06-42987-901,ME-12-03-13401-281
130,0,8,67,0.119,ME-20-01-17935-7,SH-23-03-19819-247
18,0,7,67,0.104,ME-16-06-42987-901,ME-14-10-31218-522
39,0,7,67,0.104,ME-16-06-64845-657,ME-12-03-13401-281
89,0,7,67,0.104,ME-16-02-18397-87,ME-12-03-13401-281
90,0,7,67,0.104,ME-17-10-62597-895,SH-15-12-65958-120
96,0,7,67,0.104,ME-16-10-9348-780,ME-17-05-35227-215
118,1,7,67,0.104,SH-16-11-19417-55,SH-16-11-7544-55
34,1,6,67,0.09,ME-15-12-39071-113,ME-09-11-7566-913
56,0,6,67,0.09,ME-22-03-52964-443,SH-17-08-47445-166
133,1,6,67,0.09,ME-16-06-50916-362,ME-15-03-29911-554
6,1,5,67,0.075,ME-17-05-633-549,ME-19-04-1316-977
65,1,5,67,0.075,SH-16-11-7544-55,SH-15-03-49530-992
100,1,5,67,0.075,ME-21-10-18557-340,ME-16-12-50986-619
1,1,4,67,0.06,ME-16-05-25902-514,ME-16-11-56385-886
15,1,4,67,0.06,ME-20-01-62688-591,ME-16-09-398-589
33,0,4,67,0.06,SH-19-07-60805-168,ME-20-01-17935-7
64,0,4,67,0.06,ME-14-10-31218-522,ME-17-05-35227-215
75,0,4,67,0.06,SH-10-02-25802-731,ME-13-04-35007-454
84,0,4,67,0.06,ME-16-08-44157-713,ME-17-05-35227-215
134,0,4,67,0.06,SH-16-11-49772-358,ME-17-02-54432-484
7,1,3,67,0.045,ME-16-04-12480-812,ME-13-10-28139-807
9,0,3,67,0.045,ME-16-05-336-804,ME-15-12-39071-113
28,1,3,67,0.045,ME-16-08-44157-713,ME-15-11-45465-294
51,0,3,67,0.045,ME-16-04-12480-812,SH-16-05-42991-439
54,0,3,67,0.045,SH-11-05-24791-315,ME-16-10-9348-780
91,0,3,67,0.045,ME-13-02-28360-614,ME-16-06-44840-433
105,1,3,67,0.045,SH-16-02-10948-419,SH-16-11-19417-55
124,1,3,67,0.045,ME-16-11-69158-529,ME-12-03-13401-281
42,1,2,67,0.03,ME-19-01-53615-8,ME-16-11-69158-529
49,1,2,67,0.03,SH-16-04-30406-325,SH-16-11-7544-55
70,0,2,67,0.03,ME-15-03-29911-554,ME-16-02-18397-87
78,1,2,67,0.03,ME-18-05-32659-754,ME-16-08-54879-35
80,0,2,67,0.03,ME-16-04-12480-812,ME-12-03-15148-775
95,0,2,67,0.03,ME-14-10-31218-522,ME-14-12-6904-57
102,1,2,67,0.03,SH-15-12-65958-120,SH-16-09-33552-535
119,0,2,67,0.03,ME-19-01-53615-8,SH-15-12-65958-120
132,0,2,67,0.03,ME-16-11-13999-863,m01008097-376
138,1,2,67,0.03,ME-17-02-54432-484,ME-16-07-45228-25
8,0,1,67,0.015,ME-17-05-633-549,ME-09-05-16192-355
40,0,1,67,0.015,SH-14-02-28659-762,ME-16-05-19384-544
74,0,1,67,0.015,sh-10-05-7434-952,ME-21-10-18557-340
98,0,1,67,0.015,ME-15-08-44579-251,SH-17-04-19242-11
99,0,1,67,0.015,ME-15-06-12109-344,SH-14-11-8987-965
116,0,1,67,0.015,ME-15-02-9111-399,ME-14-07-13179-197
128,0,1,67,0.015,ME-16-01-31498-921,ME-16-10-9348-780
0,0,0,67,0.0,SH-16-04-30406-325,ME-16-02-59812-881
5,0,0,67,0.0,SH-18-06-11098-353,ME-16-03-54615-517
12,1,0,67,0.0,ME-16-05-25902-514,ME-12-05-33444-999
17,0,0,67,0.0,ME-21-10-18557-340,SH-11-01-41775-497
22,0,0,67,0.0,SH-19-07-60805-168,ME-14-10-31218-522
23,0,0,67,0.0,ME-16-06-44840-433,SH-11-05-24791-315
25,0,0,67,0.0,ME-16-02-18397-87,ME-20-01-62688-591
27,0,0,67,0.0,ME-16-06-44840-433,SH-09-05-9349-998
29,0,0,67,0.0,ME-15-06-12109-344,ME-12-04-33577-700
35,0,0,67,0.0,ME-19-04-1316-977,SH-11-05-24791-315
36,0,0,67,0.0,ME-15-12-39071-113,ME-13-02-28360-614
44,0,0,67,0.0,ME-16-06-44840-433,ME-12-09-51207-971
47,0,0,67,0.0,ME-17-04-613-913,ME-12-04-33577-700
48,0,0,67,0.0,ME-21-10-18557-340,ME-16-10-9348-780
50,0,0,67,0.0,SH-16-11-7544-55,ME-13-10-28139-807
62,1,0,67,0.0,SH-20-02-52091-995,SH-16-11-7544-55
72,1,0,67,0.0,ME-17-02-54432-484,ME-16-05-25902-514
85,0,0,67,0.0,ME-10-08-17917-313,ME-16-04-12480-812
93,0,0,67,0.0,ME-14-07-13179-197,m08000207-175
112,0,0,67,0.0,SH-14-11-8987-965,ME-16-12-50986-619
122,0,0,67,0.0,SH-18-07-52337-770,ME-16-06-50916-362
125,0,0,67,0.0,ME-21-06-43085-219,SH-17-08-47445-166
126,0,0,67,0.0,ME-16-05-19384-544,m08000207-175
127,0,0,67,0.0,SH-11-05-24791-315,ME-16-02-59812-881
129,0,0,67,0.0,ME-09-11-7566-913,ME-16-06-50916-362
135,0,0,67,0.0,ME-14-02-51828-88,ME-14-03-48488-922
136,0,0,67,0.0,ME-14-12-6904-57,ME-18-04-19642-504
