row,gt,wrong,total,wrong_rate,verdict_1,verdict_2
20,1,11,67,0.164,ME-16-05-336-804,ME-16-11-69158-529
89,0,11,67,0.164,ME-16-02-18397-87,ME-12-03-13401-281
9,0,10,67,0.149,ME-16-05-336-804,ME-15-12-39071-113
91,0,10,67,0.149,ME-13-02-28360-614,ME-16-06-44840-433
21,1,9,67,0.134,SH-17-10-10556-234,m07001074-98
54,0,9,67,0.134,SH-11-05-24791-315,ME-16-10-9348-780
51,0,8,67,0.119,ME-16-04-12480-812,SH-16-05-42991-439
94,1,8,67,0.119,SH-17-04-19242-11,SH-16-11-7544-55
128,0,8,67,0.119,ME-16-01-31498-921,ME-16-10-9348-780
132,0,8,67,0.119,ME-16-11-13999-863,m01008097-376
64,0,7,67,0.104,ME-14-10-31218-522,ME-17-05-35227-215
75,0,7,67,0.104,SH-10-02-25802-731,ME-13-04-35007-454
119,0,7,67,0.104,ME-19-01-53615-8,SH-15-12-65958-120
136,0,7,67,0.104,ME-14-12-6904-57,ME-18-04-19642-504
17,0,6,67,0.09,ME-21-10-18557-340,SH-11-01-41775-497
70,0,6,67,0.09,ME-15-03-29911-554,ME-16-02-18397-87
95,0,6,67,0.09,ME-14-10-31218-522,ME-14-12-6904-57
98,0,6,67,0.09,ME-15-08-44579-251,SH-17-04-19242-11
116,0,6,67,0.09,ME-15-02-9111-399,ME-14-07-13179-197
44,0,5,67,0.075,ME-16-06-44840-433,ME-12-09-51207-971
73,1,5,67,0.075,SH-17-10-10556-234,ME-09-06-10774-130
82,1,5,67,0.075,SH-23-03-19819-247,SH-16-11-7544-55
8,0,4,67,0.06,ME-17-05-633-549,ME-09-05-16192-355
25,0,4,67,0.06,ME-16-02-18397-87,ME-20-01-62688-591
43,1,4,67,0.06,ME-15-12-39071-113,sh-10-05-7434-952
80,0,4,67,0.06,ME-16-04-12480-812,ME-12-03-15148-775
120,1,4,67,0.06,SH-14-02-28659-762,SH-17-10-10556-234
14,1,3,67,0.045,ME-17-05-633-549,ME-16-03-54615-517
22,0,3,67,0.045,SH-19-07-60805-168,ME-14-10-31218-522
29,0,3,67,0.045,ME-15-06-12109-344,ME-12-04-33577-700
32,1,3,67,0.045,ME-16-05-336-804,ME-14-12-6904-57
47,0,3,67,0.045,ME-17-04-613-913,ME-12-04-33577-700
60,1,3,67,0.045,SH-18-07-52337-770,SH-16-11-7544-55
106,1,3,67,0.045,ME-22-03-52964-443,ME-17-05-35227-215
129,0,3,67,0.045,ME-09-11-7566-913,ME-16-06-50916-362
131,1,3,67,0.045,SH-17-08-47445-166,SH-16-11-7544-55
2,1,2,67,0.03,ME-18-06-36728-73,ME-16-09-398-589
36,0,2,67,0.03,ME-15-12-39071-113,ME-13-02-28360-614
48,0,2,67,0.03,ME-21-10-18557-340,ME-16-10-9348-780
57,1,2,67,0.03,ME-15-12-39071-113,SH-11-12-35552-181
65,1,2,67,0.03,SH-16-11-7544-55,SH-15-03-49530-992
71,1,2,67,0.03,ME-16-11-69158-529,ME-16-01-3772-806
74,0,2,67,0.03,sh-10-05-7434-952,ME-21-10-18557-340
93,0,2,67,0.03,ME-14-07-13179-197,m08000207-175
114,1,2,67,0.03,ME-17-08-28615-573,ME-17-05-35227-215
126,0,2,67,0.03,ME-16-05-19384-544,m08000207-175
133,1,2,67,0.03,ME-16-06-50916-362,ME-15-03-29911-554
10,1,1,67,0.015,ME-16-10-12213-904,ME-09-05-16192-355
15,1,1,67,0.015,ME-20-01-62688-591,ME-16-09-398-589
23,0,1,67,0.015,ME-16-06-44840-433,SH-11-05-24791-315
27,0,1,67,0.015,ME-16-06-44840-433,SH-09-05-9349-998
30,1,1,67,0.015,ME-17-08-28615-573,ME-16-05-336-804
34,1,1,67,0.015,ME-15-12-39071-113,ME-09-11-7566-913
40,0,1,67,0.015,SH-14-02-28659-762,ME-16-05-19384-544
42,1,1,67,0.015,ME-19-01-53615-8,ME-16-11-69158-529
50,0,1,67,0.015,SH-16-11-7544-55,ME-13-10-28139-807
77,1,1,67,0.015,ME-16-05-25902-514,SH-11-01-41775-497
86,1,1,67,0.015,ME-20-07-29529-567,ME-16-08-54879-35
92,1,1,67,0.015,SH-18-06-11098-353,SH-16-11-7544-55
100,1,1,67,0.015,ME-21-10-18557-340,ME-16-12-50986-619
111,1,1,67,0.015,SH-19-07-60805-168,SH-16-11-7544-55
112,0,1,67,0.015,SH-14-11-8987-965,ME-16-12-50986-619
122,0,1,67,0.015,SH-18-07-52337-770,ME-16-06-50916-362
140,1,1,67,0.015,SH-15-03-49530-992,ME-16-05-9983-155
0,0,0,67,0.0,SH-16-04-30406-325,ME-16-02-59812-881
1,1,0,67,0.0,ME-16-05-25902-514,ME-16-11-56385-886
5,0,0,67,0.0,SH-18-06-11098-353,ME-16-03-54615-517
6,1,0,67,0.0,ME-17-05-633-549,ME-19-04-1316-977
7,1,0,67,0.0,ME-16-04-12480-812,ME-13-10-28139-807
12,1,0,67,0.0,ME-16-05-25902-514,ME-12-05-33444-999
28,1,0,67,0.0,ME-16-08-44157-713,ME-15-11-45465-294
35,0,0,67,0.0,ME-19-04-1316-977,SH-11-05-24791-315
49,1,0,67,0.0,SH-16-04-30406-325,SH-16-11-7544-55
62,1,0,67,0.0,SH-20-02-52091-995,SH-16-11-7544-55
72,1,0,67,0.0,ME-17-02-54432-484,ME-16-05-25902-514
78,1,0,67,0.0,ME-18-05-32659-754,ME-16-08-54879-35
85,0,0,67,0.0,ME-10-08-17917-313,ME-16-04-12480-812
102,1,0,67,0.0,SH-15-12-65958-120,SH-16-09-33552-535
105,1,0,67,0.0,SH-16-02-10948-419,SH-16-11-19417-55
118,1,0,67,0.0,SH-16-11-19417-55,SH-16-11-7544-55
124,1,0,67,0.0,ME-16-11-69158-529,ME-12-03-13401-281
125,0,0,67,0.0,ME-21-06-43085-219,SH-17-08-47445-166
127,0,0,67,0.0,SH-11-05-24791-315,ME-16-02-59812-881
135,0,0,67,0.0,ME-14-02-51828-88,ME-14-03-48488-922
138,1,0,67,0.0,ME-17-02-54432-484,ME-16-07-45228-25
