fname,n_annotators,consolidated_weapons,consolidated_ammo,ammo_conflicts,annotator_ליאור_weapons,annotator_ליאור_ammo,annotator_איתי_weapons,annotator_איתי_ammo,annotator_רותם_weapons,annotator_רותם_ammo,annotator_חן_weapons,annotator_חן_ammo
ME-15-3-29911-554,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 20.0}]","bullets: [12.0, 20.0, 24.0, 20.0, 20.0, 24.0]",,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 20, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 20, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 24, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 12, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 20, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 24, ""raw_unit"": ""כדורים""}]"
ME-15-6-12109-344,2,אקדח,[],,אקדח,[],אקדח,[],,,,
ME-15-8-44579-251,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 0.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}]"
ME-16-1-189-123,2,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 50.0}]",,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 50, ""raw_unit"": ""כדורים""}]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 50, ""raw_unit"": ""כדורים""}]",,,,
ME-16-1-31498-921,2,"רימון הלם/גז, רימון רסס",[],,,,,,"רימון הלם/גז, רימון רסס",[],"רימון הלם/גז, רימון רסס",[]
ME-16-1-3772-806,1,"רובה סער , תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1.0}]",,"רובה סער , תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",,,,,,
ME-16-10-12213-904,2,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 1.0}]",,תת מקלע מאולתר,[],תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 1, ""raw_unit"": ""כדור""}]",,,,
ME-16-10-9348-780,2,רובה צייד,"[{""kind"": ""bullets"", ""amount"": 75.0}]",,,,,,רובה צייד,"[{""kind"": ""bullets"", ""amount"": 75, ""raw_unit"": ""כדורים""}]",רובה צייד,"[{""kind"": ""bullets"", ""amount"": 75, ""raw_unit"": ""כדורים""}]"
ME-16-11-13999-863,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 2.0}]",,אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסנית""}]",,,,
ME-16-11-56385-886,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}]",,אקדח,[],אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",,,,
ME-16-11-69158-529,2,"תת מקלע, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1.0}]",,תת מקלע,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",,,,
ME-16-12-50986-619,2,,[],,,,,,,[],,[]
ME-16-2-18397-87,2,אקדח,"[{""kind"": ""bullets"", ""amount"": 0.0}]",,אקדח,"[{""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}]",אקדח,[],,,,
ME-16-2-59812-881,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 2.0}, {""kind"": ""bullets"", ""amount"": 20.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}, {""kind"": ""bullets"", ""amount"": 20, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}, {""kind"": ""bullets"", ""amount"": 20, ""raw_unit"": ""כדורים""}]"
ME-16-3-54615-517,2,"תת מקלע, תת מקלע מאולתר",[],,תת מקלע,[],תת מקלע מאולתר,[],,,,
ME-16-3-59260-279,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 14.0}]",,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 14, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 14, ""raw_unit"": ""כדורים""}]",,,,
ME-16-4-12480-812,2,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 3.0}, {""kind"": ""bullets"", ""amount"": 17.0}]","magazines: [3.0, 1.0]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 3, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 17, ""raw_unit"": ""כדורים""}]",,,,
ME-16-5-19384-544,2,"רובה סער , תת מקלע","[{""kind"": ""bullets"", ""amount"": 10.0}]",,"רובה סער , תת מקלע","[{""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]","רובה סער , תת מקלע","[{""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]",,,,
ME-16-5-25902-514,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 7.0}]",,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 7, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 7, ""raw_unit"": ""כדורים""}]",,,,
ME-16-5-336-804,2,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 2.0}, {""kind"": ""bullets"", ""amount"": 26.0}]","bullets: [0.0, 26.0, 0.0, 26.0]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 26, ""raw_unit"": ""כדורים""}]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 26, ""raw_unit"": ""כדורים""}]",,,,
ME-16-5-9968-487,2,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1.0}]",,,,,,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]"
ME-16-5-9983-155,2,"תת מקלע, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1.0}]",,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",תת מקלע,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",,,,
ME-16-6-42987-901,2,"רימון הלם/גז, רימון רסס","[{""kind"": ""bullets"", ""amount"": 1.0}]",,,,,,"רימון הלם/גז, רימון רסס",[],רימון הלם/גז,"[{""kind"": ""bullets"", ""amount"": 1, ""raw_unit"": ""כדור""}]"
ME-16-6-44840-433,2,"רימון הלם/גז, רימון רסס",[],,,,,,"רימון הלם/גז, רימון רסס",[],"רימון הלם/גז, רימון רסס",[]
ME-16-6-50916-362,2,תת מקלע,[],,,,,,תת מקלע,[],תת מקלע,[]
ME-16-6-64845-657,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 11.0}]","bullets: [0.0, 11.0, 0.0, 11.0]",,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 11, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 11, ""raw_unit"": ""כדורים""}]"
ME-16-7-45228-25,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 10.0}]",,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]",,,,
ME-16-8-229-604,2,"אקדח, רובה סער ",[],,,,,,"אקדח, רובה סער ",[],"אקדח, רובה סער ",[]
ME-16-8-44157-713,2,"תת מקלע, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1.0}]",,"תת מקלע, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",תת מקלע מאולתר,[],,,,
ME-16-8-54879-35,2,"תת מקלע, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 7.0}]",,,,,,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 7, ""raw_unit"": ""כדורים""}]",תת מקלע,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 7, ""raw_unit"": ""כדורים""}]"
ME-16-9-398-589,2,אקדח,[],,,,,,אקדח,[],,[]
ME-17-10-62597-895,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 1.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 1, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 1, ""raw_unit"": ""כדורים""}]"
ME-17-2-54432-484,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 7.0}]",,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 7, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 7, ""raw_unit"": ""כדורים""}]",,,,
ME-17-4-613-913,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 15.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 15, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 15, ""raw_unit"": ""כדורים""}]"
ME-17-5-35227-215,2,"תת מקלע, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1.0}]",,,,,,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",תת מקלע,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]"
ME-17-5-633-549,2,"אקדח, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 2.0}, {""kind"": ""bullets"", ""amount"": 100.0}]",,,,,,"אקדח, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מסניות""}, {""kind"": ""bullets"", ""amount"": 100, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}]","אקדח, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}, {""kind"": ""bullets"", ""amount"": 100, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}]"
ME-17-8-28615-573,2,"רימון הלם/גז, תת מקלע, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 50.0}]","bullets: [9.0, 50.0, 9.0, 50.0]",,,,,"רימון הלם/גז, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 9, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 50, ""raw_unit"": ""כדורים""}]","רימון הלם/גז, תת מקלע","[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 9, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 50, ""raw_unit"": ""כדורים""}]"
ME-18-10-30972-637,2,רובה סער ,[],,רובה סער ,[],רובה סער ,[],,,,
ME-18-4-19642-504,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 2.0}, {""kind"": ""bullets"", ""amount"": 40.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}, {""kind"": ""bullets"", ""amount"": 40, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}, {""kind"": ""bullets"", ""amount"": 40, ""raw_unit"": ""כדורים""}]"
ME-18-5-32659-754,1,"רימון הלם/גז, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 9.0}]","bullets: [0.0, 9.0, 10.0]",,,,,"רימון הלם/גז, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 9, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]",,
ME-18-6-36728-73,2,אקדח,[],,,,,,אקדח,[],אקדח,[]
ME-19-1-53615-8,2,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1.0}]",,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",,,,
ME-19-4-1316-977,2,"אקדח, תת מקלע מאולתר","[{""kind"": ""bullets"", ""amount"": 900.0}, {""kind"": ""magazines"", ""amount"": 1.0}]","bullets: [1100.0, 900.0, 900.0]",,,,,"אקדח, תת מקלע מאולתר","[{""kind"": ""bullets"", ""amount"": 1100, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 900, ""raw_unit"": ""כדורים""}]",תת מקלע מאולתר,"[{""kind"": ""bullets"", ""amount"": 900, ""raw_unit"": ""כדורים""}]"
ME-20-1-17935-7,2,תת מקלע מאולתר,[],,תת מקלע מאולתר,[],תת מקלע מאולתר,[],,,,
ME-20-1-62688-591,2,אקדח,[],,,,,,אקדח,[],אקדח,[]
ME-20-7-29529-567,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 2.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}]"
ME-21-10-18557-340,2,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 2.0}]",,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 2, ""raw_unit"": ""כדורים""}]",,,,
ME-21-6-43085-219,2,אקדח,[],,,,,,אקדח,[],אקדח,[]
ME-22-3-46930-359,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",אקדח,[]
ME-22-3-52964-443,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 2.0}, {""kind"": ""bullets"", ""amount"": 32.0}]","bullets: [32.0, 16.0]",,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 32, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 16, ""raw_unit"": ""כדורים""}]"
ME-9-11-7566-913,1,אקדח,[],,,,,,אקדח,[],,
ME-9-5-16192-355,2,תת מקלע,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 10.0}]",,,,,,תת מקלע,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]",תת מקלע,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]"
ME-9-6-10774-130,2,אקדח,[],,אקדח,[],אקדח,[],,,,
SH-10-2-25802-731,2,רובה צייד,[],,רובה צייד,[],רובה צייד,[],,,,
SH-11-1-41775-497,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 34.0}]",,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 34, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 34, ""raw_unit"": ""כדורים""}]",,,,
SH-11-12-35552-181,1,אקדח,[],,,,,,אקדח,[],,
SH-11-5-24791-315,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 2.0}]",,אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסנית""}]",,,,
SH-14-11-8987-965,2,אקדח,[],,,,,,אקדח,[],אקדח,[]
SH-14-2-28659-762,2,תת מקלע,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 1.0}]",,,,,,תת מקלע,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 1, ""raw_unit"": ""כדורים""}]",תת מקלע,[]
SH-15-12-65958-120,2,"אקדח, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 6.0}, {""kind"": ""bullets"", ""amount"": 6.0}]","magazines: [8.0, 15.0, 0.0, 6.0, 3.0, 1.0]; bullets: [8.0, 15.0, 0.0, 6.0, 0.0]","אקדח, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 3, ""raw_unit"": ""מחסניות""}, {""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}]","אקדח, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 8, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 8, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 15, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 15, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 0, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 6, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 6, ""raw_unit"": ""כדורים""}]",,,,
SH-15-3-49530-992,2,"רובה סער , תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 2.0}, {""kind"": ""bullets"", ""amount"": 9.0}]",,רובה סער ,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסנית""}]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 9, ""raw_unit"": ""כדורים""}]",,,,
SH-16-11-19417-55,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 1.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 1, ""raw_unit"": ""כדורים""}]",אקדח,[]
SH-16-11-49772-358,1,,[],,,,,[],,,,
