cluster,label,n_member_names,n_reps,reps,cov_Hybrid-Manual,cov_Hybrid-Full,cov_GPT-Law,cov_GPT-Free,members
4,מספר_נשקים,7,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,17,2,מספר_נשקים ; מספר_נשק ; מספר_הנשקים ; מספר_נשקים_שהוצעו ; מספר_נשקים_שנמסרו ; מספר_נשקים_שנסחרו ; מספר_נשקים_שנרכשו_מאחר
264,שעת_העבירה,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,7,1,7,6,שעת_העבירה ; שעת_ביצוע_העבירה
10,אופן הסתרת הנשק,7,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,5,3,5,6,אופן_הסתרת_הנשק ; אופן_העברת_הנשק ; אופן_גילוי_הנשק ; אופן_אריזת_הנשק ; אופן_הובלת_הנשק ; אופן_אחסון_הנשק ; אופן_תפיסת_הנשק
207,מספר רישוי הרכב,6,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,6,4,2,5,מספר_רישוי_הרכב ; מספר_רכב ; מספר_רישוי_של_הרכב ; מספר_הרכב ; מספר_רישוי_רכב ; מספר_רישיון_רכב
60,מצב_הנשק,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,3,2,11,מצב_הנשק ; מצב_הנשק_בעת_ההחזקה
257,מיקום הירי,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,6,3,2,4,מיקום_הירי ; מקום_הירי ; מיקום_ביצוע_הירי ; מקום_ביצוע_הירי
20,מיקום המעצר,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,7,3,3,2,מיקום_המעצר ; מקום_המעצר ; מקום_מעצר_הנאשם ; מיקום_המחסנית_בעת_המעצר
424,סוג הסם,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,3,2,5,5,סוג_הסם ; סוג_סם
343,דגם הנשק,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,4,4,4,2,דגם_הנשק ; דגם_נשק
188,זמן_העבירה,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,2,4,6,זמן_העבירה ; זמן_ביצוע_העבירה
49,מקור הנשק,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,4,3,1,5,מקור_הנשק ; מקור_הנשק_והסם
507,מיקום הנשק ברכב,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,4,4,1,3,מיקום_הנשק_ברכב ; מיקום_החזקת_הנשק_ברכב ; מיקום_הנשק_והתחמושת_ברכב ; מקום_הנשק_ברכב
57,כמות הסם,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,3,3,2,2,כמות_הסם ; כמות_סם ; כמות_הסם_בגרם
1237,מספר_כלי_נשק,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,2,6,מספר_כלי_נשק ; מספר_כלי_נשק_שנמכרו
648,שותפים_לעבירה,1,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,1,2,5,שותפים_לעבירה
76,זהות הנהג,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,3,1,1,4,זהות_הנהג ; זהות_הנאשם ; זהות_האחר ; זהות_הרוכש
336,תפקיד_הנאשם,1,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,4,3,תפקיד_הנאשם
238,בעלות_הרכב,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,3,1,2,בעלות_הרכב ; בעלות_על_הרכב
177,מיקום התחמושת,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,2,2,2,מיקום_התחמושת ; מיקום_התחמושת_בבית ; מקום_התחמושת
165,משך החזקת הנשק,5,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,4,1,1,משך_החזקת_הנשק ; משך_זמן_החזקת_הנשק ; משך_הזמן_להחלפת_הנשק ; משך_הזמן_להשגת_הנשק ; משך_החזקה_בנשק
739,טיפול רפואי,1,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,2,1,2,טיפול_רפואי
149,מספר_עבירות_נשק,7,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,2,3,מספר_עבירות_נשק ; מספר_שותפים_בעסקת_הנשק ; מספר_עבירות_נשק_שנידונו ; מספר_עבירות_סחר_בנשק ; מספר_עבירות_רכישת_נשק ; מספר_עסקאות_נשק ; מספר_שותפים_לעבירת_נשק
255,קוטר תחמושת,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,3,1,1,קוטר_תחמושת ; קוטר_התחמושת
613,מטרת הירי,1,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,1,3,מטרת_הירי
301,מרחק ירי,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,2,2,1,מרחק_ירי ; מרחק_הירי
1126,קוטר הנשק,1,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,2,1,1,קוטר_הנשק
211,תקופת_העבירה,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,1,3,תקופת_העבירה ; תקופת_העבירות
302,מקום החזקת התחמושת,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,2,1,מקום_החזקת_התחמושת ; מקום_החזקה_בתחמושת ; מקום_החזקת_תחמושת_נוספת
270,מרחק נסיעה לאחר ירי,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,1,1,מרחק_נסיעה_לאחר_ירי ; מרחק_הנסיעה_לאחר_הירי ; מרחק_נסיעה_לאחר_הירי
298,שינוי בייעוד הנשק,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,1,1,שינוי_בייעוד_הנשק ; שינוי_ייעוד_הנשק ; שינוי_ייעוד_נשק
604,אופן החזקת הנשק,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,96,98,0,1,אופן_החזקת_הנשק ; אופן_החזקת_הנשק_בעת_המעצר
1344,אופן קבלת הנשק,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,34,23,0,1,אופן_קבלת_הנשק
17,מועד_העבירה,4,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,14,17,מועד_העבירה ; מועד_ביצוע_העבירה ; מועד_ביצוע_העבירות ; מועד_חשיפת_העבירה
46,מספר_מעורבים,3,3,Hybrid-Manual|GPT-Law|GPT-Free,2,0,17,9,מספר_מעורבים ; מספר_מעורבים_נוספים ; מספר_נאשמים_מעורבים
107,תאריך העבירה,4,3,Hybrid-Manual|Hybrid-Full|GPT-Free,14,7,0,5,תאריך_העבירה ; תאריך_ביצוע_העבירה ; תאריך_התחלת_העבירה ; תאריך_סיום_העבירה
430,מספר_מחסניות,2,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,12,10,מספר_מחסניות ; מספר_המחסניות
25,תאריך תפיסת הנשק,9,3,Hybrid-Manual|Hybrid-Full|GPT-Free,12,9,0,1,תאריך_תפיסת_הנשק ; תאריך_גניבת_הנשק ; תאריך_החזקת_הנשק ; תאריך_תחילת_החזקת_הנשק ; תאריך_מציאת_הנשק ; תאריך_רכישת_הנשק ; תאריך_החזקת_נשק_נוסף ; תאריך_גילוי_הנשק ; תאריך_ייצור_הנשק
314,משך_החזקה,3,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,9,7,משך_החזקה ; משך_ההחזקה ; משך_זמן_ההחזקה
67,מספר_נאשמים,3,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,7,4,מספר_נאשמים ; מספר_נאשם ; מספר_נאשמים_נוספים
35,כמות_כדורים,5,3,Hybrid-Manual|Hybrid-Full|GPT-Law,3,2,5,0,כמות_כדורים ; כמות_כדורים_במחסנית_שניה ; כמות_כדורים_ברכישה_גדולה ; כמות_כדורים_נוספת ; כמות_כדורים_שנורתה
168,שימוש בנשק,3,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,2,7,שימוש_בנשק ; שימוש_בנשק_חם ; שימוש_בנשק_שנמכר
127,מעורבים נוספים,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,3,5,0,1,מעורבים_נוספים ; מעורבות_נוספת
118,מותג הרכב,3,3,Hybrid-Manual|Hybrid-Full|GPT-Free,2,3,0,3,מותג_הרכב ; דגם_הרכב ; נהג_הרכב
148,כמות_נשק,3,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,4,3,כמות_נשק ; כמות_כלי_נשק ; כמות_נשקים
645,סוג המחסנית,3,3,Hybrid-Manual|Hybrid-Full|GPT-Law,3,4,1,0,סוג_המחסנית ; סוג_המחסניות ; סוגי_מחסניות
192,שם_הנאשם,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,6,שם_הנאשם ; שם_הנהג
113,שמות_מעורבים,4,3,Hybrid-Manual|GPT-Law|GPT-Free,2,0,5,1,שמות_מעורבים ; שמות_המעורבים ; שמות_מעורבים_נוספים ; שמות_נוספים_מעורבים
191,מועד_רכישת_הנשק,3,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,3,3,מועד_רכישת_הנשק ; מועד_תפיסת_הנשק ; מועד_גניבת_הנשק
1339,מיקום העסקה,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,3,3,0,1,מיקום_העסקה
162,סעיף_עבירה,3,3,Hybrid-Manual|GPT-Law|GPT-Free,2,0,4,1,סעיף_עבירה ; סעיף_העבירה ; סעיף_עבירה_נוסף
404,בעלות_הנשק,3,3,Hybrid-Full|GPT-Law|GPT-Free,0,2,2,2,בעלות_הנשק ; בעלים_מקורי_של_הנשק ; בעלות_מקורית_של_הנשק
62,מקום_מגורים_של_הנאשם,5,3,Hybrid-Full|GPT-Law|GPT-Free,0,2,2,2,מקום_מגורים_של_הנאשם ; מקום_המגורים_של_הנאשם ; מקום_מגורי_הנאשם ; מקום_מגורים_הנאשם ; מקום_מוצא_הנאשם
387,פגיעה ברכוש,1,3,Hybrid-Manual|GPT-Law|GPT-Free,2,0,1,3,פגיעה_ברכוש
1321,תקופת החזקת הנשק,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,3,2,0,1,תקופת_החזקת_הנשק
95,האם_הייתה_פגיעה_פיזית,3,3,Hybrid-Manual|Hybrid-Full|GPT-Law,1,1,3,0,הייתה_פגיעה_פיזית ; פגיעה_פיזית ; היתה_פגיעה_פיזית
183,מחיר הסם,3,3,Hybrid-Manual|Hybrid-Full|GPT-Free,2,2,0,1,מחיר_הסם ; מחיר_סם ; מחיר_תמורת_סם
138,מיקום הנאשם ברכב,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,2,2,0,1,מיקום_הנאשם_ברכב ; מיקום_ישיבת_הנאשם_ברכב
383,מסלול_הנסיעה,2,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,1,3,מסלול_הנסיעה ; מסלול_נסיעה
1226,מספר נפגעים,1,3,Hybrid-Manual|Hybrid-Full|GPT-Law,2,2,1,0,מספר_נפגעים
234,משקל_הסם_גרם,2,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,2,2,משקל_הסם_גרם ; משקל_הסם
72,סוג הסם בתיק הסמים,3,3,Hybrid-Manual|Hybrid-Full|GPT-Free,2,2,0,1,סוג_הסם_בתיק_הסמים ; סוגי_סמים ; סוג_הסמים
291,סוג הרימון,2,3,Hybrid-Manual|Hybrid-Full|GPT-Law,2,2,1,0,סוג_הרימון ; סוג_רימון
1082,תאריך הגניבה,1,3,Hybrid-Manual|Hybrid-Full|GPT-Law,1,3,1,0,תאריך_הגניבה
14,תגובה_למשטרה,3,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,2,2,תגובה_למשטרה ; תגובה_לנוכחות_משטרה ; תגובה_למחסום_משטרתי
31,אופן_נשיאת_הנשק,2,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,1,2,אופן_נשיאת_הנשק ; שעת_נשיאת_הנשק
405,כמות יריות,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,2,1,0,1,כמות_יריות ; כמות_היריות
1131,מותג הנשק,1,3,Hybrid-Manual|Hybrid-Full|GPT-Law,2,1,1,0,מותג_הנשק
70,מספר תחמושת,3,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,1,2,מספר_תחמושת ; מספר_סוגי_תחמושת ; מספר_תחמושת_שנמכרה
281,קוטר הקליעים,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,2,0,1,קוטר_הקליעים ; קוטר_קליעים
827,קליבר הנשק,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,2,1,0,1,קליבר_הנשק
132,שמות הנוסעים ברכב,3,3,Hybrid-Manual|Hybrid-Full|GPT-Free,2,1,0,1,שמות_הנוסעים_ברכב ; שמות_נוסעים_ברכב ; שמות_נוספים_ברכב
925,אופן המעצר,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,אופן_המעצר
1066,השפעת אלכוהול,1,3,Hybrid-Manual|Hybrid-Full|GPT-Law,1,1,1,0,השפעת_אלכוהול
1205,מחיר העסקה,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,מחיר_העסקה
354,מיקום המחסנית,4,3,Hybrid-Manual|Hybrid-Full|GPT-Law,1,1,1,0,מיקום_המחסנית ; מיקום_מחסנית_1 ; מיקום_מחסנית_2 ; מיקום_מחסנית_3
630,מיקום הסלקת הנשק,2,3,Hybrid-Manual|Hybrid-Full|GPT-Law,1,1,1,0,מיקום_הסלקת_הנשק ; מקום_הסלקת_הנשק
411,מיקום הפגיעה בגוף,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,מיקום_הפגיעה_בגוף
278,מספר שוטרים במעורבות,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,מספר_שוטרים_במעורבות ; מספר_שוטרים_מעורבים
605,מעורבות_אחרים,1,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,1,1,מעורבות_אחרים
912,סכום העסקה,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,סכום_העסקה
321,פריטים נוספים ברכב,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,פריטים_נוספים_ברכב
352,צבע הרימון,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,צבע_הרימון
471,קורבנות,1,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,1,1,קורבנות
637,קליבר,1,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,1,1,קליבר
252,שווי הפריט הגנוב,2,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,1,1,שווי_הפריט_הגנוב ; שווי_הגניבה
32,תגובת המתלוננים,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,תגובת_המתלוננים ; תגובה_מצד_המתלוננים
540,תכנון,1,2,Hybrid-Manual|Hybrid-Full,101,101,0,0,תכנון
584,שימוש,1,2,Hybrid-Manual|Hybrid-Full,100,101,0,0,שימוש
8,סוג הנשק [אקדח],12,2,Hybrid-Manual|Hybrid-Full,94,93,0,0,סוג_הנשק_[אקדח] ; סוג_הנשק_[תת_מקלע_מאולתר] ; סוג_הנשק_[תת_מקלע] ; סוג_הנשק_[רובה_סער] ; סוג_הנשק_[רובה_סער_] ; סוג_הנשק_[רובה_צייד] ; סוג_הנשק_[רובה_סער_מאולתר] ; סוג_הנשק_[בקבוק_תבערה] ; סוג_הנשק_[FN] ; סוג_הנשק_[מטען_חבלה] ; סוג_הנשק_[מטען_חבלה_מאולתר] ; סוג_הנשק_[רובה_צלפים]
141,סעיפי_חוק,2,2,GPT-Law|GPT-Free,0,0,73,79,סעיפי_חוק ; סעיף_חוק
1211,מטרה-סיבת העבירה,1,2,Hybrid-Manual|Hybrid-Full,48,45,0,0,מטרה_סיבת_העבירה
51,זמן האירוע,3,2,Hybrid-Manual|Hybrid-Full,25,23,0,0,זמן_האירוע ; זמן_האירועים ; זמן_האירוע_במגרש
672,תכנון_מוקדם,1,2,GPT-Law|GPT-Free,0,0,46,1,תכנון_מוקדם
253,מקום_ביצוע,4,2,GPT-Law|GPT-Free,0,0,30,16,מקום_ביצוע ; מיקום_ביצוע ; מקום_ביצוע_הגניבה ; מקום_הביצוע
381,האם_הנשק_היה_טעון,2,2,GPT-Law|GPT-Free,0,0,24,7,הנשק_היה_טעון ; הנשק_טעון
505,סוג האקדח,3,2,Hybrid-Manual|Hybrid-Full,14,17,0,0,סוג_האקדח ; סוג_אקדח ; סוגי_האקדחים
123,מקום_החזקה,4,2,GPT-Law|GPT-Free,0,0,17,13,מקום_החזקה ; מיקום_החזקה ; מקום_ההחזקה ; מקום_החזקה_העיקרי
103,אופן_החזקה,3,2,GPT-Law|GPT-Free,0,0,15,14,אופן_החזקה ; אופן_ההחזקה ; אופן_החזקה_והובלה
437,מקום ביצוע העבירה,3,2,GPT-Law|GPT-Free,0,0,7,17,מקום_ביצוע_העבירה ; מקום_ביצוע_העבירות ; מיקום_ביצוע_העבירה
130,תאריך_ביצוע,2,2,GPT-Law|GPT-Free,0,0,10,13,תאריך_ביצוע ; תאריך_ביצוע_הגניבה
529,תחמושת,1,2,GPT-Law|GPT-Free,0,0,14,9,תחמושת
322,עבירות,2,2,GPT-Law|GPT-Free,0,0,9,11,עבירות ; עבירה
231,סוג הנשק [רימון הלם/גז],2,2,Hybrid-Manual|Hybrid-Full,7,7,0,0,סוג_הנשק_[רימון_הלם/גז] ; סוג_הנשק_[רימון_רסס]
325,תאריך המעצר,3,2,Hybrid-Manual|Hybrid-Full,9,5,0,0,תאריך_המעצר ; תאריך_מעצר_הנאשם ; תאריך_ושעת_המעצר
542,האם_היה_תכנון_מוקדם,2,2,GPT-Law|GPT-Free,0,0,12,1,היה_תכנון_מוקדם ; הייתה_תכנון_מוקדם
65,האם_הייתה_אכזריות_או_אלימות,6,2,GPT-Law|GPT-Free,0,0,12,1,הייתה_אכזריות_או_אלימות ; הייתה_אלימות_נוספת ; הייתה_אלימות_או_אכזריות ; הייתה_אכזריות_או_אלימות_נוספת ; הייתה_אלימות_פיזית ; הייתה_אלימות_פיזית_נוספת
621,סעיפי_אישום,1,2,GPT-Law|GPT-Free,0,0,7,6,סעיפי_אישום
11,מחיר הנשק,4,2,Hybrid-Manual|Hybrid-Full,5,7,0,0,מחיר_הנשק ; מחיר_מכירת_הנשק ; מחיר_רכישת_הנשק ; מחיר_נשק_למחיסן
666,מועד_ביצוע,2,2,GPT-Law|GPT-Free,0,0,6,5,מועד_ביצוע ; מועדי_ביצוע
574,תקופת_החזקה,2,2,GPT-Law|GPT-Free,0,0,4,6,תקופת_החזקה ; תקופת_ההחזקה
82,אופן_הביצוע,3,2,GPT-Law|GPT-Free,0,0,4,5,אופן_הביצוע ; אופן_ביצוע ; אופן_ביצוע_העסקה
332,האם_החזקה_ללא_רישיון,2,2,GPT-Law|GPT-Free,0,0,8,1,החזקה_ללא_רישיון ; החזקה_בלא_רישיון
56,האם_החזקה_ברישיון,2,2,GPT-Law|GPT-Free,0,0,7,2,החזקה_ברישיון ; החזקה_היתה_ברישיון
2,האם_הנשק_תקין_לשימוש,5,2,GPT-Law|GPT-Free,0,0,7,2,הנשק_תקין_לשימוש ; הנשק_היה_בשימוש ; נשק_בשימוש ; הנשק_היה_מוכן_לשימוש ; הנשק_היה_תקין_לשימוש
21,הסתרת_הנשק,3,2,GPT-Law|GPT-Free,0,0,2,7,הסתרת_הנשק ; הסתרת_נשק ; הסתרת_הנשק_לאחר_הירי
734,סוג הנשק - אם לא נמצא בטבלה,1,2,Hybrid-Manual|Hybrid-Full,4,5,0,0,סוג_הנשק_אם_לא_נמצא_בטבלה
110,סוג הנשק המדויק,3,2,Hybrid-Manual|Hybrid-Full,2,7,0,0,סוג_הנשק_המדויק ; סוג_הנשק_במגרש ; סוג_הנשק_המוצע_למכירה
562,שעת_ביצוע,1,2,GPT-Law|GPT-Free,0,0,4,5,שעת_ביצוע
1293,אופן_הסתרה,1,2,GPT-Law|GPT-Free,0,0,4,4,אופן_הסתרה
112,גיל_הנאשם_בעת_העבירה,3,2,GPT-Law|GPT-Free,0,0,5,3,גיל_הנאשם_בעת_העבירה ; גיל_הנאשם_בעת_ביצוע_העבירות ; גיל_הנאשם_בעת_העבירות
1364,האם_החזקה_ברכב,1,2,GPT-Law|GPT-Free,0,0,7,1,החזקה_ברכב
169,האם היה רישיון לנשק,3,2,GPT-Law|GPT-Free,0,0,4,4,היה_רישיון_לנשק ; היה_רישיון_להחזקת_נשק ; היתה_רישיון_להחזקת_נשק
1020,האם_הייתה_הודאה,1,2,GPT-Law|GPT-Free,0,0,6,2,הייתה_הודאה
1309,האם_הנשק_נתפס,1,2,GPT-Law|GPT-Free,0,0,5,3,הנשק_נתפס
34,מספר האקדח,3,2,Hybrid-Manual|Hybrid-Full,5,3,0,0,מספר_האקדח ; מספר_סידורי_של_האקדח ; מספר_רישום_האקדח
193,רישיון_להחזקת_נשק,3,2,GPT-Law|GPT-Free,0,0,3,5,רישיון_להחזקת_נשק ; רישיון_נשק ; רישיון_לנשק
1207,אופן_הובלה,2,2,GPT-Law|GPT-Free,0,0,6,1,אופן_הובלה ; אופן_ההובלה
92,האם_הייתה_בריחה_מהמשטרה,4,2,GPT-Law|GPT-Free,0,0,6,1,הייתה_בריחה_מהמשטרה ; הייתה_חדירה_משטרתית ; הייתה_מנוסה_מהמשטרה ; היתה_בריחה_מהמשטרה
48,האם_הייתה_רשות_להחזקה,4,2,GPT-Law|GPT-Free,0,0,5,2,הייתה_רשות_להחזקה ; הייתה_רשות_להחזקת_הנשק ; הייתה_רשיון_להחזקה ; הייתה_רשיון_להחזקת_הנשק
258,האם_הייתה_תחמושת,2,2,GPT-Law|GPT-Free,0,0,6,1,הייתה_תחמושת ; הייתה_תחמושת_נוספת
140,האם_הנאשם_הודה,2,2,GPT-Law|GPT-Free,0,0,4,3,הנאשם_הודה ; הנאשם_הודה_בעובדות
1113,האם_הנשק_היה_ברישיון,1,2,GPT-Law|GPT-Free,0,0,5,2,הנשק_היה_ברישיון
868,האם_הנשק_מאולתר,1,2,GPT-Law|GPT-Free,0,0,6,1,הנשק_מאולתר
137,קשר_בין_המעורבים,2,2,GPT-Law|GPT-Free,0,0,3,4,קשר_בין_המעורבים ; הקשר_בין_המעורבים
431,זמן המעצר,3,2,Hybrid-Manual|Hybrid-Full,4,3,0,0,זמן_המעצר ; זמן_מעצר ; זמן_מעצר_הנאשם
1304,מועד_האירוע,1,2,GPT-Law|GPT-Free,0,0,1,6,מועד_האירוע
235,מקום מגורים,2,2,Hybrid-Manual|Hybrid-Full,3,4,0,0,מקום_מגורים ; מקום_מגורים_משותף
204,סוגי נשק נוספים,3,2,Hybrid-Manual|Hybrid-Full,4,3,0,0,סוגי_נשק_נוספים ; סוגי_הנשק_הנוספים ; סוגי_נשק_נוספים_שהוצעו
378,רישיון_להחזקה,1,2,GPT-Law|GPT-Free,0,0,6,1,רישיון_להחזקה
189,רקע לאירוע,2,2,GPT-Law|GPT-Free,0,0,1,6,רקע_לאירוע ; רקע_האירוע
1077,אופי_הנשק,1,2,GPT-Law|GPT-Free,0,0,4,2,אופי_הנשק
1343,אופן_החשיפה,1,2,GPT-Law|GPT-Free,0,0,2,4,אופן_החשיפה
45,האם_היו_שותפים,2,2,GPT-Law|GPT-Free,0,0,5,1,היו_שותפים ; היו_שותפים_לעבירה
