row,gt,wrong,total,wrong_rate,verdict_1,verdict_2
88,0,13,68,0.191,SH-24-01-26596-264,ME-21-12-42162-424
90,0,12,68,0.176,SH-24-01-26596-264,SH-13-09-29504-694
44,0,12,69,0.174,SH-20-05-28746-251,SH-21-11-9851-17
77,0,11,68,0.162,SH-19-02-58269-573,ME-16-11-63255-338
85,1,11,68,0.162,SH-21-09-42879-201,SH-19-03-50607-561
98,1,11,68,0.162,SH-24-05-28565-553,SH-21-12-59578-330
65,0,9,68,0.132,ME-21-12-42162-424,ME-17-03-30876-747
74,1,8,68,0.118,ME-23-08-41833-827,ME-22-12-47987-640
30,0,7,69,0.101,ME-21-12-42162-424,ME-19-04-14488-104
94,0,6,68,0.088,SH-24-01-9804-702,ME-16-07-11608-225
47,0,6,69,0.087,SH-21-02-40908-370,ME-22-07-32175-327
69,0,5,68,0.074,ME-22-07-53625-139,ME-22-12-47987-640
97,0,5,68,0.074,SH-24-01-9804-702,SH-23-09-35299-260
26,0,5,69,0.072,ME-21-03-10139-230,ME-15-09-24514-351
34,0,4,69,0.058,ME-22-11-1990-79,ME-19-04-14578-148
58,0,3,68,0.044,SH-24-01-9804-702,ME-19-01-68958-71
61,0,3,68,0.044,ME-18-02-5680-55,SH-13-09-29504-694
64,1,3,68,0.044,ME-20-12-1338-335,ME-22-12-47987-640
91,1,3,68,0.044,SH-24-01-26596-264,SH-19-02-58269-573
41,0,3,69,0.043,SH-16-09-64418-33,SH-19-11-18218-11
49,0,3,69,0.043,SH-21-03-7171-604,SH-19-11-18218-11
5,0,2,69,0.029,ME-17-03-30876-747,SH-23-02-41988-839
8,0,2,69,0.029,ME-18-02-5680-55,ME-22-04-7867-732
31,0,2,69,0.029,ME-22-01-47042-277,SH-16-09-64418-33
37,0,2,69,0.029,ME-23-04-8444-574,ME-19-07-4435-107
40,0,2,69,0.029,ME-23-12-14553-571,ME-18-04-16826-842
46,0,2,69,0.029,SH-20-06-12380-808,ME-23-05-13598-78
51,0,2,68,0.029,SH-22-01-16014-223,ME-18-07-67342-121
80,0,2,68,0.029,SH-21-09-42879-201,ME-18-08-8864-290
86,1,2,68,0.029,SH-21-09-42879-201,SH-24-01-26596-264
50,0,1,68,0.015,SH-22-01-16014-223,ME-16-12-19902-389
53,0,1,68,0.015,SH-22-05-39259-133,ME-16-06-6788-21
68,1,1,68,0.015,ME-22-01-47042-277,ME-18-01-73652-357
72,1,1,68,0.015,ME-22-11-1990-79,ME-18-04-46786-521
81,0,1,68,0.015,SH-21-09-42879-201,ME-22-07-53625-139
83,0,1,68,0.015,SH-21-09-42879-201,SH-16-09-64418-33
20,0,1,69,0.014,ME-19-04-14488-104,ME-21-03-10139-230
28,0,1,69,0.014,ME-21-03-10139-230,ME-16-07-11608-225
42,0,1,69,0.014,SH-19-02-58269-573,ME-17-04-17677-800
45,0,1,69,0.014,SH-20-06-12380-808,ME-19-01-68942-383
3,1,0,69,0.0,ME-17-01-59971-328,ME-14-01-16958-980
4,1,0,69,0.0,ME-17-01-620-279,ME-16-12-19902-389
6,1,0,69,0.0,ME-17-03-30876-747,ME-17-01-59971-328
7,1,0,69,0.0,ME-17-04-17677-800,ME-14-01-16958-980
10,1,0,69,0.0,ME-18-04-16826-842,ME-16-12-19902-389
16,1,0,69,0.0,ME-19-02-45480-398,ME-17-03-30876-747
17,1,0,69,0.0,ME-19-02-45480-398,ME-17-04-17677-800
18,1,0,69,0.0,ME-19-02-45480-398,ME-19-04-14578-148
19,1,0,69,0.0,ME-19-04-14488-104,ME-19-04-14578-148
21,1,0,69,0.0,ME-19-04-14488-104,ME-14-01-16958-980
22,1,0,69,0.0,ME-19-04-14578-148,ME-17-03-30876-747
23,1,0,69,0.0,ME-19-04-14578-148,ME-17-04-17677-800
24,1,0,69,0.0,ME-19-07-4435-107,ME-14-01-16958-980
25,1,0,69,0.0,ME-19-07-4435-107,ME-19-04-14488-104
29,1,0,69,0.0,ME-21-03-10139-230,ME-18-01-73652-357
32,1,0,69,0.0,ME-22-07-53625-139,ME-19-04-14578-148
35,0,0,69,0.0,ME-22-11-1990-79,SH-24-01-9804-702
36,0,0,69,0.0,ME-23-01-46786-206,ME-17-04-17677-800
38,1,0,69,0.0,ME-23-05-13598-78,ME-23-12-14553-571
39,1,0,69,0.0,ME-23-05-52567-993,ME-22-04-7867-732
52,1,0,68,0.0,SH-22-05-36033-112,SH-22-05-39259-133
57,1,0,68,0.0,SH-24-01-3818-394,ME-17-04-17677-800
60,1,0,68,0.0,ME-17-01-620-279,ME-10-11-18588-3
70,1,0,68,0.0,ME-22-08-15747-700,ME-23-08-41833-827
71,1,0,68,0.0,ME-22-11-1990-79,ME-16-07-11608-225
73,1,0,68,0.0,ME-23-05-52567-993,ME-17-03-30876-747
75,1,0,68,0.0,ME-23-12-14553-571,ME-17-03-30876-747
82,0,0,68,0.0,SH-21-09-42879-201,ME-23-12-14553-571
99,1,0,68,0.0,SH-24-05-46424-585,SH-23-09-35299-260
