itr 1,,,,,,,,itr 2,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source Verdict,Target Number,Similarity Score - Itay,Similarity Score - Lior ,final,,,,Source Verdict,Target Number,Similarity Score - Itay,Similarity Score - Lior ,final
ME-15-08-44579-251,SH-17-04-19242-11,1,1,2,,,,ME-15-06-12109-344,ME-12-04-33577-700,1,1,1
ME-15-06-12109-344,SH-14-11-8987-965,1,1,1,,,,ME-17-08-28615-573,ME-16-05-336-804,2,2,2
ME-21-10-18557-340,ME-16-12-50986-619,3,3,3,,,,ME-16-05-25902-514,SH-17-08-47445-166,2,1,1
0633-05-17,ME-19-04-1316-977,3,3,2,,,,ME-16-05-336-804,ME-14-12-6904-57,3,3,3
ME-13-10-53169-537,ME-13-10-28139-807,2,2,2,,,,SH-19-07-60805-168,ME-20-01-17935-7,2,1,1
0336-05-16,ME-15-12-39071-113,1,1,2,,,,ME-15-12-39071-113,ME-09-11-7566-913,3,3,3
SH-15-12-65958-120,SH-16-09-33552-535,3,3,1,,,,ME-19-04-1316-977,SH-11-05-24791-315,1,1,1
ME-16-08-29984-51,ME-15-11-45465-294,1,1,1,,,,ME-18-06-36728-73,SH-12-07-47766-859,1,1,1
ME-16-05-9968-487,SH-11-01-41775-497,2,2,2,,,,ME-15-12-39071-113,ME-13-02-28360-614,1,1,1
ME-19-04-1316-977,ME-16-05-19384-544,1,1,1,,,,ME-16-02-59812-881,ME-22-03-52964-443,3,3,3
SH-16-10-1516-912,ME-09-01-4206-239,,,1,,,,ME-20-01-62688-591,ME-17-05-35227-215,1,1,1
SH-16-02-10948-419,SH-16-11-19417-55,3,3,2,,,,ME-16-06-64845-657,ME-12-03-13401-281,1,1,1
ME-22-03-52964-443,ME-17-05-35227-215,2,2,1,,,,SH-14-02-28659-762,ME-16-05-19384-544,1,1,1
ME-18-04-19642-504,ME-21-10-18557-340,3,2,1,,,,ME-20-01-62688-591,ME-22-03-52964-443,1,1,1
ME-16-03-59260-279,SH-11-12-35552-181,2,2,1,,,,ME-19-01-53615-8,ME-16-11-69158-529,3,3,3
ME-16-06-44840-433,ME-14-10-31218-522,1,2,1,,,,ME-15-12-39071-113,sh-10-05-7434-952,3,3,3
ME-20-01-62688-591,0398-09-16,3,3,3,,,,ME-16-06-44840-433,ME-12-09-51207-971,1,1,1
sh-10-05-7434-952,SH-18-06-11098-353,1,1,1,,,,ME-16-05-19384-544,ME-16-03-54615-517,3,3,3
SH-19-07-60805-168,SH-16-11-7544-55,2,3,3,,,,ME-12-05-33444-999,ME-17-04-613-913,1,1,1
SH-14-11-8987-965,ME-16-12-50986-619,1,1,1,,,,ME-17-04-613-913,ME-12-04-33577-700,1,1,1
SH-16-09-33552-535,ME-16-11-56385-886,1,1,1,,,,ME-21-10-18557-340,ME-16-10-9348-780,1,1,1
ME-17-08-28615-573,ME-17-05-35227-215,2,3,1,,,,SH-16-04-30406-325,SH-16-11-7544-55,3,3,3
SH-16-11-7544-55,ME-16-10-12213-904,1,1,3,,,,SH-16-11-7544-55,ME-13-10-28139-807,1,1,1
ME-12-03-15148-775,ME-16-08-29984-51,1,1,3,,,,ME-16-04-12480-812,SH-16-05-42991-439,1,1,1
ME-15-02-9111-399,ME-14-07-13179-197,1,1,1,,,,ME-16-05-9968-487,ME-13-04-35007-454,3,3,3
ME-13-04-35007-454,SH-16-01-21459-8,,,1,,,,ME-16-11-69158-529,ME-14-12-6904-57,2,3,2
SH-20-02-52091-995,ME-17-05-35227-215,1,1,1,,,,SH-11-05-24791-315,ME-16-10-9348-780,1,1,1
ME-16-12-64990-76,m01008097-376,,,1,,,,ME-15-12-39071-113,ME-10-08-17917-313,3,3,3
ME-15-03-29911-554,s024354,,,1,,,,ME-22-03-52964-443,SH-17-08-47445-166,1,1,1
SH-16-11-19417-55,SH-16-11-7544-55,3,3,2,,,,ME-15-12-39071-113,SH-11-12-35552-181,3,3,3
ME-19-01-53615-8,SH-15-12-65958-120,1,1,3,,,,ME-16-11-69158-529,ME-16-10-12213-904,1,1,1
SH-14-02-28659-762,SH-17-10-10556-234,3,3,1,,,,ME-16-03-59260-279,ME-16-08-54879-35,2,2,2
ME-16-06-64845-657,ME-13-05-31862-33,,,3,,,,SH-18-07-52337-770,SH-16-11-7544-55,3,3,3
m07001074-98,ME-17-05-35227-215,1,1,1,,,,ME-16-06-42987-901,ME-12-03-13401-281,1,1,1
SH-18-07-52337-770,ME-16-06-50916-362,1,1,1,,,,SH-20-02-52091-995,SH-16-11-7544-55,3,3,3
ME-13-10-28139-807,SH-12-07-47766-859,1,2,1,,,,ME-15-12-39071-113,SH-12-07-47766-859,3,3,3
SH-17-11-53539-235,m07001074-98,3,3,3,,,,SH-14-02-28659-762,SH-16-05-42991-439,2,2,2
ME-16-11-69158-529,ME-12-03-13401-281,3,3,3,,,,ME-14-10-31218-522,ME-17-05-35227-215,1,1,1
0520-07-17,ME-16-12-64990-76,,,1,,,,SH-16-11-7544-55,SH-15-03-49530-992,3,3,3
ME-21-06-43085-219,SH-17-08-47445-166,1,1,2,,,,ME-16-11-13999-863,ME-21-10-18557-340,1,1,1
ME-16-05-19384-544,m08000207-175,1,1,,,,,ME-16-10-12213-904,ME-16-01-189-123,3,3,3
ME-12-05-33444-999,0613-04-17,1,1,,,,,SH-15-12-65958-120,ME-16-05-9983-155,3,2,2
0613-04-17,ME-12-04-33577-700,1,1,,,,,ME-18-04-19642-504,ME-16-07-45228-25,1,1,1
ME-16-03-41585-22,ME-13-12-8338-415,,,,,,,ME-15-03-29911-554,ME-16-02-18397-87,1,1,1
SH-11-05-24791-315,ME-16-02-59812-881,1,1,,,,,ME-16-11-69158-529,ME-16-01-3772-806,3,3,3
ME-16-01-31498-921,ME-16-10-9348-780,1,1,,,,,ME-17-02-54432-484,ME-16-05-25902-514,3,3,3
ME-16-08-54879-35,ME-13-05-31862-33,,,,,,,SH-17-10-10556-234,ME-09-06-10774-130,2,2,2
ME-09-11-7566-913,ME-16-06-50916-362,1,1,,,,,sh-10-05-7434-952,ME-21-10-18557-340,1,1,1
ME-20-01-17935-7,SH-23-03-19819-247,2,2,,,,,,,,,
SH-17-08-47445-166,SH-16-11-7544-55,3,3,,,,,,,,,
ME-09-01-4206-239,0520-07-17,,,,,,,,,,,
ME-16-11-13999-863,m01008097-376,1,1,,,,,,,,,
ME-16-06-50916-362,ME-15-03-29911-554,3,3,,,,,,,,,
31249-06-14,ME-16-02-18397-87,,,,,,,,,,,
SH-16-11-49772-358,ME-17-02-54432-484,1,1,,,,,,,,,
ME-14-02-51828-88,ME-14-03-48488-922,1,1,,,,,,,,,
ME-17-03-1995-297,ME-16-08-29984-51,,,,,,,,,,,
ME-14-12-6904-57,ME-18-04-19642-504,1,1,,,,,,,,,
ME-18-10-30972-637,ME-14-11-7498-539,3,3,,,,,,,,,
65912-01-18,SH-16-11-7544-55,,,,,,,,,,,
ME-17-04-19741-416,SH-16-08-44380-642,,,,,,,,,,,
SH-16-12-32560-784,SH-16-11-7544-55,,,,,,,,,,,
ME-16-10-5037-989,0189-01-16,,,,,,,,,,,
ME-16-07-45228-25,13999-11-11,,,,,,,,,,,
ME-16-07-30015-11,29984-08-11,,,,,,,,,,,
ME-17-02-54432-484,ME-16-07-45228-25,3,3,,,,,,,,,
69980-11-20,SH-16-12-32560-784,,,,,,,,,,,
SH-18-10-9569-47,SH-16-11-7544-55,,,,,,,,,,,
2823-11-11,ME-18-04-19642-504,,,,,,,,,,,
ME-09-06-10774-130,SH-20-02-52091-995,2,1,,,,,,,,,
SH-16-09-21813-127,ME-17-02-54432-484,,,,,,,,,,,
SH-15-03-49530-992,ME-16-05-9983-155,2,3,,,,,,,,,
