
=== explainability_drugs_gemma4_31b_or.csv — 100/100 rows to annotate
  [1/100] pair=1  F=3 R=3 C=3  (in=1880 cache_r=0 out=202, 0.14 rows/s)
  [53/100] pair=53  F=3 R=3 C=2  (in=1697 cache_r=2226 out=565, 0.13 rows/s)
  [54/100] pair=54  F=3 R=3 C=3  (in=1686 cache_r=2226 out=234, 0.13 rows/s)
  [55/100] pair=55  F=3 R=3 C=3  (in=1641 cache_r=2227 out=232, 0.13 rows/s)
  [56/100] pair=56  F=3 R=3 C=3  (in=2048 cache_r=2228 out=244, 0.13 rows/s)
  [57/100] pair=57  F=3 R=3 C=2  (in=1502 cache_r=2229 out=220, 0.13 rows/s)
  [58/100] pair=58  F=3 R=3 C=3  (in=1907 cache_r=2229 out=248, 0.13 rows/s)
  [59/100] pair=59  F=3 R=3 C=3  (in=1911 cache_r=2230 out=263, 0.13 rows/s)
  [60/100] pair=60  F=3 R=3 C=3  (in=1524 cache_r=2231 out=222, 0.13 rows/s)
  [61/100] pair=61  F=3 R=3 C=2  (in=1421 cache_r=2231 out=202, 0.13 rows/s)
  [62/100] pair=62  F=3 R=3 C=3  (in=1689 cache_r=2232 out=220, 0.13 rows/s)
  [63/100] pair=63  F=2 R=3 C=3  (in=1822 cache_r=2232 out=659, 0.13 rows/s)
  [64/100] pair=64  F=3 R=3 C=3  (in=1656 cache_r=2233 out=211, 0.13 rows/s)
  [65/100] pair=65  F=3 R=3 C=3  (in=2428 cache_r=2234 out=245, 0.13 rows/s)
  [66/100] pair=66  F=2 R=3 C=3  (in=1914 cache_r=2234 out=249, 0.13 rows/s)
  [67/100] pair=67  F=3 R=3 C=3  (in=1695 cache_r=2235 out=224, 0.13 rows/s)
  [68/100] pair=68  F=3 R=3 C=3  (in=1891 cache_r=2235 out=244, 0.13 rows/s)
  [69/100] pair=69  F=3 R=3 C=2  (in=1777 cache_r=2236 out=802, 0.13 rows/s)
  [70/100] pair=70  F=3 R=3 C=3  (in=1805 cache_r=2236 out=221, 0.13 rows/s)
  [71/100] pair=71  F=3 R=3 C=3  (in=1408 cache_r=2237 out=228, 0.13 rows/s)
  [72/100] pair=72  F=3 R=3 C=3  (in=1499 cache_r=2237 out=194, 0.13 rows/s)
  [73/100] pair=73  F=2 R=3 C=2  (in=1672 cache_r=2237 out=697, 0.13 rows/s)
  [74/100] pair=74  F=3 R=3 C=3  (in=1860 cache_r=2238 out=276, 0.13 rows/s)
  [75/100] pair=75  F=3 R=3 C=3  (in=1749 cache_r=2238 out=228, 0.13 rows/s)
  [76/100] pair=76  F=2 R=3 C=3  (in=1828 cache_r=2239 out=602, 0.13 rows/s)
  [77/100] pair=77  F=3 R=3 C=3  (in=1735 cache_r=2239 out=294, 0.13 rows/s)
  [78/100] pair=78  F=3 R=3 C=3  (in=1756 cache_r=2239 out=220, 0.13 rows/s)
  [79/100] pair=79  F=3 R=3 C=3  (in=1659 cache_r=2240 out=244, 0.13 rows/s)
  [80/100] pair=80  F=3 R=3 C=2  (in=2050 cache_r=2240 out=666, 0.13 rows/s)
  [81/100] pair=81  F=3 R=3 C=3  (in=1534 cache_r=2240 out=225, 0.13 rows/s)
  [82/100] pair=82  F=3 R=3 C=3  (in=1460 cache_r=2241 out=185, 0.13 rows/s)
  [83/100] pair=83  F=3 R=3 C=3  (in=1559 cache_r=2241 out=243, 0.13 rows/s)
  [84/100] pair=84  F=3 R=3 C=3  (in=1567 cache_r=2241 out=220, 0.13 rows/s)
  [85/100] pair=85  F=3 R=3 C=3  (in=1519 cache_r=2242 out=216, 0.13 rows/s)
  [86/100] pair=86  F=3 R=3 C=3  (in=1850 cache_r=2242 out=227, 0.13 rows/s)
  [87/100] pair=87  F=3 R=3 C=3  (in=2018 cache_r=2242 out=252, 0.13 rows/s)
  [88/100] pair=88  F=3 R=3 C=3  (in=1675 cache_r=2243 out=243, 0.13 rows/s)
  [89/100] pair=89  F=3 R=3 C=3  (in=2106 cache_r=2243 out=220, 0.13 rows/s)
  [90/100] pair=90  F=3 R=3 C=3  (in=1964 cache_r=2243 out=207, 0.13 rows/s)
  [91/100] pair=91  F=2 R=3 C=3  (in=1977 cache_r=2244 out=232, 0.13 rows/s)
  [92/100] pair=92  F=3 R=3 C=3  (in=2069 cache_r=2244 out=252, 0.13 rows/s)
  [93/100] pair=93  F=3 R=3 C=3  (in=2202 cache_r=2244 out=271, 0.13 rows/s)
  [94/100] pair=94  F=3 R=3 C=3  (in=2263 cache_r=2244 out=238, 0.13 rows/s)
  [95/100] pair=95  F=2 R=3 C=2  (in=1913 cache_r=2245 out=775, 0.13 rows/s)
  [96/100] pair=96  F=3 R=3 C=3  (in=1977 cache_r=2245 out=233, 0.13 rows/s)
  [97/100] pair=97  F=3 R=3 C=3  (in=1993 cache_r=2245 out=225, 0.13 rows/s)
  [98/100] pair=98  F=3 R=3 C=3  (in=1890 cache_r=2245 out=271, 0.13 rows/s)
  [99/100] pair=99  F=3 R=3 C=3  (in=1834 cache_r=2246 out=219, 0.13 rows/s)
  [100/100] pair=100  F=3 R=3 C=3  (in=1872 cache_r=2246 out=224, 0.13 rows/s)

  Totals: in=172,432  cache_write=2,269  cache_read=224,631  out=28,700  est_cost=$1.71

=== explainability_weapon_gemma4_31b_or.csv — 141/141 rows to annotate
  [1/141] pair=1  F=3 R=3 C=3  (in=1748 cache_r=2269 out=210, 0.12 rows/s)
  [2/141] pair=2  F=3 R=3 C=3  (in=1530 cache_r=2269 out=243, 0.13 rows/s)
  [3/141] pair=3  F=2 R=3 C=2  (in=1888 cache_r=2269 out=783, 0.09 rows/s)
  [4/141] pair=4  F=3 R=3 C=3  (in=1608 cache_r=2269 out=232, 0.10 rows/s)
  [5/141] pair=5  F=3 R=3 C=3  (in=1588 cache_r=2269 out=205, 0.11 rows/s)
  [6/141] pair=6  F=2 R=3 C=3  (in=1360 cache_r=2269 out=572, 0.10 rows/s)
  [7/141] pair=7  F=2 R=3 C=2  (in=1982 cache_r=2269 out=1270, 0.08 rows/s)
  [8/141] pair=8  F=2 R=3 C=2  (in=2122 cache_r=2269 out=1394, 0.08 rows/s)
  [9/141] pair=9  F=3 R=3 C=3  (in=1824 cache_r=2269 out=250, 0.08 rows/s)
  [10/141] pair=10  F=3 R=3 C=3  (in=1609 cache_r=2269 out=220, 0.08 rows/s)
  [11/141] pair=11  F=3 R=3 C=3  (in=1767 cache_r=2269 out=261, 0.09 rows/s)
  [12/141] pair=12  F=2 R=3 C=2  (in=1442 cache_r=2269 out=938, 0.08 rows/s)
  [13/141] pair=13  F=3 R=3 C=3  (in=1709 cache_r=2269 out=210, 0.09 rows/s)
  [14/141] pair=14  F=3 R=3 C=3  (in=2222 cache_r=2269 out=255, 0.09 rows/s)
  [15/141] pair=15  F=2 R=3 C=2  (in=1654 cache_r=2269 out=1204, 0.08 rows/s)
  [16/141] pair=16  F=2 R=3 C=3  (in=2064 cache_r=2269 out=1095, 0.08 rows/s)
  [17/141] pair=17  F=2 R=3 C=2  (in=2382 cache_r=2269 out=1376, 0.08 rows/s)
  [18/141] pair=18  F=3 R=3 C=3  (in=1810 cache_r=2269 out=202, 0.08 rows/s)
  [19/141] pair=19  F=2 R=3 C=3  (in=2002 cache_r=2269 out=950, 0.08 rows/s)
  [20/141] pair=20  F=3 R=3 C=2  (in=1800 cache_r=2269 out=209, 0.08 rows/s)
  [21/141] pair=21  F=2 R=3 C=2  (in=1706 cache_r=2269 out=1128, 0.08 rows/s)
  [22/141] pair=22  F=3 R=3 C=3  (in=1484 cache_r=2269 out=223, 0.08 rows/s)
  [23/141] pair=23  F=3 R=3 C=3  (in=1553 cache_r=2269 out=217, 0.08 rows/s)
  [24/141] pair=24  F=3 R=3 C=3  (in=1701 cache_r=2269 out=230, 0.08 rows/s)
  [25/141] pair=25  F=2 R=3 C=2  (in=2620 cache_r=2269 out=1670, 0.08 rows/s)
  [26/141] pair=26  F=2 R=3 C=3  (in=2064 cache_r=2269 out=971, 0.08 rows/s)
  [27/141] pair=27  F=2 R=3 C=2  (in=1401 cache_r=2269 out=801, 0.07 rows/s)
  [28/141] pair=28  F=3 R=3 C=3  (in=1687 cache_r=2269 out=216, 0.08 rows/s)
  [29/141] pair=29  F=2 R=3 C=2  (in=1874 cache_r=2269 out=786, 0.08 rows/s)
  [30/141] pair=30  F=3 R=3 C=3  (in=1714 cache_r=2269 out=255, 0.08 rows/s)
  [31/141] pair=31  F=2 R=3 C=2  (in=1983 cache_r=2269 out=886, 0.08 rows/s)
  [32/141] pair=32  F=3 R=3 C=2  (in=1601 cache_r=2269 out=900, 0.08 rows/s)
  [33/141] pair=33  F=3 R=3 C=3  (in=1865 cache_r=2269 out=238, 0.08 rows/s)
  [34/141] pair=34  F=3 R=3 C=3  (in=1760 cache_r=2269 out=254, 0.08 rows/s)
  [35/141] pair=35  F=3 R=3 C=3  (in=1528 cache_r=2269 out=258, 0.08 rows/s)
  [36/141] pair=36  F=3 R=3 C=3  (in=1709 cache_r=2269 out=219, 0.08 rows/s)
  [37/141] pair=37  F=3 R=3 C=3  (in=1822 cache_r=2269 out=218, 0.08 rows/s)
  [38/141] pair=38  F=3 R=3 C=2  (in=2147 cache_r=2269 out=702, 0.08 rows/s)
  [39/141] pair=39  F=1 R=3 C=2  (in=2020 cache_r=2269 out=1189, 0.08 rows/s)
  [40/141] pair=40  F=3 R=3 C=2  (in=1699 cache_r=2269 out=1051, 0.08 rows/s)
  [41/141] pair=41  F=2 R=3 C=3  (in=1842 cache_r=2269 out=811, 0.08 rows/s)
  [42/141] pair=42  F=2 R=3 C=2  (in=2161 cache_r=2269 out=1002, 0.08 rows/s)
  [43/141] pair=43  F=2 R=3 C=2  (in=1733 cache_r=2269 out=1014, 0.08 rows/s)
  [44/141] pair=44  F=2 R=3 C=2  (in=1463 cache_r=2269 out=603, 0.08 rows/s)
  [45/141] pair=45  F=3 R=3 C=3  (in=1933 cache_r=2269 out=259, 0.08 rows/s)
  [46/141] pair=46  F=2 R=3 C=2  (in=1885 cache_r=2269 out=1256, 0.07 rows/s)
  [47/141] pair=47  F=2 R=3 C=3  (in=1793 cache_r=2269 out=569, 0.07 rows/s)
  [48/141] pair=48  F=3 R=3 C=3  (in=1803 cache_r=2269 out=237, 0.08 rows/s)
  [49/141] pair=49  F=3 R=3 C=3  (in=1928 cache_r=2269 out=228, 0.08 rows/s)
  [50/141] pair=50  F=2 R=3 C=2  (in=1404 cache_r=2269 out=853, 0.08 rows/s)
  [51/141] pair=51  F=3 R=3 C=3  (in=1647 cache_r=2269 out=227, 0.08 rows/s)
  [52/141] pair=52  F=1 R=3 C=2  (in=1857 cache_r=2269 out=819, 0.08 rows/s)
  [53/141] pair=53  F=2 R=3 C=3  (in=1776 cache_r=2269 out=1007, 0.08 rows/s)
  [54/141] pair=54  F=2 R=3 C=3  (in=1819 cache_r=2269 out=1068, 0.08 rows/s)
  [55/141] pair=55  F=2 R=3 C=3  (in=1539 cache_r=2269 out=899, 0.07 rows/s)
  [56/141] pair=56  F=3 R=3 C=3  (in=1726 cache_r=2269 out=245, 0.08 rows/s)
  [57/141] pair=57  F=3 R=3 C=3  (in=1619 cache_r=2269 out=203, 0.08 rows/s)
  [58/141] pair=58  F=3 R=3 C=3  (in=1429 cache_r=2269 out=209, 0.08 rows/s)
  [59/141] pair=59  F=2 R=3 C=3  (in=1757 cache_r=2269 out=1268, 0.08 rows/s)
  [60/141] pair=60  F=2 R=3 C=3  (in=1692 cache_r=2269 out=465, 0.08 rows/s)
  [61/141] pair=61  F=2 R=3 C=2  (in=1444 cache_r=2269 out=565, 0.08 rows/s)
  [62/141] pair=62  F=3 R=3 C=3  (in=2464 cache_r=2269 out=963, 0.08 rows/s)
  [63/141] pair=63  F=3 R=3 C=3  (in=1534 cache_r=2269 out=225, 0.08 rows/s)
  [64/141] pair=64  F=2 R=3 C=1  (in=1537 cache_r=2269 out=949, 0.08 rows/s)
  [65/141] pair=65  F=3 R=3 C=3  (in=1475 cache_r=2269 out=211, 0.08 rows/s)
  [66/141] pair=66  F=3 R=3 C=3  (in=1509 cache_r=2269 out=254, 0.08 rows/s)
  [67/141] pair=67  F=3 R=3 C=3  (in=2056 cache_r=2269 out=246, 0.08 rows/s)
  [68/141] pair=68  F=2 R=3 C=2  (in=2001 cache_r=2269 out=758, 0.08 rows/s)
  [69/141] pair=69  F=3 R=3 C=3  (in=1692 cache_r=2269 out=241, 0.08 rows/s)
  [70/141] pair=70  F=3 R=3 C=3  (in=1809 cache_r=2269 out=207, 0.08 rows/s)
  [71/141] pair=71  F=2 R=3 C=3  (in=1905 cache_r=2269 out=818, 0.08 rows/s)
  [72/141] pair=72  F=2 R=3 C=2  (in=1585 cache_r=2269 out=950, 0.08 rows/s)
  [73/141] pair=73  F=3 R=3 C=2  (in=1747 cache_r=2269 out=987, 0.08 rows/s)
  [74/141] pair=74  F=3 R=3 C=2  (in=1417 cache_r=2269 out=267, 0.08 rows/s)
  [75/141] pair=75  F=3 R=3 C=3  (in=1813 cache_r=2269 out=546, 0.08 rows/s)
  [76/141] pair=76  F=2 R=3 C=3  (in=1450 cache_r=2269 out=503, 0.08 rows/s)
  [77/141] pair=77  F=1 R=3 C=2  (in=1700 cache_r=2269 out=705, 0.08 rows/s)
  [78/141] pair=78  F=3 R=3 C=2  (in=1492 cache_r=2269 out=985, 0.08 rows/s)
  [79/141] pair=79  F=3 R=3 C=3  (in=1997 cache_r=2269 out=251, 0.08 rows/s)
  [80/141] pair=80  F=3 R=3 C=3  (in=1528 cache_r=2269 out=235, 0.08 rows/s)
  [81/141] pair=81  F=1 R=3 C=3  (in=1899 cache_r=2269 out=905, 0.08 rows/s)
  [82/141] pair=82  F=1 R=3 C=2  (in=1915 cache_r=2269 out=1042, 0.08 rows/s)
  [83/141] pair=83  F=2 R=3 C=3  (in=1586 cache_r=2269 out=1079, 0.08 rows/s)
  [84/141] pair=84  F=3 R=3 C=3  (in=1618 cache_r=2269 out=198, 0.08 rows/s)
  [85/141] pair=85  F=3 R=3 C=3  (in=1675 cache_r=2269 out=205, 0.08 rows/s)
  [86/141] pair=86  F=1 R=3 C=3  (in=1972 cache_r=2269 out=1155, 0.08 rows/s)
  [87/141] pair=87  F=3 R=3 C=3  (in=1659 cache_r=2269 out=197, 0.08 rows/s)
  [88/141] pair=88  F=3 R=3 C=3  (in=1542 cache_r=2269 out=223, 0.08 rows/s)
  [89/141] pair=89  F=2 R=3 C=2  (in=1858 cache_r=2269 out=920, 0.08 rows/s)
  [90/141] pair=90  F=3 R=3 C=3  (in=1862 cache_r=2269 out=320, 0.08 rows/s)
  [91/141] pair=91  F=3 R=3 C=3  (in=1601 cache_r=2269 out=217, 0.08 rows/s)
  [92/141] pair=92  F=2 R=3 C=3  (in=2144 cache_r=2269 out=593, 0.08 rows/s)
  [93/141] pair=93  F=2 R=3 C=2  (in=1397 cache_r=2269 out=920, 0.08 rows/s)
  [94/141] pair=94  F=2 R=3 C=2  (in=1921 cache_r=2269 out=966, 0.08 rows/s)
  [95/141] pair=95  F=3 R=3 C=3  (in=1470 cache_r=2269 out=244, 0.08 rows/s)
  [96/141] pair=96  F=3 R=3 C=3  (in=1745 cache_r=2269 out=237, 0.08 rows/s)
  [97/141] pair=97  F=3 R=3 C=3  (in=1466 cache_r=2269 out=241, 0.08 rows/s)
  [98/141] pair=98  F=2 R=3 C=2  (in=2215 cache_r=2269 out=1298, 0.08 rows/s)
  [99/141] pair=99  F=3 R=3 C=3  (in=1950 cache_r=2269 out=221, 0.08 rows/s)
  [100/141] pair=100  F=3 R=3 C=3  (in=1555 cache_r=2269 out=187, 0.08 rows/s)
  [101/141] pair=101  F=2 R=3 C=2  (in=2201 cache_r=2269 out=1100, 0.08 rows/s)
  [102/141] pair=102  F=2 R=3 C=2  (in=1988 cache_r=2269 out=1242, 0.08 rows/s)
  [103/141] pair=103  F=3 R=3 C=3  (in=1763 cache_r=2269 out=222, 0.08 rows/s)
  [104/141] pair=104  F=1 R=3 C=2  (in=1533 cache_r=2269 out=1003, 0.08 rows/s)
  [105/141] pair=105  F=2 R=3 C=2  (in=2447 cache_r=2269 out=1048, 0.08 rows/s)
  [106/141] pair=106  F=3 R=3 C=2  (in=1369 cache_r=2269 out=608, 0.08 rows/s)
  [107/141] pair=107  F=3 R=3 C=2  (in=1818 cache_r=2269 out=969, 0.08 rows/s)
  [108/141] pair=108  F=2 R=3 C=2  (in=2265 cache_r=2269 out=1491, 0.08 rows/s)
  [109/141] pair=109  F=2 R=3 C=2  (in=1505 cache_r=2269 out=509, 0.08 rows/s)
  [110/141] pair=110  F=3 R=3 C=2  (in=1753 cache_r=2269 out=1295, 0.08 rows/s)
  [111/141] pair=111  F=2 R=3 C=2  (in=1319 cache_r=2269 out=816, 0.08 rows/s)
  [112/141] pair=112  F=2 R=3 C=3  (in=1601 cache_r=2269 out=247, 0.08 rows/s)
  [113/141] pair=113  F=2 R=3 C=3  (in=1818 cache_r=2269 out=460, 0.08 rows/s)
  [114/141] pair=114  F=3 R=3 C=3  (in=1516 cache_r=2269 out=254, 0.08 rows/s)
  [115/141] pair=115  F=3 R=3 C=3  (in=1849 cache_r=2269 out=261, 0.08 rows/s)
  [116/141] pair=116  F=3 R=3 C=3  (in=1548 cache_r=2269 out=239, 0.08 rows/s)
  [117/141] pair=117  F=2 R=3 C=3  (in=1914 cache_r=2269 out=785, 0.08 rows/s)
  [118/141] pair=118  F=3 R=3 C=3  (in=1394 cache_r=2269 out=200, 0.08 rows/s)
  [119/141] pair=119  F=3 R=3 C=3  (in=1470 cache_r=2269 out=225, 0.08 rows/s)
  [120/141] pair=120  F=3 R=3 C=3  (in=1781 cache_r=2269 out=191, 0.08 rows/s)
  [121/141] pair=121  F=3 R=3 C=2  (in=1410 cache_r=2269 out=236, 0.08 rows/s)
  [122/141] pair=122  F=3 R=3 C=3  (in=1424 cache_r=2269 out=216, 0.08 rows/s)
  [123/141] pair=123  F=3 R=3 C=3  (in=1817 cache_r=2269 out=242, 0.08 rows/s)
  [124/141] pair=124  F=3 R=3 C=2  (in=1685 cache_r=2269 out=208, 0.08 rows/s)
  [125/141] pair=125  F=2 R=3 C=2  (in=1792 cache_r=2269 out=1288, 0.08 rows/s)
  [126/141] pair=126  F=3 R=3 C=3  (in=1782 cache_r=2269 out=196, 0.08 rows/s)
  [127/141] pair=127  F=3 R=3 C=3  (in=2051 cache_r=2269 out=237, 0.08 rows/s)
  [128/141] pair=128  F=3 R=3 C=3  (in=1739 cache_r=2269 out=182, 0.08 rows/s)
  [129/141] pair=129  F=2 R=3 C=2  (in=1775 cache_r=2269 out=802, 0.08 rows/s)
  [130/141] pair=130  F=3 R=3 C=3  (in=1890 cache_r=2269 out=228, 0.08 rows/s)
  [131/141] pair=131  F=2 R=3 C=2  (in=1735 cache_r=2269 out=1103, 0.08 rows/s)
  [132/141] pair=132  F=2 R=3 C=2  (in=1367 cache_r=2269 out=881, 0.08 rows/s)
  [133/141] pair=133  F=2 R=3 C=2  (in=1870 cache_r=2269 out=997, 0.08 rows/s)
  [134/141] pair=134  F=2 R=3 C=2  (in=2180 cache_r=2269 out=992, 0.08 rows/s)
  [135/141] pair=135  F=3 R=3 C=3  (in=1742 cache_r=2269 out=197, 0.08 rows/s)
  [136/141] pair=136  F=3 R=3 C=3  (in=1894 cache_r=2269 out=220, 0.08 rows/s)
  [137/141] pair=137  F=3 R=3 C=3  (in=1990 cache_r=2269 out=244, 0.08 rows/s)
  [138/141] pair=138  F=3 R=3 C=3  (in=1995 cache_r=2269 out=220, 0.08 rows/s)
  [139/141] pair=139  F=3 R=3 C=2  (in=1713 cache_r=2269 out=1022, 0.08 rows/s)
  [140/141] pair=140  F=3 R=3 C=3  (in=1356 cache_r=2269 out=242, 0.08 rows/s)
  [141/141] pair=141  F=3 R=3 C=3  (in=1489 cache_r=2269 out=217, 0.08 rows/s)

  Totals: in=247,608  cache_write=0  cache_read=319,929  out=83,302  est_cost=$3.48
