verdict_1,verdict_2,GT,model_score,raw
ME-16-05-336-804,ME-14-12-6904-57,3,70.0,SIMILARITY_SCORE: 70
ME-15-12-39071-113,ME-13-02-28360-614,1,75.0,SIMILARITY_SCORE: 75
ME-16-02-59812-881,ME-22-03-52964-443,3,35.0,SIMILARITY_SCORE: 35
ME-20-01-62688-591,ME-17-05-35227-215,1,70.0,SIMILARITY_SCORE: 70
ME-16-06-64845-657,ME-12-03-13401-281,1,25.0,SIMILARITY_SCORE: 25
SH-14-02-28659-762,ME-16-05-19384-544,1,5.0,SIMILARITY_SCORE: 5
ME-20-01-62688-591,ME-22-03-52964-443,2,30.0,SIMILARITY_SCORE: 30
ME-19-01-53615-8,ME-16-11-69158-529,3,90.0,SIMILARITY_SCORE: 90
ME-15-12-39071-113,sh-10-05-7434-952,3,40.0,SIMILARITY_SCORE: 40
ME-16-06-44840-433,ME-12-09-51207-971,1,88.0,SIMILARITY_SCORE: 88
ME-12-05-33444-999,ME-17-04-613-913,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-05-19384-544,ME-16-03-54615-517,3,65.0,SIMILARITY_SCORE: 65
ME-17-04-613-913,ME-12-04-33577-700,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-04-12480-812,SH-16-05-42991-439,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-05-9968-487,ME-13-04-35007-454,3,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-21-10-18557-340,ME-16-10-9348-780,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-11-69158-529,ME-14-12-6904-57,2,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
SH-11-05-24791-315,ME-16-10-9348-780,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-15-12-39071-113,ME-10-08-17917-313,3,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-15-12-39071-113,SH-11-12-35552-181,3,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-11-69158-529,ME-16-10-12213-904,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
SH-16-11-7544-55,ME-13-10-28139-807,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-03-59260-279,ME-16-08-54879-35,2,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-06-42987-901,ME-12-03-13401-281,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
SH-16-04-30406-325,SH-16-11-7544-55,3,35.0,SIMILARITY_SCORE: 35
SH-18-07-52337-770,SH-16-11-7544-55,3,,"**ניתוח ממדים:**

1.  **סוג העבירה וחומרתה:**
    *   **תיק 1:** החזקת נשק חם שלא כדין, כולל סעיפים 144(א) ו-144(ב) (נשיאה/הובלה). לא היה שימוש בנשק.
    *   **תיק 2:** החזקת נשק (144(א)), אך עם רשימה חמורה של עבירות נוספות: חבלה חמורה, חבלה כשעבריין מזויין, נשיאת נשק (שהיא למעשה 144(ב)), ירי מ"
ME-22-03-52964-443,SH-17-08-47445-166,1,25.0,SIMILARITY_SCORE: 25
SH-20-02-52091-995,SH-16-11-7544-55,3,25.0,SIMILARITY_SCORE: 25
SH-14-02-28659-762,SH-16-05-42991-439,2,40.0,SIMILARITY_SCORE: 40
ME-16-11-13999-863,ME-21-10-18557-340,1,12.0,SIMILARITY_SCORE: 12
ME-14-10-31218-522,ME-17-05-35227-215,1,35.0,SIMILARITY_SCORE: 35
SH-16-11-7544-55,SH-15-03-49530-992,3,60.0,SIMILARITY_SCORE: 60
ME-16-10-12213-904,ME-16-01-189-123,3,88.0,SIMILARITY_SCORE: 88
SH-15-12-65958-120,ME-16-05-9983-155,2,25.0,SIMILARITY_SCORE: 25
ME-18-04-19642-504,ME-16-07-45228-25,1,35.0,SIMILARITY_SCORE: 35
ME-15-03-29911-554,ME-16-02-18397-87,1,75.0,SIMILARITY_SCORE: 75
ME-16-11-69158-529,ME-16-01-3772-806,3,95.0,SIMILARITY_SCORE: 95
sh-10-05-7434-952,ME-21-10-18557-340,1,5.0,SIMILARITY_SCORE: 5
ME-17-02-54432-484,ME-16-05-25902-514,3,70.0,SIMILARITY_SCORE: 70
SH-10-02-25802-731,ME-13-04-35007-454,1,5.0,SIMILARITY_SCORE: 5
SH-17-10-10556-234,ME-09-06-10774-130,2,,"SIMILARITY_SCORE: X כאשר X הוא מספר שלם בין 0 ל-100. 0 = שונים לחלוטין, 100 = זהים כמעט. ציון מעל 50 = תקדים רלוונטי.""

So, I need to decide if the similarities (loaded pistol, no planning/use, non-initiator) are strong enough to overcome the 144(a) vs 144(b) distinction to push it above 50. The instruction says ""כמעט אף פעם לא מהווה תקדים"". This strongly suggests *below* 50.

So, the question is how close to 50 can it be while still being ""not relevant"
ME-16-10-12213-904,ME-15-02-9111-399,1,65.0,SIMILARITY_SCORE: 65
ME-16-05-25902-514,SH-11-01-41775-497,3,35.0,SIMILARITY_SCORE: 35
ME-18-05-32659-754,ME-16-08-54879-35,3,70.0,SIMILARITY_SCORE: 70
ME-17-05-35227-215,ME-15-02-9111-399,1,35.0,SIMILARITY_SCORE: 35
ME-16-04-12480-812,ME-12-03-15148-775,1,40.0,SIMILARITY_SCORE: 40
SH-23-03-19819-247,SH-16-11-7544-55,3,25.0,SIMILARITY_SCORE: 25
ME-16-02-59812-881,ME-16-03-54615-517,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-15-12-39071-113,ME-16-10-12213-904,1,35.0,SIMILARITY_SCORE: 35
ME-16-08-44157-713,ME-17-05-35227-215,2,45.0,SIMILARITY_SCORE: 45
ME-10-08-17917-313,ME-16-04-12480-812,1,5.0,SIMILARITY_SCORE: 5
ME-20-07-29529-567,ME-16-08-54879-35,2,75.0,SIMILARITY_SCORE: 75
SH-09-05-9349-998,ME-20-07-29529-567,1,15.0,SIMILARITY_SCORE: 15
ME-22-03-46930-359,ME-16-03-59260-279,1,35.0,SIMILARITY_SCORE: 35
ME-17-10-62597-895,SH-15-12-65958-120,1,35.0,SIMILARITY_SCORE: 35
ME-16-02-18397-87,ME-12-03-13401-281,1,25.0,SIMILARITY_SCORE: 25
ME-13-02-28360-614,ME-16-06-44840-433,1,68.0,SIMILARITY_SCORE: 68
SH-18-06-11098-353,SH-16-11-7544-55,3,40.0,SIMILARITY_SCORE: 40
ME-14-07-13179-197,m08000207-175,1,,"**ניתוח והערכה:**

1.  **סוג העבירה וחומרתה:**
    *   **תיק 1:** עבירות ליבה הן נשיאת נשק (144(ב)), החזקת נשק (144(א)), ונשיאת נשק טעון/מוכן לשימוש (144(ג)(1)). חומרת התיק עולה באופן דרמטי בשל עבירות נלוות חמורות ביותר: ירי באזור מגורים (192), שיבוש מהלכי משפט (244), הפרת הוראה חוקית (287(א)), גניבה (384),"
SH-17-04-19242-11,SH-16-11-7544-55,3,40.0,SIMILARITY_SCORE: 40
ME-14-10-31218-522,ME-14-12-6904-57,1,25.0,SIMILARITY_SCORE: 25
ME-16-10-9348-780,ME-17-05-35227-215,1,65.0,SIMILARITY_SCORE: 65
ME-16-06-42987-901,ME-12-04-33577-700,2,88.0,SIMILARITY_SCORE: 88
ME-13-10-53169-537,ME-13-10-28139-807,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-15-08-44579-251,SH-17-04-19242-11,1,45.0,SIMILARITY_SCORE: 45
ME-15-06-12109-344,SH-14-11-8987-965,1,10.0,SIMILARITY_SCORE: 10
ME-21-10-18557-340,ME-16-12-50986-619,3,85.0,SIMILARITY_SCORE: 85
SH-15-12-65958-120,SH-16-09-33552-535,3,88.0,SIMILARITY_SCORE: 88
ME-16-05-9968-487,SH-11-01-41775-497,2,65.0,SIMILARITY_SCORE: 65
ME-19-04-1316-977,ME-16-05-19384-544,1,40.0,SIMILARITY_SCORE: 40
SH-16-02-10948-419,SH-16-11-19417-55,3,25.0,SIMILARITY_SCORE: 25
ME-22-03-52964-443,ME-17-05-35227-215,3,65.0,SIMILARITY_SCORE: 65
ME-18-04-19642-504,ME-21-10-18557-340,3,85.0,SIMILARITY_SCORE: 85
ME-16-03-59260-279,SH-11-12-35552-181,2,40.0,SIMILARITY_SCORE: 40
ME-16-06-44840-433,ME-14-10-31218-522,1,75.0,SIMILARITY_SCORE: 75
sh-10-05-7434-952,SH-18-06-11098-353,3,30.0,SIMILARITY_SCORE: 30
SH-14-11-8987-965,ME-16-12-50986-619,1,5.0,SIMILARITY_SCORE: 5
SH-19-07-60805-168,SH-16-11-7544-55,2,20.0,SIMILARITY_SCORE: 20
SH-16-09-33552-535,ME-16-11-56385-886,1,70.0,SIMILARITY_SCORE: 70
ME-17-08-28615-573,ME-17-05-35227-215,3,90.0,SIMILARITY_SCORE: 90
SH-16-11-7544-55,ME-16-10-12213-904,1,85.0,SIMILARITY_SCORE: 85
ME-15-02-9111-399,ME-14-07-13179-197,1,35.0,SIMILARITY_SCORE: 35
SH-20-02-52091-995,ME-17-05-35227-215,1,75.0,SIMILARITY_SCORE: 75
SH-16-11-19417-55,SH-16-11-7544-55,3,15.0,SIMILARITY_SCORE: 15
ME-19-01-53615-8,SH-15-12-65958-120,1,10.0,SIMILARITY_SCORE: 10
SH-14-02-28659-762,SH-17-10-10556-234,3,35.0,SIMILARITY_SCORE: 35
m07001074-98,ME-17-05-35227-215,1,25.0,SIMILARITY_SCORE: 25
SH-18-07-52337-770,ME-16-06-50916-362,1,25.0,SIMILARITY_SCORE: 25
SH-17-11-53539-235,m07001074-98,3,85.0,SIMILARITY_SCORE: 85
SH-11-05-24791-315,ME-16-02-59812-881,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-21-06-43085-219,SH-17-08-47445-166,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-05-19384-544,m08000207-175,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-09-11-7566-913,ME-16-06-50916-362,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-20-01-17935-7,SH-23-03-19819-247,2,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
SH-17-08-47445-166,SH-16-11-7544-55,3,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-01-31498-921,ME-16-10-9348-780,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-11-13999-863,m01008097-376,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-06-50916-362,ME-15-03-29911-554,3,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
SH-16-11-49772-358,ME-17-02-54432-484,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-14-02-51828-88,ME-14-03-48488-922,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-18-10-30972-637,ME-14-11-7498-539,3,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-17-02-54432-484,ME-16-07-45228-25,3,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
SH-15-03-49530-992,ME-16-05-9983-155,2,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-09-06-10774-130,SH-20-02-52091-995,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-14-12-6904-57,ME-18-04-19642-504,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-11-69158-529,ME-12-03-13401-281,3,85.0,SIMILARITY_SCORE: 85
