verdict_1,verdict_2,GT,model_score,raw
ME-16-10-12213-904,ME-09-05-16192-355,3,45,"בוחנת את שני התיקים לפי הממדים המשפטיים המהותיים:

**1. סוג העבירה וחומרתה:**
- שניהם 144(ב) - נשיאת/הובלת נשק ✓
- שניהם תת-מקלע (מאולתר/רגיל) ✓
- חומרה דומה בסיסית ✓

**2. תפקיד הנאשם ומעורבותו:**
- תיק 1: טוען שמצא את הנשק
- תיק 2: לא מצוין אופן קבלה
- שניהם נושאים/מובילים (לא סוחרים/יזמים) ✓

**3. שיטת ביצוע (MO):**
- שניהם הובלה ברכב ✓
- תיק 1: מוסלק ומוסתר במכוון + תכנון
- תיק 2: לא מוסתר במיוחד, ללא תכנון
- הבדל משמעותי בכוונה ובזהירות ✗

**4. נסיבות הליבה:**
- **הבדל קריטי**: 
  - תיק 1: מחסנית ריקה + כדור בודד (כמעט אין תחמושת)
  - תיק 2: מחסנית טעונה ב-10 כדורים **בהכנס לנשק** (מוכן לשימוש מיידי)
- תיק 2 מסוכן פי כמה - נשק מוכן לירי לעומת נשק כמעט לא מזוין ✗✗
- תיק 1: תכנון והסתרה (מחמיר)
- תיק 2: ללא תכנון (מקל יחסית)

**5. ישימות כתקדים:**
- שניהם 144(ב) עם תת-מקלע - רלוונטיים בסיסית
- אך: הפער בין נשק כמעט לא מזוין לנשק טעון ומוכן לשימוש הוא **מהותי מאוד** לענישה
- בתי משפט רואים ""נשק עם מחסנית בהכנס"" כמחמיר משמעותית

**מסקנה:** דמיון חלקי בלבד. אותה עבירה ואותו סוג נשק, אך"
ME-16-10-9348-780,SH-10-02-25802-731,1,35,SIMILARITY_SCORE: 35
ME-16-05-25902-514,ME-12-05-33444-999,3,42,"בואי נבחן את הממדים המהותיים:

1. **סוג העבירה וחומרתה**: תיק 1 כולל גם 144(ב) (נשיאה/הובלה) בנוסף ל-144(א), ואילו תיק 2 הוא 144(א) בלבד. זהו הבדל מהותי משמעותי.

2. **תפקיד הנאשם ומעורבותו**: שני התיקים מדברים על החזקה אישית להגנה עצמית, לא סחר או יזמות פלילית - דומה.

3. **שיטת הביצוע (MO)**: תיק 1 - נשיאה על הגוף + החזקה בבית. תיק 2 - החזקה ברכב מוסתרת בלבד. הבדל משמעותי באופי המעשה.

4. **נסיבות הליבה**: 
   - תיק 1: אקדח אחד, מחסנית אחת (7 כדורים)
   - תיק 2: אקדח אחד, 3 מחסניות (כמות גדולה יותר)
   - שניהם: נשק מוכן לשימוש, אותה מטרה מוצהרת, אין שימוש בפועל

5. **ישימות כתקדים**: ההבדל בין 144(א) בלבד ל-144(א)+144(ב) הוא קריטי. בית משפט יתקשה להשתמש בתיק 2 כתקדים לתיק 1 בגלל היעדר רכיב הנשיאה הפעילה על הגוף, שהוא מחמיר משמעותית.

**מסקנה**: קיים דמיון חלקי (אותו סוג נשק, מטרה דומה, אין שימוש), אך ההבדל המהותי בסעיפי האישום והיעדר רכיב הנשיאה בתיק 2 מקטין משמעותית את הרלוונטיות כתקדים.

SIMILARITY_SCORE: 42"
ME-15-08-44579-251,ME-14-12-6904-57,2,42,"בואי ננתח את שני התיקים לפי הממדים המשפטיים המהותיים:

**1. סוג העבירה וחומרתה:**
- שניהם 144(ב) - נשיאת/הובלת נשק ✓
- אך תיק 2 כולל תת""מ מאולתר (חמור יותר מאקדח) וגם עבירת סמים נוספת

**2. תפקיד הנאשם ומעורבותו:**
- תיק 1: לא ברור, אך נראה מקרי/פסיבי יותר
- תיק 2: רכש פעיל, תכנון מוקדם, מעורבות אקטיבית

**3. שיטת הביצוע:**
- תיק 1: ברכב, מוסלק
- תיק 2: בבית + על גופו, מוסלק, רכש מתוכנן
- דפוסים שונים למדי

**4. נסיבות הליבה:**
- שניהם: נשק מופרד מתחמושת ✓
- תיק 1: מחסנית ריקה (0 כדורים) - מקל משמעותית
- תיק 2: מחסנית עם תחמושת, תכנון, מטרה מוצהרת, תת""מ מאולתר
- פער משמעותי בחומרה

**5. ישימות כתקדים:**
- שניהם 144(ב) - בסיס משותף
- אך הפערים בחומרה (תת""מ vs אקדח, תחמושת vs ריק, תכנון vs לא) משמעותיים
- תיק 2 חמור בהרבה - שימוש כתקדים מוגבל

**מסקנה:** דמיון חלקי בלבד. אותה עבירה בסיסית, אך פערי חומרה ונסיבות משמעותיים.

SIMILARITY_SCORE: 42"
ME-17-05-633-549,ME-16-03-54615-517,2,72,SIMILARITY_SCORE: 72
ME-20-01-62688-591,ME-16-09-398-589,3,92,SIMILARITY_SCORE: 92
ME-16-06-42987-901,ME-16-06-44840-433,3,72,SIMILARITY_SCORE: 72
ME-21-10-18557-340,SH-11-01-41775-497,1,25,"בואי נבחן את הממדים המהותיים:

**1. סוג העבירה וחומרתה:**
- תיק 1: 144(א)+144(ב) + **ירי בפועל** (עבירה נוספת חמורה)
- תיק 2: 144(א)+144(ב) בלבד, ללא שימוש
- הפער: תיק 1 חמור משמעותית יותר

**2. תפקיד ומעורבות:**
- תיק 1: שימוש אקטיבי בנשק (ירי)
- תיק 2: החזקה פסיבית
- הפער מהותי

**3. שיטת ביצוע:**
- תיק 1: תת-מקלע מאולתר, נשק עם כדור בקנה (מוכן לשימוש מיידי)
- תיק 2: אקדח, נשק מופרד מתחמושת
- הבדל משמעותי ברמת המסוכנות

**4. נסיבות הליבה:**
- תיק 1: סכסוך + ירי בפועל = נסיבה מחמירה קיצונית
- תיק 2: הגנה עצמית (טענה), ללא שימוש = נסיבה מקלה יחסית
- כמות תחמושת דומה, אך לא מהותית כאשר יש ירי בפועל

**5. ישימות כתקדים:**
- תיק עם ירי בפועל כמעט אף פעם לא ישמש תקדים לתיק החזקה בלבד
- ההבדל בחומרה גדול מדי

**SIMILARITY_SCORE: 25**"
ME-16-06-42987-901,ME-14-10-31218-522,1,25,SIMILARITY_SCORE: 25
ME-18-05-32659-754,ME-15-02-9111-399,2,45,"בואי ננתח את שני התיקים לפי הממדים המשפטיים המהותיים:

**1. סוג העבירה וחומרתה:**
- תיק 1: 144(ב) - נשיאה/הובלה
- תיק 2: 144(א)+144(ב) - החזקה ונשיאה
- שניהם כוללים 144(ב) - דמיון גבוה

**2. תפקיד הנאשם ומעורבותו:**
- שניהם מחזיקים/נושאים נשק - מעורבות דומה (לא סוחרים/יזמים)

**3. שיטת הביצוע:**
- תיק 1: תת-מקלע מאולתר + 2 רימוני הלם/גז ברכב
- תיק 2: אקדח על הגוף
- הבדל משמעותי: תת-מקלע+רימונים לעומת אקדח בלבד

**4. נסיבות הליבה:**
- תיק 1: נשק כבד יותר (תת-מקלע+רימונים), 19 כדורים סה""כ, נשק מופרד, ברכב, ללא שימוש
- תיק 2: אקדח, 13 כדורים, נשק מופרד, על הגוף, ללא שימוש
- חומרה: תיק 1 חמור יותר (תת-מקלע+רימונים)

**5. ישימות כתקדים:**
- שניהם 144(ב), ללא שימוש, נשק מופרד
- אך ההבדל בסוג הנשק (תת-מקלע+רימונים vs אקדח) משמעותי לענישה
- תיק 1 כולל גם הפרעה לשוטר - נסיבה מחמירה נוספת

**מסקנה:** דמיון בסיסי (שניהם 144ב, ללא שימוש), אך הבדלים מהותיים בחומרת הנשק והנסיבות.

SIMILARITY_SCORE: 45"
ME-16-05-336-804,ME-16-11-69158-529,3,72,"# ניתוח דמיון מהותי

## 1. סוג העבירה וחומרתה
- **שניהם**: 144(ב) - נשיאת/הובלת נשק
- **שניהם**: תת-מקלע (מאולתר/רגיל)
- **חומרה דומה**: שני תיקים חמורים של נשק אוטומטי

## 2. תפקיד הנאשם ומעורבותו
- **שניהם**: נשיאה/החזקה פעילה של נשק
- **שניהם**: מעורבות ישירה בשימוש בנשק

## 3. שיטת הביצוע (MO)
- **שניהם**: נשק ברכב
- **שניהם**: ביצעו ירי בפועל
- **הבדל**: תיק 1 - נשק על הגוף גם כן; תיק 2 - נשק מוסתר/מוסלק

## 4. נסיבות הליבה
- **תחמושת**: תיק 1 - 26 כדורים מפוזרים + מחסניות ריקות; תיק 2 - מחסנית טעונה + כדור בקנה (מסוכן יותר)
- **תכנון**: תיק 1 - לא; תיק 2 - כן (מחמיר)
- **שימוש בפועל**: שניהם ירי, אך תיק 2 כולל ""ירי באזור מגורים"" (מחמיר משמעותית)
- **מטרה**: תיק 2 - חתונה (הקלה יחסית); תיק 1 - לא צוין

## 5. ישימות כתקדים
- **דמיון מהותי**: שני תיקי 144(ב) עם תת-מקלע + ירי בפועל
- **הבדלים משמעותיים**: 
  - תיק 2 חמור יותר: תכנון + כדור בקנה + ירי באזור מגורים
  - תיק 1: נשק מאולתר (לעיתים נתפס כפחות חמור)

**מסקנה**: דמיון גבוה - שני תיקים של נשק אוטומטי עם שימוש בפועל, אך תיק 2 "
SH-17-10-10556-234,m07001074-98,2,35,"אנתח את הדמיון המהותי בין שני התיקים:

**1. סוג העבירה וחומרתה:**
- שניהם 144(א) - החזקה בלבד (לא נשיאה/הובלה)
- אך חומרה שונה מהותית: תיק 1 - אקדח תקין עם תחמושת מוכנה לשימוש (10 כדורים במחסנית)
- תיק 2 - תת מקלע מפורק ותקול, ללא תחמושת כלל (מחסניות ריקות)

**2. תפקיד הנאשם ומעורבותו:**
- תיק 1: החזקה פעילה של נשק מוכן
- תיק 2: טוען שמצא, נשק לא מוכן לשימוש

**3. שיטת ביצוע:**
- שניהם הסתרה/הסלקה ליד/בבית
- דמיון טכני בלבד

**4. נסיבות הליבה:**
- תיק 1: **סכנה ממשית** - נשק מוכן לירי מיידי
- תיק 2: **סכנה מופחתת משמעותית** - נשק מפורק, תקול, ללא תחמושת
- הפער בחומרה עצום

**5. ישימות כתקדים:**
- בתי משפט מבחינים בחדות בין נשק מוכן לשימוש לנשק תקול/מפורק
- הנוכחות/היעדר תחמושת היא פקטור מכריע בענישה
- תיק 2 יקבל ככל הנראה ענישה קלה משמעותית

**מסקנה:** למרות שמדובר באותה עבירה טכנית (144א), הפער בחומרה המהותית גדול מדי לתקדים אפקטיבי.

SIMILARITY_SCORE: 35"
SH-19-07-60805-168,ME-14-10-31218-522,1,25,SIMILARITY_SCORE: 25
ME-16-06-44840-433,SH-11-05-24791-315,1,25,SIMILARITY_SCORE: 25
ME-16-08-229-604,ME-16-05-19384-544,1,72,SIMILARITY_SCORE: 72
ME-16-02-18397-87,ME-20-01-62688-591,1,25,"# ניתוח השוואתי

## 1. סוג העבירה וחומרתה
- שניהם: 144(ב) - נשיאה/הובלה ✓
- **אך**: תיק 2 כולל **שימוש בפועל בנשק** (ירי) + חבלה מחמירה + סמים
- חומרה: תיק 2 חמור משמעותית

## 2. תפקיד ומעורבות
- תיק 1: נשיאה פסיבית
- תיק 2: שימוש אקטיבי באלימות, תכנון מוקדם

## 3. שיטת ביצוע (MO)
- שניהם: אקדח ברכב ✓
- **אך**: תיק 1 - נשק תקול, מוסלק/מוסתר
- תיק 2 - נשק מוכן לשימוש (כדור בקנה), על הגוף, **שימוש בפועל**

## 4. נסיבות ליבה
- תיק 1: עבירות תנועה נלוות, אין אלימות
- תיק 2: **סכסוך מתוכנן, ירי, חבלה מחמירה**
- פער עצום בחומרה ובנסיבות המחמירות

## 5. ישימות כתקדים
- שניהם 144(ב) - בסיס משותף ✓
- **אך**: השימוש בפועל בנשק + חבלה מחמירה הופכים את תיק 2 לקטגוריה שונה לחלוטין
- בית משפט יתייחס לתיק 2 כאל **עבירת אלימות חמורה**, לא רק נשיאת נשק

**מסקנה**: דמיון פורמלי (אותו סעיף), אך **פער מהותי עצום** בחומרה ובאופי העבירה.

SIMILARITY_SCORE: 25"
sh-10-05-7434-952,ME-15-06-12109-344,1,25,SIMILARITY_SCORE: 25
ME-16-06-44840-433,SH-09-05-9349-998,1,15,SIMILARITY_SCORE: 15
ME-16-08-44157-713,ME-15-11-45465-294,3,85,"# ניתוח דמיון מהותי

## 1. סוג העבירה וחומרתה
- שני התיקים: 144(ב) - נשיאה/הובלה/סחר בנשק
- שניהם כוללים **סחר בנשק** (מטרה: בצע כסף)
- חומרה דומה: תתי מקלעים (תיק 1: 2 יחידות, תיק 2: 2 יחידות)
- **דמיון גבוה**

## 2. תפקיד הנאשם ומעורבותו
- שניהם: **סוחרים פעילים** (לא מחזיקים פסיביים)
- מטרה זהה: רווח כלכלי
- תכנון מוקדם בשני המקרים
- **דמיון גבוה מאוד**

## 3. שיטת הביצוע (MO)
- שניהם: נשק מופרד מתחמושת (אחסון זהיר יחסית)
- הבדל: תיק 1 - בבית, תיק 2 - ברכב (הבדל טכני, לא מהותי)
- שניהם ללא שימוש בפועל
- **דמיון גבוה**

## 4. נסיבות הליבה
- כמות תחמושת דומה (מחסנית אחת מול 3 - סדר גודל דומה)
- סוג נשק זהה (תתי מקלעים)
- אין נסיבות מחמירות חריגות באף אחד
- תיק 1 כולל גם ""תת מקלע מאולתר"" + ""קשירת קשר"" - מחמיר מעט
- **דמיון גבוה**

## 5. ישימות כתקדים
- שני תיקי סחר בנשק 144(ב) עם פרופיל דומה
- בית משפט יראה בהם **רלוונטיות הדדית גבוהה** לענישה
- הבדלים קלים (בית/רכב, מחסנית/3) לא מונעים שימוש כתקדים

---

SIMILARITY_SCORE: 85"
ME-15-06-12109-344,ME-12-04-33577-700,1,25,SIMILARITY_SCORE: 25
ME-17-08-28615-573,ME-16-05-336-804,2,58,"בואי נבחן את הממדים המהותיים:

**1. סוג העבירה וחומרתה:**
- שני התיקים כוללים 144(ב) - נשיאת/הובלת נשק
- שניהם כוללים תת-מקלע מאולתר (נשק חם חמור)
- דמיון גבוה ✓

**2. תפקיד הנאשם ומעורבותו:**
- תיק 1: החזקה ונשיאה על הגוף + הפרעה לשוטר
- תיק 2: נשיאה והובלה ברכב ועל הגוף
- שניהם מעורבות ישירה פעילה ✓

**3. שיטת הביצוע (MO):**
- תיק 1: נשק על הגוף + רימון הלם/גז, תכנון מוכח
- תיק 2: נשק ברכב ועל הגוף, ללא תכנון מוכח
- דמיון חלקי

**4. נסיבות הליבה:**
- תיק 1: 59 כדורים (9+50), נשק מופרד, **ללא שימוש**, רימון נוסף
- תיק 2: 26 כדורים, נשק מופרד, **שימוש בפועל - ירי**
- הבדל מהותי: השימוש בפועל בתיק 2 מחמיר משמעותית ✓✗

**5. ישימות כתקדים:**
- שניהם 144(ב) עם תת-מקלע מאולתר - רלוונטי
- אך השימוש בפועל (ירי) בתיק 2 מהווה נסיבה מחמירה קריטית שאינה קיימת בתיק 1
- תיק 1 עם תכנון ורימון נוסף מול תיק 2 עם שימוש בפועל - פרופילי חומרה שונים

**מסקנה:** דמיון בסיסי חזק (אותו נשק, אותה עבירה מרכזית), אך השימוש בפועל בתיק 2 יוצר פער מהותי בחומרה.

SIMILARITY_SCORE: 58"
ME-16-05-25902-514,SH-17-08-47445-166,1,42,SIMILARITY_SCORE: 42
ME-16-05-336-804,ME-14-12-6904-57,3,62,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **שניהם**: 144(ב) - נשיאה/הובלה של תת-מקלע מאולתר
- **זהות מלאה** בסוג העבירה והחומרה הבסיסית

## 2. תפקיד הנאשם ומעורבותו
- **תיק 1**: נושא/מוביל נשק, ביצע ירי בפועל
- **תיק 2**: רכש נשק, החזיק למטרת הגנה עצמית
- **הבדל**: תיק 1 כולל שימוש פעיל (ירי), תיק 2 החזקה למטרה הגנתית

## 3. שיטת הביצוע (MO)
- **תיק 1**: נשיאה ברכב ועל הגוף, ללא תכנון מוצהר
- **תיק 2**: רכישה מתוכננת, החזקה בבית ועל הגוף, הסתרה
- **הבדל מהותי**: תיק 2 כולל תכנון מראש ורכישה פעילה

## 4. נסיבות הליבה
- **תיק 1**: 26 כדורים + 2 מחסניות ריקות, **ירי בפועל** (נסיבה מחמירה משמעותית)
- **תיק 2**: מחסנית אחת (כמות לא מפורטת), ללא שימוש, מטרה הגנתית (נסיבה מקלה יחסית)
- **הבדל קריטי**: השימוש בפועל בתיק 1 מחמיר באופן דרמטי

## 5. ישימות כתקדים
- שניהם 144(ב) עם תת-מקלע מאולתר - **בסיס משותף חזק**
- אך: ירי בפועל (תיק 1) לעומת החזקה הגנתית (תיק 2) - **פער ענישתי משמעותי**
- תיק 1 יתפרש ככרוך בסיכון ממשי לציבור; תיק 2 כהחזקה פסיבית יותר

**SIMILARITY_SCORE: 62**"
SH-19-07-60805-168,ME-20-01-17935-7,1,25,"# ניתוח דמיון מהותי

## 1. סוג העבירה וחומרתה
- תיק 1: 144(א) בלבד - החזקה
- תיק 2: 144(א)+144(ב) - החזקה **ונשיאה**
- חומרה: תיק 2 חמור יותר (נשיאה על הגוף + תת-מקלע vs אקדח ברכב)

## 2. תפקיד הנאשם ומעורבותו
- תיק 1: החזקה פסיבית ברכב
- תיק 2: נשיאה אקטיבית על הגוף + הפרעה לשוטר

## 3. שיטת הביצוע (MO)
- תיק 1: נשק מוסתר ברכב, מחסנית מוכנסת
- תיק 2: נשיאה גלויה על הגוף
- שונה מהותית

## 4. נסיבות הליבה
- תיק 1: אקדח תקין + 10 כדורים - מסוכן ומוכן לשימוש
- תיק 2: תת-מקלע תקול (לא מסוכן) ללא תחמושת
- **הפוך לחלוטין**: תיק 1 מסוכן יותר מבחינת מוכנות לשימוש, תיק 2 חמור יותר מבחינת סוג הנשק והנשיאה

## 5. ישימות כתקדים
- תיק 2 כולל 144(ב) - **לא יכול לשמש תקדים** לתיק שהוא 144(א) בלבד
- נסיבות שונות מהותית: נשק תקין+תחמושת vs נשק תקול ללא תחמושת
- דפוס התנהגות שונה: הסתרה ברכב vs נשיאה על הגוף

**מסקנה**: למרות שניהם בתחום נשק, ההבדלים המהותיים (144א בלבד vs 144א+ב, תקין+תחמושת vs תקול, ברכב vs על הגוף) מונעים שימוש כתקדים רלוונטי.

SIMILARITY_SCORE: 25"
ME-15-12-39071-113,ME-09-11-7566-913,3,42,"בואי ננתח את שני התיקים לפי הממדים המשפטיים המהותיים:

**1. סוג העבירה וחומרתה:**
- תיק 1: 144(א) בלבד - החזקה
- תיק 2: 144(א) **+ 144(ב)** - החזקה ונשיאה/הובלה
- הבדל מהותי: תיק 2 חמור יותר (שתי עבירות לעומת אחת)

**2. תפקיד הנאשם ומעורבותו:**
- תיק 1: החזקה להגנה עצמית (מעיד על החלטה מודעת)
- תיק 2: ""מצא"" את הנשק (מעורבות פסיבית יותר, אך המשיך להחזיק)
- הבדל בכוונה ובמניע

**3. שיטת הביצוע:**
- דומה: שניהם ברכב, מוסלק ומוסתר
- דומה: אקדח אחד בשני המקרים

**4. נסיבות הליבה:**
- תיק 1: נשק תקין (מסוכן יותר)
- תיק 2: נשק תקול (פחות מסוכן)
- שניהם: ללא תחמושת, ללא שימוש, ללא תכנון

**5. ישימות כתקדים:**
- **קריטי**: תיק 1 הוא 144(א) בלבד, תיק 2 כולל גם 144(ב)
- בית משפט לא יראה בתיק 1 תקדים מלא לתיק 2 בגלל העבירה הנוספת
- הנסיבות דומות חלקית, אך ההבדל בסעיפים והמניע מהותי

**מסקנה:** קיים דמיון בנסיבות החיצוניות (רכב, הסתרה, אקדח אחד), אך ההבדל בין 144(א) בלבד ל-144(א)+144(ב) הוא מהותי משפטית. תיק 1 לא יכול לשמש תקדים מלא לתיק 2.

SIMILARITY_SCORE: 42"
ME-19-04-1316-977,SH-11-05-24791-315,1,25,SIMILARITY_SCORE: 25
ME-15-12-39071-113,ME-13-02-28360-614,1,25,SIMILARITY_SCORE: 25
ME-16-02-59812-881,ME-22-03-52964-443,3,45,SIMILARITY_SCORE: 45
ME-20-01-62688-591,ME-17-05-35227-215,1,72,SIMILARITY_SCORE: 72
ME-16-06-64845-657,ME-12-03-13401-281,1,35,SIMILARITY_SCORE: 35
SH-14-02-28659-762,ME-16-05-19384-544,1,15,SIMILARITY_SCORE: 15
ME-20-01-62688-591,ME-22-03-52964-443,2,72,SIMILARITY_SCORE: 72
ME-19-01-53615-8,ME-16-11-69158-529,3,85,"בואי ננתח את שני התיקים לפי הממדים המשפטיים המהותיים:

**1. סוג העבירה וחומרתה:**
- שניהם 144(ב) - נשיאת/הובלת נשק ✓
- שניהם תת-מקלע (נשק מסוכן ביותר) ✓
- חומרה זהה

**2. תפקיד הנאשם ומעורבותו:**
- שניהם החזיקו/נשאו באופן אישי ✓
- מעורבות ישירה בשני המקרים

**3. שיטת הביצוע (MO):**
- שניהם החזיקו ברכב ✓
- שניהם נשק עם כדור בקנה (מוכן לשימוש מיידי) ✓
- דפוס דומה מאוד

**4. נסיבות הליבה:**
- **שניהם ביצעו ירי בפועל** - נסיבה מחמירה קריטית ✓
- **שניהם ירי באזור מגורים** - סיכון לציבור ✓
- כמות תחמושת זהה (מחסנית) ✓
- **הבדל מהותי**: מטרה - תיק 1: מצוקה אישית/חוסר אונים; תיק 2: חתונה (חגיגה)
- תכנון: תיק 1 ללא תכנון, תיק 2 מתוכנן

**5. ישימות כתקדים:**
- שני התיקים רלוונטיים מאוד זה לזה
- שניהם עוברים את הסף הקריטי של **שימוש בפועל בנשק** באזור מגורים
- ההבדל במניע (מצוקה vs. חגיגה) רלוונטי אך לא מבטל את הדמיון המהותי
- בית משפט יראה בהם תקדימים הדדיים לענישה

**מסקנה:** דמיון מהותי גבוה מאוד - אותה עבירה, אותו סוג נשק, אותו שימוש מסוכן (ירי באזור מגורים). ההבדל העיקרי הוא במניע ובתכנון, א"
