query,true_low,true_high,n_neighbors,citation_only_pred_low,citation_llm_pred_low,neighbor,llm_score,neighbor_low,neighbor_high,in_llm_top10
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_42761-01-18,72,66.0,102.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_15787-01-17,70,54.0,90.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_3667-07-15,68,30.0,50.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_63696-02-18,65,8.0,20.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_63955-03-17,65,33.0,66.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_11969-01-18,65,26.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_50079-03-13,60,48.0,96.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_60842-12-14,55,48.0,108.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_5775-02-18,55,30.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_31425-08-20,55,24.0,72.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_23408-05-15,55,24.0,40.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_12143-06-20,55,36.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_44877-06-13,55,24.0,44.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_46896-11-15,55,18.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_20534-02-12,45,60.0,96.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_27295-12-17,45,6.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_5649-09-21,45,36.0,72.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_26032-04-14,45,24.0,50.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_23142-09-14,45,36.0,72.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_9109-02-16,45,60.0,96.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_5687-03-23,40,120.0,168.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_37551-01-16,40,24.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_46967-02-21,40,36.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_30003-03-22,40,30.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_47941-06-15,38,3.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_11220-12-18,38,24.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_6681-09-21,38,36.0,72.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_2599-09-17,38,36.0,84.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_38176-10-14,38,36.0,72.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_34974-01-12,35,6.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_50105-10-12,35,36.0,72.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_13236-03-18,35,12.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_60295-03-22,35,40.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_43084-09-20,35,24.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_49875-05-23,35,12.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_26792-04-16,35,36.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_4632-02-22,35,30.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_25146-11-12,35,24.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_42653-08-23,35,26.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_16389-10-13,35,6.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_12699-03-18,35,24.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_39308-05-15,35,12.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_35202-10-15,35,28.0,54.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_52882-04-15,35,30.0,70.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_16540-08-21,35,48.0,84.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_7091-03-19,35,1.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_15927-07-23,35,16.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_3618-03-23,35,9.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_39214-12-15,35,15.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_43983-05-19,35,18.0,42.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_30538-02-19,35,18.0,54.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_48479-07-22,35,14.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_46786-01-23,35,25.0,50.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_1108-05-15,35,18.0,40.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_65884-10-13,35,18.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_26357-10-15,35,18.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_39299-11-18,35,36.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_429-03-17,35,30.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_40892-01-24,35,20.0,42.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_41189-09-15,35,5.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_18320-05-19,30,6.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_12708-04-14,30,18.0,40.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_5911-11-16,30,6.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_8633-04-15,30,36.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_39491-09-17,30,9.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_43525-01-21,30,10.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_7027-07-19,30,24.0,50.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_55331-06-21,30,0.0,14.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_22021-09-22,30,18.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_809-09-18,30,24.0,42.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_45433-09-17,30,24.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_2275-06-17,30,18.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_20513-06-20,30,25.0,45.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_25934-06-19,30,16.0,40.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_54036-06-19,30,10.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_39568-06-21,30,8.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_25537-07-24,30,11.0,22.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_7154-12-16,30,12.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_1491-03-23,30,7.0,20.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_899-04-18,30,0.0,10.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_18846-06-20,30,12.0,28.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_34053-04-18,30,8.0,14.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_62573-05-18,30,1.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_3867-05-14,30,9.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_15963-02-13,30,6.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_4730-11-21,28,27.0,54.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_305-12-12,25,4.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_54072-05-16,25,6.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_30717-01-19,25,0.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_47874-04-19,25,12.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_17021-03-13,25,8.0,20.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_47474-01-14,25,66.0,102.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_49625-04-17,25,30.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_48983-06-18,25,0.0,8.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_21503-07-23,25,12.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_42879-09-21,25,7.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_10316-06-13,25,6.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_53127-06-16,25,6.0,16.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_32817-12-14,25,5.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_70374-11-20,25,0.0,14.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_52165-12-17,25,12.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_65292-07-23,25,9.0,22.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_67029-11-18,25,6.0,15.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_40055-03-18,25,15.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_45156-04-15,25,36.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_20538-11-17,25,18.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_14460-04-22,25,0.0,8.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_32895-05-22,25,6.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_58944-08-21,25,8.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_13373-10-23,25,24.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_35299-09-23,25,14.0,28.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_42164-10-19,25,20.0,40.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_45644-11-22,25,16.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_5391-02-20,25,24.0,54.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_55496-07-13,25,3.0,15.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_47757-02-18,25,36.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_38014-02-22,25,16.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_3766-09-21,25,9.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_20414-08-12,25,8.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_27103-01-18,25,9.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_21280-11-18,25,8.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_19827-06-15,25,7.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_17415-10-21,25,9.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_5496-11-20,25,5.0,15.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_62794-11-21,25,12.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_23454-02-17,25,0.0,10.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_16015-05-21,25,16.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_23282-05-17,25,8.0,20.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_9369-01-13,25,3.0,10.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_58167-11-10,22,1.0,15.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_14963-02-23,22,14.0,28.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_40063-03-18,20,6.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_13194-11-18,20,0.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_30678-02-22,20,6.0,14.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_67473-10-21,20,8.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_52567-05-23,20,29.0,42.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_9380-03-21,20,7.0,20.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_53373-04-13,20,8.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_6659-02-21,20,15.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_60394-12-12,20,10.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_6749-09-22,20,12.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_23443-04-21,20,16.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_38531-11-18,20,18.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_13935-05-24,20,12.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_11370-07-16,20,16.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_34752-02-21,20,9.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_1788-06-17,20,6.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_24239-05-17,20,7.0,20.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_13289-03-15,20,0.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_8988-11-22,20,30.0,54.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_38312-03-10,20,0.0,8.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_44336-03-19,20,36.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_59971-01-17,20,30.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_33658-01-18,20,6.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_26685-11-18,20,0.0,8.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_39936-04-12,20,6.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_36801-10-22,20,20.0,50.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_43982-06-17,20,18.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_54487-02-16,20,8.0,20.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_1197-11-21,20,8.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_48281-08-18,20,6.0,13.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_18163-03-15,20,6.0,16.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_50860-02-20,20,0.0,14.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_57912-07-14,20,6.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_29216-07-16,20,18.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_52145-01-20,20,6.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_32174-07-20,20,12.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_327-04-17,20,10.0,26.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_29520-01-21,20,9.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_59117-03-21,20,12.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_21605-07-13,20,6.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_66982-09-16,20,3.0,5.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_25835-05-18,20,8.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_60914-01-14,20,0.0,8.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_33439-01-21,20,20.0,40.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_33024-01-18,20,24.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_27593-03-13,20,6.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_58237-07-21,20,7.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_30197-04-17,18,8.0,20.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_51810-03-15,18,3.0,8.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_31628-07-15,18,3.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_48152-02-20,18,9.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_19985-04-14,18,0.0,15.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_27683-01-21,18,0.0,14.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_44279-06-21,18,8.0,20.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_59009-05-21,18,9.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_10108-11-21,18,9.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_33475-10-17,18,9.0,24.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_64041-02-19,18,0.0,10.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_73367-01-19,15,6.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_42974-11-12,15,8.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_49932-08-21,15,10.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_46735-02-20,15,18.0,36.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_10150-06-13,15,0.0,15.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_12158-04-23,15,20.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_59329-02-18,15,0.0,9.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_20484-05-16,15,0.0,9.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_41783-12-17,15,9.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_49055-02-18,15,8.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_21339-07-21,15,0.0,8.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_47304-02-18,15,12.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_49244-01-22,15,6.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_31276-05-19,15,6.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_44843-01-19,15,0.0,10.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_21355-08-18,15,6.0,18.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_33697-12-18,10,0.0,16.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_69865-03-18,10,0.0,8.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_15868-04-16,10,0.0,12.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_1681-12-15,10,0.0,8.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_15253-08-18,10,0.0,8.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_4911-12-16,10,0.0,8.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_43875-08-17,10,0.0,10.0,False
