fname,tagger_a,tagger_b,drugs_a,drugs_b,jaccard,agreement
ME-21-12-42162-424,איתי,מור,"[{""drug"": ""קטמין"", ""amount"": 2331, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 64.95, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 2.331, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 64.95, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.82, ""unit"": ""גרם""}]",0.5,1
ME-21-12-42162-424,ליאור,מור,"[{""drug"": ""קטמין"", ""amount"": 2331, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 64.95, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.82, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 2.331, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 64.95, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.82, ""unit"": ""גרם""}]",1.0,1
ME-22-01-47042-277,איתי,ליאור,"[{""drug"": ""קוקאין"", ""amount"": 50.67, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 99.95, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 149.69, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 50.67, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 99.95, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 149.69, ""unit"": ""גרם""}]",1.0,1
ME-22-04-7867-732,מור,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 485, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 110, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 110000, ""unit"": ""גרם""}]",1.0,1
ME-22-06-54208-991,מור,גיא,[],[],1.0,1
ME-22-07-32175-327,גיא,ליאור,"[{""drug"": ""מתילמקאתינון"", ""amount"": 994, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 996, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 991, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 938, ""unit"": ""גרם""}, {""drug"": ""מתילמקאתינון"", ""amount"": 3.7, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 2925, ""unit"": ""גרם""}, {""drug"": ""מתילמקאתינון"", ""amount"": 997.7, ""unit"": ""גרם""}]",0.0,0
ME-22-07-53625-139,איתי,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 52, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 347, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 52, ""unit"": ""ק\""ג""}]",1.0,1
ME-22-08-15747-700,ליאור,ליאור,"[{""drug"": ""קטמין"", ""amount"": 6305.175, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 6305.175, ""unit"": ""גרם""}]",1.0,1
ME-22-11-1990-79,איתי,ליאור,"[{""drug"": ""MDMA"", ""amount"": 25.303, ""unit"": ""טבליות""}]","[{""drug"": ""MDMA"", ""amount"": 25303, ""unit"": ""טבליות""}]",0.0,0
ME-22-11-1990-79,איתי,גיא,"[{""drug"": ""MDMA"", ""amount"": 25.303, ""unit"": ""טבליות""}]","[{""drug"": ""MDMA"", ""amount"": 25303, ""unit"": ""טבליות""}]",0.0,0
ME-22-11-1990-79,ליאור,גיא,"[{""drug"": ""MDMA"", ""amount"": 25303, ""unit"": ""טבליות""}]","[{""drug"": ""MDMA"", ""amount"": 25303, ""unit"": ""טבליות""}]",1.0,1
ME-22-12-47987-640,ליאור,מור,"[{""drug"": ""קטמין"", ""amount"": 700, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 700, ""unit"": ""גרם""}]",1.0,1
ME-23-01-46786-206,מור,ליאור,"[{""drug"": ""קוקאין"", ""amount"": 87.98, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 87.98, ""unit"": ""גרם""}]",1.0,1
ME-23-04-8444-574,מור,ליאור,"[{""drug"": ""קוקאין"", ""amount"": 540, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 540, ""unit"": ""גרם""}]",1.0,1
ME-23-05-13598-78,גיא,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 190, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 190000, ""unit"": ""גרם""}]",1.0,1
ME-23-05-52567-993,איתי,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 172.6, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 172.6, ""unit"": ""ק\""ג""}]",1.0,1
ME-23-08-41833-827,איתי,ליאור,"[{""drug"": ""קטמין"", ""amount"": 11.4, ""unit"": ""ק\""ג""}]","[{""drug"": ""קטמין"", ""amount"": 11, ""unit"": ""ק\""ג""}]",1.0,1
ME-23-08-41833-827,איתי,איתי,"[{""drug"": ""קטמין"", ""amount"": 11.4, ""unit"": ""ק\""ג""}]","[{""drug"": ""קטמין"", ""amount"": 11.4, ""unit"": ""ק\""ג""}]",1.0,1
ME-23-08-41833-827,ליאור,איתי,"[{""drug"": ""קטמין"", ""amount"": 11, ""unit"": ""ק\""ג""}]","[{""drug"": ""קטמין"", ""amount"": 11.4, ""unit"": ""ק\""ג""}]",1.0,1
ME-23-12-14553-571,ליאור,גיא,"[{""drug"": ""קנבוס"", ""amount"": 180, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 7.48, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 180, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 7.48, ""unit"": ""גרם""}]",1.0,1
SH-13-09-29504-694,איתי,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 3400.3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 884.5, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 3400, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 884, ""unit"": ""גרם""}]",1.0,1
SH-15-05-1276-44,מור,ליאור,"[{""drug"": ""קוקאין"", ""amount"": 6.2456, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 9.49, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 3.2662, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 2.24, ""unit"": ""גרם""}]","[{""drug"": ""חשיש"", ""amount"": 5.5, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 15.763, ""unit"": ""גרם""}]",0.0,0
SH-16-09-64418-33,איתי,טל,"[{""drug"": ""קנבוס"", ""amount"": 837.76, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 287.53, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 1.86, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 0.25, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 837.76, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 287.53, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 1.86, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 0.25, ""unit"": ""גרם""}]",1.0,1
SH-17-07-16759-919,איתי,גיא,"[{""drug"": ""קנבוס"", ""amount"": 1.64, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 0.71, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 3, ""unit"": ""שתילים""}]","[{""drug"": ""קנבוס"", ""amount"": 1.64, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 0.71, ""unit"": ""גרם""}]",0.5,1
SH-19-02-58269-573,איתי,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 97.22, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 23.01, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 2, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 97.22, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 23.01, ""unit"": ""גרם""}]",1.0,1
SH-19-02-58269-573,איתי,איתי,"[{""drug"": ""קנבוס"", ""amount"": 97.22, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 23.01, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 97.22, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 23.01, ""unit"": ""גרם""}]",1.0,1
SH-19-02-58269-573,ליאור,איתי,"[{""drug"": ""קנבוס"", ""amount"": 2, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 97.22, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 23.01, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 97.22, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 23.01, ""unit"": ""גרם""}]",1.0,1
SH-19-03-50607-561,ליאור,איתי,"[{""drug"": ""MDMA"", ""amount"": 0.4992, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 15.6592, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 3.9258, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 19.6959, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.08, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 80.7, ""unit"": ""גרם""}, {""drug"": ""LSD"", ""amount"": 100, ""unit"": ""יחידות""}]","[{""drug"": ""MDMA"", ""amount"": 0.4992, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 15.6592, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 3.9258, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 19.6959, ""unit"": ""גרם""}, {""drug"": ""LSD"", ""amount"": 100, ""unit"": ""יחידות""}, {""drug"": ""קנבוס"", ""amount"": 1.08, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 80.7, ""unit"": ""גרם""}]",1.0,1
SH-19-11-18218-11,מור,איתי,"[{""drug"": ""MDMA"", ""amount"": 10.718, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 99, ""unit"": ""טבליות""}, {""drug"": ""קוקאין"", ""amount"": 1.4259, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 12.6888, ""unit"": ""גרם""}, {""drug"": ""LSD"", ""amount"": 35, ""unit"": ""ריבועי נייר""}]","[{""drug"": ""MDMA"", ""amount"": 10.718, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 99, ""unit"": ""טבליות""}, {""drug"": ""קוקאין"", ""amount"": 1.4259, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 12.6888, ""unit"": ""גרם""}, {""drug"": ""LSD"", ""amount"": 35, ""unit"": ""ריבועי נייר""}]",1.0,1
SH-20-05-28746-251,גיא,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 5, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 15, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 20, ""unit"": ""גרם""}]",0.0,0
SH-20-06-12380-808,מור,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 10, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 10, ""unit"": ""גרם""}]",1.0,1
SH-21-02-40908-370,גיא,טל,"[{""drug"": ""קוקאין"", ""amount"": 1, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 0.05, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 1, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 0.05, ""unit"": ""גרם""}]",1.0,1
SH-21-03-7171-604,מור,איתי,"[{""drug"": ""קוקאין"", ""amount"": 0.0882, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 0.0882, ""unit"": ""גרם""}]",1.0,1
SH-21-09-42879-201,איתי,מור,"[{""drug"": ""MDMA"", ""amount"": 10, ""unit"": ""טבליות""}]","[{""drug"": ""MDMA"", ""amount"": 10, ""unit"": ""טבליות""}]",1.0,1
SH-21-11-9851-17,גיא,איתי,"[{""drug"": ""קוקאין"", ""amount"": 15.437, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 24.96, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 15.437, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 24.96, ""unit"": ""גרם""}]",1.0,1
SH-21-12-59578-330,איתי,ליאור,"[{""drug"": ""קטמין"", ""amount"": 0.7296, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13, ""unit"": ""טבליות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.906, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 0.7926, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13, ""unit"": ""טבליות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.906, ""unit"": ""גרם""}]",1.0,1
SH-21-12-59578-330,איתי,מור,"[{""drug"": ""קטמין"", ""amount"": 0.7296, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13, ""unit"": ""טבליות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.906, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 0.7926, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13, ""unit"": ""טבליות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.906, ""unit"": ""גרם""}]",1.0,1
SH-21-12-59578-330,ליאור,מור,"[{""drug"": ""קטמין"", ""amount"": 0.7926, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13, ""unit"": ""טבליות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.906, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 0.7926, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13, ""unit"": ""טבליות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.906, ""unit"": ""גרם""}]",1.0,1
SH-22-01-16014-223,גיא,ליאור,"[{""drug"": ""חשיש"", ""amount"": 31, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 11, ""unit"": ""טבליות""}]","[{""drug"": ""חשיש"", ""amount"": 31, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 11, ""unit"": ""טבליות""}]",1.0,1
SH-22-05-36033-112,ליאור,גיא,"[{""drug"": ""קנבוס"", ""amount"": 3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 4.78, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 4.78, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2, ""unit"": ""גרם""}]",1.0,1
SH-22-05-39259-133,מור,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 15.75, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 15.75, ""unit"": ""גרם""}]",1.0,1
SH-23-02-41988-839,מור,ליאור,"[{""drug"": ""MDMA"", ""amount"": 17, ""unit"": ""יחידות""}, {""drug"": ""MDMA"", ""amount"": 6.9, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 14.85, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 2.8, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 2.8, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 6.9, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 14.85, ""unit"": ""גרם""}]",1.0,1
SH-23-07-61816-773,מור,איתי,"[{""drug"": ""קוקאין"", ""amount"": 0.3798, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 0.3798, ""unit"": ""גרם""}]",1.0,1
SH-23-09-35299-260,איתי,ליאור,"[{""drug"": ""קוקאין"", ""amount"": 0.28, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 0.28, ""unit"": ""גרם""}]",1.0,1
SH-23-09-35299-260,איתי,מור,"[{""drug"": ""קוקאין"", ""amount"": 0.28, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 0.28, ""unit"": ""גרם""}]",1.0,1
SH-23-09-35299-260,ליאור,מור,"[{""drug"": ""קוקאין"", ""amount"": 0.28, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 0.28, ""unit"": ""גרם""}]",1.0,1
