fname,n_annotators,consolidated_drugs,quantity_conflicts,annotator_איתי,annotator_גיא,annotator_ליאור,annotator_טל,annotator_מור
ME-17-01-59971-328,2,"[{""drug"": ""קנבוס"", ""amount"": 170000.0, ""unit"": ""גרם""}]","קנבוס: [(170.0, 'ק""ג'), (10.2, 'גרם'), (170.0, 'ק""ג'), (10.2, 'גרם')]","[{""drug"": ""קנבוס"", ""amount"": 170, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 10.2, ""unit"": ""גרם""}]",,,"[{""drug"": ""קנבוס"", ""amount"": 170, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 10.2, ""unit"": ""גרם""}]",
ME-17-01-620-279,2,"[{""drug"": ""קוקאין"", ""amount"": 4922.0, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 4.922, ""unit"": ""ק\""ג""}]",,,"[{""drug"": ""קוקאין"", ""amount"": 4.922, ""unit"": ""ק\""ג""}]",
ME-17-03-30876-747,2,"[{""drug"": ""קנבוס"", ""amount"": 140000.0, ""unit"": ""גרם""}]",,"[{""drug"": ""קנבוס"", ""amount"": 140, ""unit"": ""ק\""ג""}]",,"[{""drug"": ""קנבוס"", ""amount"": 140, ""unit"": ""ק\""ג""}]",,
ME-17-04-17677-800,2,[],"קנבוס: [(235.0, 'שתילים'), (72.8, 'ק""ג'), (235.0, 'שתילים'), (72.8, 'ק""ג')]",,,,"[{""drug"": ""קנבוס"", ""amount"": 235, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 72.8, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 235, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 72.8, ""unit"": ""ק\""ג""}]"
ME-18-01-73652-357,2,"[{""drug"": ""קוקאין"", ""amount"": 49.0, ""unit"": ""גרם""}]","קוקאין: [(20.0, 'גרם'), (49.0, 'גרם'), (20.0, 'גרם'), (49.0, 'גרם')]","[{""drug"": ""קוקאין"", ""amount"": 20, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 49, ""unit"": ""גרם""}]",,,"[{""drug"": ""קוקאין"", ""amount"": 20, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 49, ""unit"": ""גרם""}]",
ME-18-02-5680-55,2,"[{""drug"": ""MDMA"", ""amount"": 8363.0, ""unit"": ""טבליות""}]",,"[{""drug"": ""MDMA"", ""amount"": 8363, ""unit"": ""טבליות""}]","[{""drug"": ""MDMA"", ""amount"": 8363, ""unit"": ""טבליות""}]",,,
ME-18-04-16826-842,2,"[{""drug"": ""קוקאין"", ""amount"": 7935.0, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 7.935, ""unit"": ""ק\""ג""}]",,,,"[{""drug"": ""קוקאין"", ""amount"": 7.935, ""unit"": ""ק\""ג""}]"
ME-18-04-46786-521,2,"[{""drug"": ""MDMA"", ""amount"": 31243.0, ""unit"": ""טבליות""}, {""drug"": ""קנבוס"", ""amount"": 0.9, ""unit"": ""גרם""}]",,"[{""drug"": ""MDMA"", ""amount"": 31243, ""unit"": ""טבליות""}, {""drug"": ""קנבוס"", ""amount"": 0.9, ""unit"": ""גרם""}]",,,,"[{""drug"": ""MDMA"", ""amount"": 31243, ""unit"": ""טבליות""}]"
ME-18-07-67342-121,2,"[{""drug"": ""MDMA"", ""amount"": 4000.0, ""unit"": ""טבליות""}, {""drug"": ""חשיש"", ""amount"": 4600.0, ""unit"": ""גרם""}]","MDMA: [(2054.0, 'טבליות'), (4000.0, 'טבליות')]",,,"[{""drug"": ""חשיש"", ""amount"": 4600, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 4000, ""unit"": ""טבליות""}]",,"[{""drug"": ""MDMA"", ""amount"": 2054, ""unit"": ""טבליות""}, {""drug"": ""חשיש"", ""amount"": 4.6, ""unit"": ""ק\""ג""}]"
ME-18-08-58591-978,2,"[{""drug"": ""קוקאין"", ""amount"": 1029.44, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 1029.44, ""unit"": ""גרם""}]",,,,"[{""drug"": ""קוקאין"", ""amount"": 1029.44, ""unit"": ""גרם""}]"
ME-18-08-8864-290,2,"[{""drug"": ""קנבוס"", ""amount"": 5.0, ""unit"": ""שתילים""}]",,"[{""drug"": ""קנבוס"", ""amount"": 5, ""unit"": ""שתילים""}]",,,,"[{""drug"": ""קנבוס"", ""amount"": 5, ""unit"": ""שתילים""}]"
ME-18-09-809-412,1,"[{""drug"": ""קוקאין"", ""amount"": 55.0, ""unit"": ""גרם""}]",,,,,,"[{""drug"": ""קוקאין"", ""amount"": 55, ""unit"": ""גרם""}]"
ME-19-01-68942-383,2,"[{""drug"": ""מתאמפטמין"", ""amount"": 1865.0, ""unit"": ""גרם""}]",,,"[{""drug"": ""מתאמפטמין"", ""amount"": 1.865, ""unit"": ""ק\""ג""}]",,"[{""drug"": ""מתאמפטמין"", ""amount"": 1.865, ""unit"": ""ק\""ג""}]",
ME-19-01-68958-71,2,"[{""drug"": ""מתאמפטמין"", ""amount"": 1865.0, ""unit"": ""גרם""}]",,"[{""drug"": ""מתאמפטמין"", ""amount"": 1.865, ""unit"": ""ק\""ג""}]",,"[{""drug"": ""מתאמפטמין"", ""amount"": 1.865, ""unit"": ""ק\""ג""}]",,
ME-19-02-45480-398,3,"[{""drug"": ""קנבוס"", ""amount"": 79900.0, ""unit"": ""גרם""}]",,"[{""drug"": ""קנבוס"", ""amount"": 79.9, ""unit"": ""ק\""ג""}]",,"[{""drug"": ""קנבוס"", ""amount"": 79.9, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 79.9, ""unit"": ""ק\""ג""}]",
ME-19-02-70401-748,1,[],"קנבוס: [(94.0, 'שתילים'), (80.1, 'ק""ג')]",,,"[{""drug"": ""קנבוס"", ""amount"": 94, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 80.1, ""unit"": ""ק\""ג""}]",,
ME-19-04-14488-104,2,"[{""drug"": ""קנבוס"", ""amount"": 51150.0, ""unit"": ""גרם""}]",,,"[{""drug"": ""קנבוס"", ""amount"": 51.15, ""unit"": ""ק\""ג""}]",,"[{""drug"": ""קנבוס"", ""amount"": 51.15, ""unit"": ""ק\""ג""}]",
ME-19-04-14578-148,2,"[{""drug"": ""קנבוס"", ""amount"": 80000.0, ""unit"": ""גרם""}]",,,"[{""drug"": ""קנבוס"", ""amount"": 80, ""unit"": ""ק\""ג""}]",,,"[{""drug"": ""קנבוס"", ""amount"": 80, ""unit"": ""ק\""ג""}]"
ME-19-07-4435-107,2,[],"קנבוס: [(54.0, 'ק""ג'), (54.0, 'ק""ג'), (54.0, 'שתילים')]",,"[{""drug"": ""קנבוס"", ""amount"": 54, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 54, ""unit"": ""שתילים""}]",,"[{""drug"": ""קנבוס"", ""amount"": 54, ""unit"": ""ק\""ג""}]",
ME-20-12-1338-335,2,"[{""drug"": ""האיוואסקה"", ""amount"": 1300.0, ""unit"": ""מל""}]",,,,"[{""drug"": ""האיוואסקה"", ""amount"": 1300, ""unit"": ""מ\""ל""}]",,"[{""drug"": ""האיוואסקה"", ""amount"": 1300, ""unit"": ""מ\""ל""}]"
ME-21-03-10139-230,2,"[{""drug"": ""קוקאין"", ""amount"": 18.9, ""unit"": ""גרם""}]","קוקאין: [(19.8, 'גרם'), (18.9, 'גרם'), (18.03, 'גרם'), (14.79, 'גרם'), (71.52, 'גרם')]",,,"[{""drug"": ""קוקאין"", ""amount"": 71.52, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 19.8, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 18.9, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 18.03, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 14.79, ""unit"": ""גרם""}]"
ME-21-11-35998-405,1,[],"קנבוס: [(159.56, 'ק""ג'), (3066.57, 'גרם'), (80.0, 'מ""ל')]",,,,,"[{""drug"": ""קנבוס"", ""amount"": 159.56, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 3066.57, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 80, ""unit"": ""מ\""ל""}]"
ME-21-12-42162-424,3,"[{""drug"": ""קטמין"", ""amount"": 64.95, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.82, ""unit"": ""גרם""}]","קטמין: [(2331.0, 'גרם'), (64.95, 'גרם'), (2331.0, 'גרם'), (64.95, 'גרם'), (2.331, 'גרם'), (64.95, 'גרם')]","[{""drug"": ""קטמין"", ""amount"": 2331, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 64.95, ""unit"": ""גרם""}]",,"[{""drug"": ""קטמין"", ""amount"": 2331, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 64.95, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.82, ""unit"": ""גרם""}]",,"[{""drug"": ""קטמין"", ""amount"": 2.331, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 64.95, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.82, ""unit"": ""גרם""}]"
ME-22-01-47042-277,2,"[{""drug"": ""קוקאין"", ""amount"": 99.95, ""unit"": ""גרם""}]","קוקאין: [(50.67, 'גרם'), (99.95, 'גרם'), (149.69, 'גרם'), (50.67, 'גרם'), (99.95, 'גרם'), (149.69, 'גרם')]","[{""drug"": ""קוקאין"", ""amount"": 50.67, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 99.95, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 149.69, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 50.67, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 99.95, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 149.69, ""unit"": ""גרם""}]",,
ME-22-04-7867-732,2,[],"קנבוס: [(485.0, 'שתילים'), (110.0, 'ק""ג'), (110000.0, 'גרם')]",,,"[{""drug"": ""קנבוס"", ""amount"": 110000, ""unit"": ""גרם""}]",,"[{""drug"": ""קנבוס"", ""amount"": 485, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 110, ""unit"": ""ק\""ג""}]"
ME-22-06-54208-991,2,[],,,[],,,[]
ME-22-07-32175-327,2,"[{""drug"": ""מתילמקאתינון"", ""amount"": 994.0, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 996.0, ""unit"": ""גרם""}]","מתילמקאתינון: [(994.0, 'גרם'), (3.7, 'גרם'), (997.7, 'גרם')]; קטמין: [(996.0, 'גרם'), (991.0, 'גרם'), (938.0, 'גרם'), (2925.0, 'גרם')]",,"[{""drug"": ""מתילמקאתינון"", ""amount"": 994, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 996, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 991, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 938, ""unit"": ""גרם""}, {""drug"": ""מתילמקאתינון"", ""amount"": 3.7, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 2925, ""unit"": ""גרם""}, {""drug"": ""מתילמקאתינון"", ""amount"": 997.7, ""unit"": ""גרם""}]",,
ME-22-07-53625-139,2,[],"קנבוס: [(52.0, 'ק""ג'), (347.0, 'שתילים'), (52.0, 'ק""ג')]","[{""drug"": ""קנבוס"", ""amount"": 52, ""unit"": ""ק\""ג""}]",,"[{""drug"": ""קנבוס"", ""amount"": 347, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 52, ""unit"": ""ק\""ג""}]",,
ME-22-08-15747-700,1,"[{""drug"": ""קטמין"", ""amount"": 6305.175, ""unit"": ""גרם""}]",,,,"[{""drug"": ""קטמין"", ""amount"": 6305.175, ""unit"": ""גרם""}]",,
ME-22-11-1990-79,3,"[{""drug"": ""MDMA"", ""amount"": 25303.0, ""unit"": ""טבליות""}]","MDMA: [(25.303, 'טבליות'), (25303.0, 'טבליות'), (25303.0, 'טבליות')]","[{""drug"": ""MDMA"", ""amount"": 25.303, ""unit"": ""טבליות""}]","[{""drug"": ""MDMA"", ""amount"": 25303, ""unit"": ""טבליות""}]","[{""drug"": ""MDMA"", ""amount"": 25303, ""unit"": ""טבליות""}]",,
ME-22-12-47987-640,2,"[{""drug"": ""קטמין"", ""amount"": 700.0, ""unit"": ""גרם""}]",,,,"[{""drug"": ""קטמין"", ""amount"": 700, ""unit"": ""גרם""}]",,"[{""drug"": ""קטמין"", ""amount"": 700, ""unit"": ""גרם""}]"
ME-23-01-46786-206,2,"[{""drug"": ""קוקאין"", ""amount"": 87.98, ""unit"": ""גרם""}]",,,,"[{""drug"": ""קוקאין"", ""amount"": 87.98, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 87.98, ""unit"": ""גרם""}]"
ME-23-04-8444-574,2,"[{""drug"": ""קוקאין"", ""amount"": 540.0, ""unit"": ""גרם""}]",,,,"[{""drug"": ""קוקאין"", ""amount"": 540, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 540, ""unit"": ""גרם""}]"
ME-23-05-13598-78,2,"[{""drug"": ""קנבוס"", ""amount"": 190000.0, ""unit"": ""גרם""}]",,,"[{""drug"": ""קנבוס"", ""amount"": 190, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 190000, ""unit"": ""גרם""}]",,
ME-23-05-52567-993,2,"[{""drug"": ""קנבוס"", ""amount"": 172600.0, ""unit"": ""גרם""}]",,"[{""drug"": ""קנבוס"", ""amount"": 172.6, ""unit"": ""ק\""ג""}]",,"[{""drug"": ""קנבוס"", ""amount"": 172.6, ""unit"": ""ק\""ג""}]",,
ME-23-08-41833-827,2,"[{""drug"": ""קטמין"", ""amount"": 11400.0, ""unit"": ""גרם""}]",,"[{""drug"": ""קטמין"", ""amount"": 11.4, ""unit"": ""ק\""ג""}]",,"[{""drug"": ""קטמין"", ""amount"": 11, ""unit"": ""ק\""ג""}]",,
ME-23-12-14553-571,2,"[{""drug"": ""קנבוס"", ""amount"": 180000.0, ""unit"": ""גרם""}]","קנבוס: [(180.0, 'ק""ג'), (7.48, 'גרם'), (180.0, 'ק""ג'), (7.48, 'גרם')]",,"[{""drug"": ""קנבוס"", ""amount"": 180, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 7.48, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 180, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 7.48, ""unit"": ""גרם""}]",,
SH-13-09-29504-694,2,[],"קנבוס: [(3400.3, 'גרם'), (884.5, 'גרם'), (3400.0, 'שתילים'), (884.0, 'גרם')]","[{""drug"": ""קנבוס"", ""amount"": 3400.3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 884.5, ""unit"": ""גרם""}]",,"[{""drug"": ""קנבוס"", ""amount"": 3400, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 884, ""unit"": ""גרם""}]",,
SH-15-05-1276-44,2,"[{""drug"": ""קוקאין"", ""amount"": 9.49, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 3.2662, ""unit"": ""גרם""}]","קוקאין: [(6.2456, 'גרם'), (9.49, 'גרם'), (15.763, 'גרם')]; חשיש: [(3.2662, 'גרם'), (2.24, 'גרם'), (5.5, 'גרם')]",,,"[{""drug"": ""חשיש"", ""amount"": 5.5, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 15.763, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 6.2456, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 9.49, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 3.2662, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 2.24, ""unit"": ""גרם""}]"
SH-16-09-64418-33,2,"[{""drug"": ""קנבוס"", ""amount"": 837.76, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 1.86, ""unit"": ""גרם""}]","חשיש: [(287.53, 'גרם'), (1.86, 'גרם'), (0.25, 'גרם'), (287.53, 'גרם'), (1.86, 'גרם'), (0.25, 'גרם')]","[{""drug"": ""קנבוס"", ""amount"": 837.76, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 287.53, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 1.86, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 0.25, ""unit"": ""גרם""}]",,,"[{""drug"": ""קנבוס"", ""amount"": 837.76, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 287.53, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 1.86, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 0.25, ""unit"": ""גרם""}]",
SH-17-07-16759-919,2,"[{""drug"": ""חשיש"", ""amount"": 0.71, ""unit"": ""גרם""}]","קנבוס: [(1.64, 'גרם'), (3.0, 'שתילים'), (1.64, 'גרם')]","[{""drug"": ""קנבוס"", ""amount"": 1.64, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 0.71, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 3, ""unit"": ""שתילים""}]","[{""drug"": ""קנבוס"", ""amount"": 1.64, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 0.71, ""unit"": ""גרם""}]",,,
SH-19-02-58269-573,2,"[{""drug"": ""קנבוס"", ""amount"": 23.01, ""unit"": ""גרם""}]","קנבוס: [(97.22, 'גרם'), (23.01, 'גרם'), (2.0, 'גרם'), (97.22, 'גרם'), (23.01, 'גרם'), (97.22, 'גרם'), (23.01, 'גרם')]","[{""drug"": ""קנבוס"", ""amount"": 97.22, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 23.01, ""unit"": ""גרם""}]",,"[{""drug"": ""קנבוס"", ""amount"": 2, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 97.22, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 23.01, ""unit"": ""גרם""}]",,
SH-19-03-50607-561,2,"[{""drug"": ""MDMA"", ""amount"": 15.6592, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 80.7, ""unit"": ""גרם""}, {""drug"": ""LSD"", ""amount"": 100.0, ""unit"": ""יחידות""}]","MDMA: [(0.4992, 'גרם'), (15.6592, 'גרם'), (3.9258, 'גרם'), (19.6959, 'גרם'), (0.4992, 'גרם'), (15.6592, 'גרם'), (3.9258, 'גרם'), (19.6959, 'גרם')]; קנבוס: [(1.08, 'גרם'), (80.7, 'גרם'), (1.08, 'גרם'), (80.7, 'גרם')]","[{""drug"": ""MDMA"", ""amount"": 0.4992, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 15.6592, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 3.9258, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 19.6959, ""unit"": ""גרם""}, {""drug"": ""LSD"", ""amount"": 100, ""unit"": ""יחידות""}, {""drug"": ""קנבוס"", ""amount"": 1.08, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 80.7, ""unit"": ""גרם""}]",,"[{""drug"": ""MDMA"", ""amount"": 0.4992, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 15.6592, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 3.9258, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 19.6959, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.08, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 80.7, ""unit"": ""גרם""}, {""drug"": ""LSD"", ""amount"": 100, ""unit"": ""יחידות""}]",,
SH-19-11-18218-11,2,"[{""drug"": ""קוקאין"", ""amount"": 1.4259, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 12.6888, ""unit"": ""גרם""}, {""drug"": ""LSD"", ""amount"": 35.0, ""unit"": ""ריבועי נייר""}]","MDMA: [(10.718, 'גרם'), (99.0, 'טבליות'), (10.718, 'גרם'), (99.0, 'טבליות')]","[{""drug"": ""MDMA"", ""amount"": 10.718, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 99, ""unit"": ""טבליות""}, {""drug"": ""קוקאין"", ""amount"": 1.4259, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 12.6888, ""unit"": ""גרם""}, {""drug"": ""LSD"", ""amount"": 35, ""unit"": ""ריבועי נייר""}]",,,,"[{""drug"": ""MDMA"", ""amount"": 10.718, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 99, ""unit"": ""טבליות""}, {""drug"": ""קוקאין"", ""amount"": 1.4259, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 12.6888, ""unit"": ""גרם""}, {""drug"": ""LSD"", ""amount"": 35, ""unit"": ""ריבועי נייר""}]"
